,CT002_ses1,CT003_ses1,CT004_ses1,CT005_ses1,CT007_ses1,CT008_ses1,CT010_ses1,CT012_ses1,CT013_ses1,CT015_ses1,CT016_ses1,CT017_ses1,CT018_ses1,CT020_ses1,CT021_ses1,CT023_ses1,CT024_ses1,CT025_ses1,CT026_ses1,CT027_ses1,CT028_ses1,CT029_ses1,CT030_ses1,CT032_ses1,CT033_ses1,CT034_ses1,CT035_ses1,CT039_ses1,CT041_ses1,CT042_ses1,CT043_ses1,CT046_ses1,CT051_ses1,CT056_ses1,CT057_ses1,CT062_ses1,CT065_ses1,NT002_ses1,NT003_ses1,NT005_ses1,NT006_ses1,NT007_ses1,NT010_ses1,NT013_ses1,NT015_ses1,NT016_ses1,NT017_ses1,NT019_ses1,NT020_ses1,NT025_ses1,NT026_ses1,NT027_ses1,NT028_ses1,NT029_ses1,NT030_ses1,NT031_ses1,NT032_ses1,NT033_ses1,NT035_ses1,NT036_ses1,NT038_ses1,NT039_ses1,NT040_ses1,NT041_ses1,NT042_ses1,NT043_ses1,NT044_ses1,NT047_ses1,NT048_ses1,NT049_ses1,NT051_ses1,NT052_ses1,NT053_ses1,NT055_ses1,NT056_ses1,NT057_ses1,NT059_ses1,NT060_ses1,NT063_ses1,NT065_ses1,NT066_ses1,NT067_ses1,NT068_ses1,NT069_ses1,NT070_ses1,NT074_ses1,NT075_ses1,NT077_ses1,NT078_ses1,NT080_ses1,NT081_ses1,NT082_ses1,NT087_ses1,NT088_ses1,NT090_ses1,NT093_ses1,NT096_ses1,NT100_ses1,NT106_ses1,NT112_ses1,NT113_ses1,NT114_ses1,NT118_ses1,NT119_ses1,NT121_ses1,NT124_ses1,NT125_ses1,NT126_ses1,NT131_ses1,NT132_ses1,NT134_ses1,NT135_ses1,NT137_ses1,NT138_ses1,NT142_ses1
CT002_ses1,0.0,21.059247085073302,20.22629776833202,20.703337062383145,20.644179259547595,20.33878312126397,21.80234808915242,21.746565377377888,20.55685790465399,20.934320365869922,20.10739223938604,20.3043336227568,21.664288932204606,20.803916414963226,20.92929565887448,20.975280310968333,20.934741604763566,20.094669388401787,20.00749896221313,20.8483344966271,20.82813781408523,21.41924454230301,21.475030919419897,20.812407356720534,20.31130267482036,20.09246816234439,20.741535952736832,20.3135192537302,21.040525694358745,19.99014717326308,21.30742031445595,20.34233359258879,20.780556091822923,20.893612166129166,21.142575621928373,20.58890688504812,20.142381632750766,20.74433412355368,20.35185231396356,20.176090885346877,19.608237518350936,20.172838738635186,20.558864031210785,20.544570727667494,21.04875687580398,20.933895321391905,19.452718858136862,20.598202146458522,22.275973328285122,20.894620764868726,20.996608987084826,20.498734827098588,20.644392881740437,20.98416994673667,20.759504915469076,20.498303798852657,21.079938576109196,21.830051619254373,20.88838030602873,19.900962412931133,20.447508157553333,21.04072056722161,20.96562262890588,20.386420448832187,21.160376780098318,20.312559607941097,20.72869409783277,21.09172772231809,21.058134986249918,19.858239733406233,21.823817732549095,20.966567828627387,21.98986913423255,20.298647827121922,20.959450409817443,21.692141096679556,21.929749136635852,21.712898287653307,20.372654294228045,20.63298278393102,20.391937626560782,20.326451424689,21.387801067878026,20.281157104555266,20.836575823349904,20.18365067073269,20.162597856944096,21.19035911850187,20.53089112289664,21.218365145796906,21.06672483343764,21.149113810668283,20.4028164210126,20.47595537369794,21.213480515392146,20.84070827250874,21.389035344828727,20.90286087955725,21.957999038245102,22.428308327476046,20.762742438813817,20.44421496724672,21.19632798151033,19.844234004317677,21.465008672990756,20.50634885051644,21.219839498999296,20.096745669225502,21.318547334826846,20.747807993197444,20.411297293878384,21.571779422716407,20.845334933297906,21.05914029149171,20.909353504478954
CT003_ses1,21.059247085073302,0.0,19.61527173118918,20.744530141233575,20.035075952704062,20.176186847681542,21.22498145947677,21.35106944364259,19.84476147482203,20.56629950880103,19.65971917962953,19.416410716287956,20.7701773625709,20.428760063892387,20.90319089743399,20.709840526375988,20.33245194253084,19.418858049391407,19.225598949684663,20.16231370966594,20.39289409619306,20.06653170873701,21.12836850485833,20.04733267537167,19.677324363240864,19.609348989504245,19.92254000015884,19.88694319298505,20.125500819327918,19.33380714907298,20.488251966711015,19.750846821807613,20.450463074947947,20.40218788831449,20.48731606898217,20.14023129342049,20.039328978444388,19.82322356841526,20.11256230253081,19.51067552681559,18.604595769875694,19.883079483915687,19.834028280412042,20.174993917114346,20.685379095523405,19.714941309092683,18.715575455394795,19.471300664087757,21.043524350648187,20.384252320018422,19.87726680718196,19.56686836830895,20.292258573077802,19.8599535328071,19.829617553616817,20.003130403579046,20.20218480108208,21.805446761485342,20.627910066512918,19.664742622529303,19.71814773296454,20.700916005635026,19.692830695207633,19.88221608749373,20.078105369223092,19.931719004342458,20.388383074658453,20.867989005987265,20.672806215316342,19.49381479932518,20.794469708835923,20.608186067222373,21.176376246036792,19.094290458889443,20.07383072079236,20.841505258964123,21.13419540946045,21.60219550627486,19.66426408069862,20.519915407934743,19.47126082944778,20.640785721011365,21.284824665399118,19.866202511036054,20.589380782903415,19.299155500457683,20.073247801366445,20.8114117672982,19.499414092234115,20.15951771832572,20.44020076177025,20.876016857065736,20.277609054842245,19.956277370018164,20.904034114167384,19.381944176522445,20.50717604573879,20.007898516158367,21.399149176791482,22.234290114491383,19.814152604433602,20.15558469996256,20.384008030718118,19.64286890812393,20.394477322617046,20.38572712395315,20.925161270915385,19.405713443606608,20.283466791656483,19.61933490953247,19.653548624289204,20.415742808950895,20.81177972372885,20.539596256092914,20.27205882445868
CT004_ses1,20.22629776833202,19.61527173118918,0.0,19.704751736326862,19.967793849852583,19.83641371365122,21.324077798680293,20.528547668137527,19.363492242458445,20.29582876722516,20.30231203467267,19.516865998093316,20.671668751934686,19.860139123370722,20.67844744613876,20.282897150342006,19.903340162463447,18.732976003768595,19.01201609801963,19.702376576691414,20.48211733889826,20.051039219010804,20.80228478708997,19.555583083945486,19.49612680580937,19.277228276962706,19.7413455899732,19.827751558045893,20.146411886353974,19.211851087403492,20.304224093927314,19.603279035526135,20.589568060787975,20.236440098952993,20.756852815603086,20.219053100384944,19.584688531779097,19.52892460393875,19.959751307162787,19.433713157964192,18.775477195506415,19.99925688513656,19.78651212192589,20.015382294077927,20.573591581346832,19.78009643762757,18.893987310438746,19.464331984736603,21.577394363463885,20.100066511601607,19.525724483995397,19.45077646613015,20.011950672611235,20.50665273490221,19.608168291023766,19.992335381344517,19.964559053455172,21.23504087431913,20.024935861909707,19.59243631206779,20.087391002034543,20.630643563432397,19.76131459862709,19.25430931772525,20.74662174656807,19.70912082347746,20.09643667473114,20.44500844496387,20.270496113413046,19.387224042990425,20.696080398771045,20.162578272097246,20.373447046667117,19.446103993144874,20.18324398667366,21.13642786250971,21.39813879712418,20.589499052573576,19.893767433465243,19.993633854904655,19.539282511458087,20.117271845485458,20.55947413052995,19.704338980393743,20.44548583871654,19.181910650809062,19.689320102433943,20.812066528860957,19.6981926038632,20.283701074494378,19.940264135578197,20.466946025262853,19.687313694654822,19.51008887504777,20.444336465982087,19.531683906084673,20.289613265054562,19.622153475145335,20.839048337850183,22.467576905795667,19.519877443103894,19.619922850545134,20.214976352697125,19.309686717948885,20.804023882062616,19.883226049215516,20.93542846534688,19.332020910484346,20.03192875246243,20.08511171520456,19.51203385252685,20.204315806981015,20.160990557904594,20.22967756054885,20.598616447452027
CT005_ses1,20.703337062383145,20.744530141233575,19.704751736326862,0.0,20.80507351569737,20.406536571491284,21.551210351778618,21.76160423657511,20.474726512752383,21.643811528862486,20.790375814908387,19.96484614081278,21.450330054160304,20.814914118569348,20.99614321993969,20.849807227610547,21.05743895053375,20.13936401569266,19.881872127165085,20.953535330176862,21.30603405129541,21.026394953140723,21.81000648234201,20.45881282166141,20.1131545778176,20.376648109029997,21.04717585030693,20.32030995875937,21.02534552868041,20.032772068649262,20.707872983805377,20.898628152826838,21.02774706416593,21.165172796080558,21.237049674927093,20.596074796743505,20.109436762668395,20.90087318968073,20.617656377769034,20.23862486636636,19.284332959698105,20.606718618443917,20.578434668776815,21.053577012530816,20.88141066564962,20.295057162484227,19.415232474202796,20.87650324164495,22.050198706742687,20.63254945242241,20.71605203113673,20.55007026715187,20.246001946184645,20.94941637437468,20.125088570627327,20.768555897156865,20.8955040682633,21.75770842254462,20.70337373218175,20.097814803526155,20.559795515879678,21.243064172846545,20.577203034424073,20.668993904180336,21.06509185604244,20.376330933019165,21.016163456423918,21.283335040983708,21.12969556545419,20.155286741494855,21.505191081078117,20.97350123764419,21.53905297426189,20.36352216739002,21.20271448647463,21.598656807648947,21.17370969657658,21.43876964626651,20.15838405406447,20.704776326361422,20.265248256170413,20.626075167592454,21.55246340796853,20.24877514691589,21.103093207598963,20.182282892547242,20.50845861193518,21.49102987577046,20.262426519412298,21.230387045137814,21.348283004346953,21.33987947031636,20.395710561917276,20.398502906148952,21.18994422290266,20.228208773167662,21.109032819702822,20.155085338332228,21.298031485942772,22.932852236357633,20.19737699230712,20.16517575851764,20.808179078503517,20.495619820368347,21.76203115805416,20.60890204603691,20.929512597648486,20.30247637946948,21.332210090664617,20.481020048465165,19.862963627813862,21.841996645663304,21.409812630905332,20.77405936767886,21.1092479386348
CT007_ses1,20.644179259547595,20.035075952704062,19.967793849852583,20.80507351569737,0.0,20.16563631386385,21.69741820079713,21.33203387441633,20.307781741395804,20.665036070960213,20.13135790842091,19.546361751868687,21.16052189620774,20.63225571730975,20.949498446814335,21.09322578703826,21.093442308839307,19.323525215000117,19.50265059572949,20.733924471913458,20.884507033645868,20.750927558149737,21.81584229436917,20.64768431305705,19.850056629883618,20.12093672879677,20.314468562569445,20.19860812029163,20.750744661088177,19.961178214460226,21.083035562841236,20.01448201296132,21.13433105372361,20.31048817992854,21.513387599233475,20.21304402935486,20.098887560446908,20.320203018482996,20.263514552379245,19.407680375741005,19.067507124309238,20.10544979698496,20.27645327288095,20.0145095799741,21.01322758091555,20.32736492013707,19.09760518703009,19.794228572299847,21.782281372939956,20.480431951580428,20.212707532472123,20.3771678215366,20.710861819676076,20.315143782653205,20.375353479305442,20.664543252686666,20.225232744718397,21.867270761724164,20.806009866322782,19.933537388867258,19.709849148508656,21.183414985973023,20.458896203349568,19.863497689895247,20.676620692669058,19.868668930496334,20.857282748885048,21.041930960969726,20.744339138774926,19.84559444109664,21.1918460999263,20.323055309045934,21.156805835043208,19.665232223705484,20.326379023291338,21.62103609445406,21.83282464069321,21.30807096975929,20.26225052783929,20.30435528131988,19.601025108838684,20.76974219357868,21.50232930869737,20.470631859371018,20.419271148868724,19.868247009563223,19.85555491405108,20.785755508632995,20.337583737094185,20.82768427058843,20.048247095990273,21.275033351711826,19.948111173685717,20.0195770485068,20.973805647493553,20.305404626986096,20.90592032606383,20.61021261175762,21.39621693995481,22.969696110450432,19.73099020040975,20.21052155894966,20.718957746690172,20.07459359958565,21.2186966482365,20.479191826138734,21.2903222093434,19.982666440431274,20.91881176372975,20.582170612848167,19.952896795501058,21.20235831948934,20.90126961625842,20.78933726384887,20.588503745089714
CT008_ses1,20.33878312126397,20.176186847681542,19.83641371365122,20.406536571491284,20.16563631386385,0.0,20.67400344927895,21.52512956811012,19.907192706419846,20.577933732366763,20.10572851169382,19.48354275796604,20.864853363478694,20.271488150261117,20.729225921721525,20.47947547412241,20.48655894489176,19.434894208850906,19.31977488619211,20.25404227741222,20.650870657625475,20.368389255708458,21.581443757899148,19.516661149605024,20.009972311350108,20.255683369606327,19.80411025368018,19.815704542330707,20.443461246343613,19.41779684556852,19.941638558271777,20.054223849331372,20.248053791547292,19.98879964980423,21.272266798036704,20.50210562783305,19.950988945916293,20.49212695776582,19.788052865922985,19.790844993077485,19.194906590066758,19.994103725732508,20.469340754309084,20.15906693440001,20.7011354304374,20.014838670971706,19.12438097050333,20.303112441745732,21.586209631290934,20.258293911732476,20.457208844091472,20.04204227616044,19.89530913922043,20.540158665613205,20.280940981306205,20.156350483952647,20.07976758567772,21.51666857435837,20.422897409635656,19.63950575308194,20.159789937629316,21.169978779622035,20.05808871751044,19.71417508090295,20.30586575128529,20.062413004926025,20.509358107134346,20.928871337414435,20.47721783023627,19.464776690253625,20.745139565754638,20.42024878453522,20.70547344338818,19.234341564037106,20.68296169589355,20.785368276245542,21.439401394922353,21.148309147535798,20.318144835742363,20.302437758758554,19.865494251614027,20.432254112362795,20.621402989646676,19.812634294907973,20.370253406643045,19.752385316500416,20.13929139953249,20.72761161996043,20.284099552681802,20.881290818344336,20.094086945319763,20.758466168225258,19.880630056708146,19.947775512340392,20.73489599362752,19.913319280046515,20.45215640132202,19.803086992010847,20.882088419723363,21.89618080053993,20.272798117855082,19.898500595714733,20.584612430554,19.719913318358792,20.533569940493148,20.206581289645055,21.054247998592444,19.982082689889747,20.97885511964303,20.425606309734405,19.890241188806147,20.71959871222187,20.85914865635308,20.49497865460084,20.817595991890908
CT010_ses1,21.80234808915242,21.22498145947677,21.324077798680293,21.551210351778618,21.69741820079713,20.67400344927895,0.0,22.591706727199362,21.50379773412426,22.035343106131236,21.35248216501851,20.681774912841597,22.123990027796136,21.35559630779567,21.995268773110745,21.239259906021193,21.79951067270112,20.567003307466504,20.66028359284841,21.647017061910383,22.22885689279989,21.502813009565916,22.481985444898417,21.152830840702617,20.85593250936382,20.97887015982434,21.739640621792837,21.163833784310718,21.92685159128561,20.780383404025205,21.819999761747347,21.45575384414123,21.950603454080582,21.387900820739045,22.031118903246075,21.457658681225592,21.246122627358165,21.24437870336352,21.078886679434316,20.513237904449113,20.060410004858728,20.87654137888802,21.26476518059385,21.221022338774404,21.549442649823213,21.040052745131764,20.209800891697896,21.39620839621601,22.377381096032178,21.37867782314555,21.63612674197917,21.49122065517038,21.405988284792965,21.90139665718828,21.407050150756174,21.311104371849723,21.4222987097806,22.265777139835578,21.54714557716437,21.047642924578973,21.2756329507651,21.97810873905276,21.18132083945562,20.63451443327479,21.458863711202834,20.93221627710656,21.442314629400588,22.002476003444876,21.620008486826894,20.89779567877364,22.029921109712937,21.673633504126293,22.076922735120366,20.440400656404677,21.452153053570196,22.633200890904764,22.386918599243298,21.64251178490922,21.171007582343115,21.328807988668895,21.43493017374792,21.65502557998616,22.21414890660141,21.218486373106813,21.089310761380766,21.101753381884908,21.356777820290922,21.9604935581592,21.124843115008066,21.40097951251291,21.461434474416432,21.95242417338945,21.13039545970056,21.241867188909985,21.85447561871037,21.284612824054957,21.337211357463087,21.773496821049797,22.247658586859107,22.824712680066806,21.080994866853686,20.879050857647442,21.65819855513911,20.973317589260226,22.031959114429842,21.209316945862692,21.861181715658848,20.803798650323056,21.47158500570277,20.944857674309947,20.809651827238685,21.56624454634514,21.46443718919731,21.617393942065863,22.09422439471161
CT012_ses1,21.746565377377888,21.35106944364259,20.528547668137527,21.76160423657511,21.33203387441633,21.52512956811012,22.591706727199362,0.0,21.031168680297803,21.618917594127275,21.09647022428583,20.796279027535384,21.93939366658441,21.484073621032614,21.86219291927247,21.4888518767208,21.48096411002193,20.157358347779056,20.522880030440454,21.331050393110644,21.728776464943444,21.261105775598004,22.149501943261185,20.795775916449564,20.331114300663575,20.639900810227587,21.29726945763881,20.955510780377168,21.731973904916313,20.87804286134589,21.28736471238813,20.453249889232882,21.196049844906305,21.509179110189404,21.850293873237188,20.943459379338456,20.867180669924863,21.232137962064897,21.286706520355533,20.68097769566751,19.85438706835234,20.816024105313534,20.97903038134969,21.001694938395865,21.820255349678742,20.849736655402282,19.919730857044872,20.93550075543931,22.47341491341659,21.563844028105617,20.98338888084318,20.693616786575728,21.478991532966724,21.863938950677923,21.333588305456573,21.479385221170848,21.68348200740517,22.618190495843873,21.255444489005686,20.870733038848357,21.043930591425273,21.48993782892409,21.286324211103175,21.177196728834183,21.544801171133223,20.849501907851888,21.634596473358595,22.099664933915594,21.626448493292113,20.5250763960722,22.454147166709763,21.464305144307094,22.118915546929536,20.670974923518266,21.46884289713982,22.174171175419215,22.61417543768941,22.16922217378068,21.402965824084628,21.22086244678635,20.646219139464918,21.782632548107205,21.476027390052412,21.202624227596647,21.836189218425826,20.601518782220875,21.01522662301452,21.783216349447404,21.289785576633523,21.934173150364312,21.393883080522443,21.551214222251396,20.90291951344785,20.638871284486743,21.79592506165403,20.685250071671774,21.365630729665412,21.42669394456982,22.435117798183207,23.29353270826734,20.979618430705422,21.130542034949055,21.483353181578117,20.909344082909637,21.7111647177622,21.00986167344928,21.894480247350504,20.969124383619523,21.13084899814525,21.147560213583876,20.616267946032487,22.117634233042555,21.765377652257833,21.862128864596098,21.40719980631903
CT013_ses1,20.55685790465399,19.84476147482203,19.363492242458445,20.474726512752383,20.307781741395804,19.907192706419846,21.50379773412426,21.031168680297803,0.0,20.666058262753015,19.614543313161136,19.68014922561971,20.63203589532429,20.234082329477264,20.324890698040928,20.536201320385988,19.845148508367423,19.24567126661691,18.98253234213848,20.047672077186697,20.700346556882668,20.02561772067358,21.29855347097953,19.816690508452943,19.927946038364354,19.712284320263414,19.897082624923804,19.465982146793817,20.162512356364527,19.301517970226282,20.552565382418457,19.618371905710514,20.02367124465558,20.360154011127726,20.623900543686794,19.44761755210261,19.6933028182585,20.290062887644698,20.224720795259884,19.41959704627113,18.96670780197731,19.642689083447966,19.916782246859633,19.83377654107778,21.149872882203518,19.729113021534772,18.912998585575657,19.834115738887615,21.698511528140767,20.046129277335034,19.53432562393578,19.515265186439965,19.672430610543802,20.025788766120954,20.045018548398986,19.916461083293477,20.371983009622955,21.338218450453883,20.017468172795944,19.625261733267333,20.22552464763393,20.218515006692073,20.101759610540526,19.911172656126503,20.612667207522716,19.738363386953296,20.497404242437778,20.693829050078207,20.37337385637451,19.688887155789576,21.169473084652598,19.79234758568549,20.546078817604474,19.572245536600143,19.952773791650113,20.768972084609395,20.935043492067447,21.574047378299223,20.03278989479426,20.22485162276509,19.545354674544534,20.20582177461348,21.058757930689346,19.717956399576803,20.236371380510906,19.175539521775978,19.766506151565263,20.910177475258074,19.77437043314245,20.448996925349835,20.41785527865143,20.697484287924805,20.099217505932096,19.36450986373982,20.906430117993747,19.36131197707704,20.76541762241132,20.28317224334114,21.133509691720015,22.188969259965198,19.919261272221767,20.039495220804703,20.524343908076506,19.466421246388332,21.16067703900947,20.03971155850665,20.479199257225737,19.633144690841185,20.181849524542134,20.104194514992475,19.66267685890081,21.02152311854132,20.319168458845237,20.45550170842525,20.74721026972552
CT015_ses1,20.934320365869922,20.56629950880103,20.29582876722516,21.643811528862486,20.665036070960213,20.577933732366763,22.035343106131236,21.618917594127275,20.666058262753015,0.0,21.08283847206474,20.109725943286612,21.2596356677846,21.3087941485662,21.294683006114763,21.348512757647953,21.71948267247731,20.157264462817384,20.203730830074104,21.01326720150596,21.408561129721193,20.961728140283792,22.19307495835266,20.94886333817421,20.87241238804905,20.492077053229075,20.747081875487297,20.82576183172869,21.576956713237166,20.220221197875357,21.36446163742094,20.49611012610949,21.30943957497129,20.760408071156263,21.406988195860386,20.602131791169583,20.718993161868422,20.616368840684405,20.666567830173204,20.477615839911508,19.779161107193413,21.216744123592477,20.716963285316687,20.76437668666237,21.544999722064908,21.064207640298143,19.802282917547114,20.422389646562493,22.449356956546282,21.377281330625912,20.92344085937479,20.695492358350542,21.151926447818823,21.185258306137463,21.210531049914817,20.986813641264973,20.829169883084337,22.138057140101708,20.994502281384356,20.821149730580665,20.598000098517943,21.448635347750233,20.921303206179385,20.678273870973342,21.307789153959757,20.596528910886054,21.316360686406178,22.03373226644984,21.182325186485322,19.971820202764334,21.725966356638864,20.94826930451312,21.628221834276886,20.562796813731953,21.034212696316718,21.854586756716195,22.139914987152064,22.321309350116803,21.11011108400467,21.222373515845476,20.90656974413932,21.14172434494855,21.82726479305073,21.25973264120554,20.889017311122352,20.49830752770656,20.93425464187763,21.98849717025629,20.667020117797982,21.57863035556018,20.9093686350608,21.660308357809477,20.91252023924761,20.828139508314997,21.69122369999374,20.2155647059459,21.28432983783204,21.037538915530583,21.66459316981001,23.41723228657062,20.53974869211012,20.914728197432634,20.992399723337737,20.54869379273044,21.548105755726223,21.10853707536339,22.025749093016202,21.037121265835417,21.3994121264472,20.925873595527154,20.75355196769938,21.602815720935517,21.612399991587083,21.25558625052631,21.463341300585935
