,CT003_ses2,CT007_ses2,CT010_ses2,CT012_ses2,CT013_ses2,CT018_ses2,CT027_ses2,CT029_ses2,CT032_ses2,CT039_ses2,CT041_ses2,CT043_ses2,CT046_ses2,CT062_ses2,NT002_ses2,NT005_ses2,NT015_ses2,NT016_ses2,NT017_ses2,NT020_ses2,NT025_ses2,NT026_ses2,NT027_ses2,NT031_ses2,NT033_ses2,NT036_ses2,NT040_ses2,NT041_ses2,NT044_ses2,NT047_ses2,NT049_ses2,NT051_ses2,NT056_ses2,NT059_ses2,NT070_ses2,NT081_ses2,NT082_ses2,NT090_ses2,NT093_ses2,NT096_ses2
CT003_ses2,0.0,20.49951336853146,20.229737501242575,20.46860843211499,20.691035275012883,20.448169451151248,20.25218035363804,20.5767215686504,20.93986743379186,19.97562804833939,21.120140921241727,20.72992796101197,20.660916042854335,20.87234062828444,21.49806086632971,20.871968988053915,22.09867719943432,21.27391118418701,20.043571105262707,21.540768058231304,21.178070871734104,20.59499755778154,20.171021987310063,20.10734618309657,20.730851320167424,19.80857498469936,21.084547258337103,20.37790222210428,20.435617956356005,21.11826774389009,19.872399978700457,20.635461833327845,20.131155808262935,20.77222720485243,21.822475361216494,20.20383585723715,20.277163286442434,21.591452768303288,19.92663297491123,21.180056247987977
CT007_ses2,20.49951336853146,0.0,20.68767656280088,20.147593261493558,20.862896232800342,20.463321402570227,20.184010958542746,21.184197663251116,21.131784409313557,19.483943138885223,21.326574651518257,20.993074755774217,20.93661283002193,20.812638010470355,21.959491447869986,20.55635020556815,21.58513030388294,21.451207464960028,20.154487672577496,21.455434472174318,21.108693451387637,20.8249142170684,20.72887704219795,20.542595479083776,20.64914157878407,19.83956884682116,21.58580237099202,20.392142613661026,20.910160335195275,21.109082539467334,20.90063921336284,21.112689704879195,20.562096351173956,21.203502092671943,21.771816504758387,20.38224282984305,20.80455771988954,21.480517665639017,20.498904588537613,21.366673879180492
CT010_ses2,20.229737501242575,20.68767656280088,0.0,20.80956568474836,20.550796689651406,20.172779762901143,20.24644598613045,20.7292486804585,21.088345450907752,19.957834644066054,21.256008548355563,20.74180224729893,20.50690004712491,20.596014401952946,21.52436219250571,20.673371010899118,22.02765916340466,20.816441506015796,19.9468752668418,22.064670558260886,21.018773513170398,21.09230950953158,20.228113974314912,20.345006732061382,20.621911728760722,19.334779763137064,21.34421266223344,20.77753237249772,20.449634520088342,21.006223540422045,20.310346425076187,20.711907468146627,20.47994596705882,20.849013378291048,22.039643631123706,20.65092958664175,20.55300251501797,21.905572040107913,20.618130084838505,21.485092245495707
CT012_ses2,20.46860843211499,20.147593261493558,20.80956568474836,0.0,20.79100688810763,20.031786487504405,20.185531543554813,20.720145847554807,20.723808147699156,19.574101342526276,21.28593198223131,21.4202486076323,20.24639728935267,20.197585151486216,22.06108832701895,20.627982605950447,21.04208921131201,21.27763115427119,19.879761490022307,21.67152983573089,21.026991865556525,20.624206401533108,20.26736314821035,20.103802659384684,20.432082864202624,19.784979210357502,20.97457084001843,20.246282425619754,20.236527855966997,20.296074968091176,20.82349049216737,21.085710741663913,20.503561467148018,21.353744878511925,22.37775650149911,20.414101307830595,20.81059334219019,21.5608601570502,20.34562802806381,21.346819513669242
CT013_ses2,20.691035275012883,20.862896232800342,20.550796689651406,20.79100688810763,0.0,20.552808138823952,20.05962727745659,20.817247789050885,20.970427749878137,19.68647910596131,21.39638235905326,21.021258609226866,20.137529690499733,20.846338742845113,21.897571630834875,20.933107043223995,22.023665314238972,21.39610084212178,19.96936831932466,21.882539837995434,21.840651084208005,20.7961459026926,20.563189311959576,20.498554646439462,21.038053525337837,19.734788030048062,21.10537623600543,20.493742526868203,20.72175885292412,21.05992229921542,21.114620576657522,21.104320383147382,20.54242637309857,21.156534664214448,22.543223056886138,20.385124135645363,20.73273981727109,21.770302981126534,20.559860965691232,21.747769332303218
CT018_ses2,20.448169451151248,20.463321402570227,20.172779762901143,20.031786487504405,20.552808138823952,0.0,19.987404052881597,20.15084647915907,20.430313715461896,19.845099599401877,21.15372695609826,20.772828846853184,20.075938717120085,20.31723720297971,21.53182532846941,20.247657360922148,21.531179276041026,20.892658452419763,19.552141379855964,21.712361363964735,21.412538771527817,21.289251402455932,20.47937425655628,20.27032904190049,20.572560322987776,19.412502960336322,20.86653206281645,20.284673698557324,20.17837356852907,20.602436114618307,20.09544996182848,21.020106886375164,20.323316354984232,20.458749124160953,21.67598337523352,20.021437993438656,20.140382383752716,21.660234885312285,19.924747990619725,21.158860373202707
CT027_ses2,20.25218035363804,20.184010958542746,20.24644598613045,20.185531543554813,20.05962727745659,19.987404052881597,0.0,20.04070716986841,19.951868362508417,19.26403035135521,20.58504522361394,20.56717893109108,20.122020474838425,20.259798242587305,21.086936894071176,20.470997243167595,20.900024661523908,20.868810540892593,19.219307405673334,20.99827102963633,21.188734171612424,20.315745379940036,19.86548762130753,19.831897834015162,20.388975001951636,19.48740169120562,20.120067212875423,20.237684868293048,19.844521574371328,20.37312608350723,20.31801924624497,21.006692798591462,19.687653732731057,20.394345309266246,21.757231896109506,19.53087968466332,20.204782284114064,21.487935028672183,19.81345756499881,21.359605142903558
CT029_ses2,20.5767215686504,21.184197663251116,20.7292486804585,20.720145847554807,20.817247789050885,20.15084647915907,20.04070716986841,0.0,20.7311813101133,19.820718418169427,22.028749278621728,21.427707896647274,20.371252174701294,20.412520865054923,21.88789659815558,21.092031701775863,21.59993376802712,20.976715677791663,19.72190382579513,21.40895677266175,21.349064827366,20.792198565286533,20.388425751051155,20.362746251268728,20.971124485841415,19.57625505981109,20.547103404265407,20.587120899196528,20.259073936143857,20.691872705790402,20.967592793904966,21.233335187984032,20.7451621438517,20.792128179806497,22.271588262406954,20.298411553874267,20.460919707787877,21.75584004976335,20.467145961626063,22.0576852442386
CT032_ses2,20.93986743379186,21.131784409313557,21.088345450907752,20.723808147699156,20.970427749878137,20.430313715461896,19.951868362508417,20.7311813101133,0.0,20.112111949094494,21.61853989137186,21.03828666884537,20.81838110580713,20.995513473020885,21.76584264466329,20.718630477156765,21.693597841234535,20.900387984534163,20.07962457202888,21.75832868191211,21.33430739983082,20.924793070479694,20.948926917823965,20.305464845340126,21.02724109071322,20.226378549662826,21.3216309145244,20.498974565392647,20.491610220024718,21.035700123978355,20.97376907315076,21.23132081720809,20.750491733354227,21.64323702754682,22.22155857011968,20.681635193825297,20.798456367295117,22.05051877822026,20.886463535981438,22.16395967359586
CT039_ses2,19.97562804833939,19.483943138885223,19.957834644066054,19.574101342526276,19.68647910596131,19.845099599401877,19.26403035135521,19.820718418169427,20.112111949094494,0.0,20.70852066871146,20.548869789636612,19.956596034727962,19.84879082409567,21.059156736404162,19.856600843575997,20.938019410370632,20.92400277591761,18.94545048181959,21.138144747035895,20.75363525023498,20.3633372590445,19.952750756782343,19.551197044496803,19.770150880876663,19.36117495568026,20.347507174492883,19.275945837102398,19.89289406936303,20.18460425086508,19.744434408302862,20.653704905013335,19.518426585378233,20.52313420737583,21.815295558285875,19.548146467373737,19.702447584872925,21.040164860803802,19.556453720622223,21.06235106724385
CT041_ses2,21.120140921241727,21.326574651518257,21.256008548355563,21.28593198223131,21.39638235905326,21.15372695609826,20.58504522361394,22.028749278621728,21.61853989137186,20.70852066871146,0.0,21.585786051690633,21.032655173070225,21.792796356461338,22.030184874073086,21.499408792322036,22.496510591622435,21.83307416192901,20.360135404765742,22.449489872139765,22.08691680417622,21.76195975588394,21.40233528034342,20.612841714511315,21.47481792872345,20.554849118221558,22.106182913931853,21.54524354898806,21.321590621723825,21.688486864004318,21.346505371949018,21.86636287700298,20.791571383067332,21.745921050120096,23.21129814756409,20.460013844814277,21.27093802837653,22.349312478856923,20.90911571677754,22.28289031395485
CT043_ses2,20.72992796101197,20.993074755774217,20.74180224729893,21.4202486076323,21.021258609226866,20.772828846853184,20.56717893109108,21.427707896647274,21.03828666884537,20.548869789636612,21.585786051690633,0.0,21.306974640089845,21.116740292605794,21.71621112253556,21.289024899114825,22.165906057688968,21.2904849578939,20.03728947844302,21.899099392461995,21.714230793401754,21.00006523642326,20.83727656300882,20.56098748962155,21.278353640336448,20.318502837683834,21.320124813548677,20.775044743823315,21.114805697881494,21.653953688865716,20.927938230005328,21.411450004094267,20.94080580036011,21.296319208841474,22.37498422175976,20.69996411529054,21.045502253591657,22.033400014512083,20.200011208709185,21.977762782904303
CT046_ses2,20.660916042854335,20.93661283002193,20.50690004712491,20.24639728935267,20.137529690499733,20.075938717120085,20.122020474838425,20.371252174701294,20.81838110580713,19.956596034727962,21.032655173070225,21.306974640089845,0.0,20.577793952379004,21.60382092394797,20.45140400458244,21.561314384377347,21.475873578639852,19.66825635531706,21.625407069700977,21.523057081575434,20.819599996560417,20.349573084738246,20.26229578681812,21.062186793537236,19.44053234195433,21.51200507745649,20.359623539135807,20.340245018681404,21.126185175801826,20.679459521049967,21.401297761632666,20.353319829007948,20.983435803700964,21.819355324279485,20.47631929052905,20.62302676307121,21.328546075304182,20.40819817229575,21.74919210073513
CT062_ses2,20.87234062828444,20.812638010470355,20.596014401952946,20.197585151486216,20.846338742845113,20.31723720297971,20.259798242587305,20.412520865054923,20.995513473020885,19.84879082409567,21.792796356461338,21.116740292605794,20.577793952379004,0.0,21.622294919189116,20.967843242626927,21.489690823190728,20.724073548468937,19.884780859012647,21.74607649096319,21.645764808685744,20.923070505416504,20.584760410073482,20.088638491803525,20.916942704937565,19.484722855014663,20.87990572107264,20.54269263647541,20.9552937255005,21.095676005379755,20.756962623425494,21.197494880540187,20.249017362982674,21.367303885836566,22.097069169588227,20.389508010552007,20.969004261459602,21.931183875628147,20.610664951064237,21.824937811104494
