,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95,DC96,DC97,DC98,DC99,DC100,DC101,DC102,DC103,DC104,DC105,DC106,DC107,DC108,DC109,DC110,DC111,DC112,DC113,DC114
CT002_ses1,-0.0018428514204033065,0.00048382075575117625,-0.0023008720806594533,-0.0009359327723913436,0.0039001463796187325,-0.00020011120993928018,0.002306641006577288,-9.772251219440224e-05,0.0024526009375031,-0.001746399133787105,0.0023937416053520025,-0.003098378437703468,0.0010741754646836508,-0.0017943127055665834,0.002902762058434838,-0.0020515536199996833,-0.001244531498306996,0.0013228589756954876,-0.00018166838798213607,-0.0014359567752452935,-0.003728125705822955,0.001000973208511959,0.0035779715220476765,-0.0016640007619543023,-8.435748570244202e-06,-0.0014115869592891672,0.0020282412616457416,-0.0013535254149641782,-0.002984764754722934,-0.001300084688605857,0.0027799061864113924,0.0006950629055006315,0.0008592050681820493,-0.002118292982585093,-0.0017752238318047642,0.001543480473189977,0.0014851490272375814,0.004333599865809126,-0.0017520961015733546,-0.0010410115600854963,-0.00031810649172262054,-0.0022932700775144207,0.0010910130722428986,0.000983747943632676,0.0017985376720819175,-0.0009065779850775085,-0.004028584636799518,0.0005707909491350023,0.0011411042605917164,0.00019147912963111966,0.0010958097925546119,0.00326576909472234,-0.00036707612239850505,-4.552849641705252e-05,-0.0014573614183482166,0.0017462265245672542,7.353774276787555e-05,0.0006012312326648177,0.0019312461678292806,0.0003997158251826494,-0.000745236208003537,-0.003078375303915373,-0.000154809374735816,-0.002622562701314555,0.0026091789682677387,0.002607255369275626,-0.0003543139426619644,-0.00036835249060810645,-0.0014747484960883862,-9.980347689930323e-05,-0.0013875234279026045,-0.00034066116902211095,0.0019156245678751524,0.0005137253341033937,-0.0008126760526506439,-0.0007565652095340233,-0.000690348448606091,-0.0015472321840011524,0.001078998946083096,0.0004585153117685586,0.0016826726157526549,-0.0007861575846194262,-0.00029887580348743364,-0.0006067071319944037,0.0011306613517011303,0.0004114367620830923,0.0013805106239920927,-0.0004810508846120556,-0.00016698488034602743,-0.0004191478136287325,-0.001375624718041225,-0.0007570399608387486,0.0003875610609576522,0.0019934712111976107,-0.0029620278445982376,0.0007720290684201019,0.00024442563929845065,0.0008423863607629248,0.0008720801213555418,-0.002742265692621199,0.0011381606832694742,0.001645631485547677,-0.00136417947334518,0.0011677101052583695,0.0004896633543719939,-0.0008359798455524087,0.0009789566275730935,-0.0007017653439004937,0.0010428193045941812,-0.00031235671112593636,0.00023500311872966104,-0.00013448942345605704,0.0017845772460569696,-1.9136846735409013e-05
CT003_ses1,0.002807730073458473,0.0004015402620768027,0.002403366951723051,0.0006810245927619374,-0.0006456744247997561,0.0005478956683867849,-0.0006629553955058814,0.001535948049998799,-0.00016873803074639033,0.0031597248286191985,-0.002649009134629418,-0.0018474890909522894,-0.002098786727797652,-0.002171559265552456,-0.0014495743601944772,-0.002499907147116195,0.0002464343772009504,0.001812715512111133,0.0018067713908188827,0.0028054388467351346,0.0005740954708649485,-0.0006869808176564583,-0.0004541435467410416,0.0005571253779340543,0.0008949374810668801,-0.00012806547933796669,1.1739645111811498e-05,-0.0017775976127734313,0.0024595260493284424,0.0005067741945797798,0.00015040030088277342,4.607238951377922e-05,-0.00011967074771438704,0.0011386989213269952,-0.0014359099988299892,0.00032960783779007916,-0.0014202665227258896,-0.0007387443482181334,-0.00045344619533546745,0.002537017013872746,2.8091598089300835e-05,0.001177779191956984,-0.0010053531636558337,0.00011290169543301858,-0.0004490608247609521,-0.0023301781317878905,0.0010112174485455083,0.0006003131298956151,0.0017728006355383836,-0.0007579224958115736,0.0008542902515399645,-0.0019473954028985984,0.0010144534283344378,-0.0004949490854730536,-0.0005140501033411419,-0.0010208461885457482,-0.001443670274196467,0.0024854501492671105,-0.0022141762007858094,-0.0006889097896060596,0.0035092145370877554,-0.00296133619079937,-0.0012697520622486616,-0.00020349420188816344,0.0008479368291888867,0.0018200859697701944,0.0002685353367008203,-0.0004404952961406077,0.0038831428999709454,0.00012838079488620212,-0.00020656643297278446,-0.0024621333172657107,0.0007000150895210668,0.0013817348137625065,0.0012836308144721982,0.0009470499008777002,-0.0032614678886226252,-0.0007267443889149062,0.0013706711102272218,0.0012208787769246968,0.0019422917468290952,-0.0024101398274841337,7.6106256879271e-05,-0.001006654741475529,-0.0016886151226475545,0.000310771146977778,0.0026659324956863546,-0.0012273818286107508,-0.0016814096527549133,-0.0013073051074368412,-0.0007246724844542453,0.000698061047738092,-0.0036542729174197973,0.0008722037678415325,-0.0008955036499781417,-0.0019482721038766848,0.0003650618059816756,0.0005552297273191159,0.0008940070566694624,0.0018156170921156108,0.00038062908136646576,0.0012610453240561057,0.00042067316145525123,0.0029290250682562535,0.0022346809274532927,-0.001393753706014768,-0.0017853857780849613,-0.0015218499118762631,-0.0018363138625084804,-0.0017921738689247431,-0.00013293082579149206,-0.0004967570426900505,0.0015587792728247877,-0.0008344330973798639
CT004_ses1,0.0002310570935596191,3.0162346584247223e-05,-0.0016944100709680237,0.0016005155191892509,-0.0027797768157766405,0.0015102046521976646,-0.0008137620530418798,-0.0013032340045972448,0.00033156118312116837,0.0002854295378583804,0.0012002819995978018,-0.0008564218050997754,-0.0013749781210766027,0.00033505891304189546,0.00031540223930822254,0.0011562278307182794,0.0009294538347547324,-0.0017415705294466454,0.0029401395006563645,0.0007299798623898732,-0.00018586640245900406,0.002563237535552877,-0.0033592003569088867,-0.0020669406504073185,0.0021836463512367567,-0.0019675807396583927,0.001264183603148508,0.0003849536464246139,0.0013037832092491703,-0.003776363042540727,0.001303213038632779,-0.00023564951736813203,0.0012679443445169885,-0.003062500686900417,-0.0007573413404867087,-0.0005045225387353457,-0.0004921130996257344,0.0016156156133653487,-5.896986724737773e-05,0.0014428632760654415,0.0004193475117962927,0.0014114025848253851,-0.0009186962799865561,-0.0015351602809641715,-0.000753393319600512,0.001385641589107223,0.001219100709203107,-0.0003049027773216942,-0.00016545444476077025,-1.866791975951381e-05,0.00024019474636307055,0.003618934142033651,-0.0015028728471723934,0.0014170067524381658,0.0005611842039873572,0.00024510254374779763,0.0002821018870704457,0.00024077501874420496,0.0005231425543717488,0.00012962616490936398,0.0024714797400297896,-3.230687446199858e-05,0.0011469402504071613,-0.0011145793785675793,0.0024587408783950295,-0.0004351770673757482,-0.0016670842189313684,0.0014521209500442936,-0.0011593014310475568,0.0006460266125463217,0.0011453455090661474,-0.0012059189546685548,-0.00043568567369508155,-0.00034278754283967566,0.0014011560010589992,-0.0010197360088903089,-0.0014364568502021678,0.00031135268214247096,0.002457404884233076,0.0008835742322733078,0.0003979685521035977,0.0011306671531594711,0.0028658011111961034,0.0029683947982644767,-0.0002738854542395029,-0.0019769917480415952,-0.0009580201603494147,-0.00029995748478316153,-3.127983664105168e-05,-0.002283500402136459,-0.00020883736337704766,-0.0010229384416990752,-0.0034216849065729633,-0.00030117395890186347,0.0009266542455429258,0.0021664132899675346,-0.0001364860123238231,-0.0030142120069253067,0.0017608874836786044,0.0015193381823174826,0.0015143402087592444,0.0010408181537037073,0.00024869056581434365,-0.00021293282678222435,-0.004378513819265515,0.0005147079872658974,0.0029778227589348258,-0.00015188261027117988,-0.002402462577104977,0.000890734251586746,-0.0016473343546864964,0.00040627691917740873,-0.0009341018588660207,0.0002826132506105178
CT005_ses1,-0.002620760409272549,0.0007851025407571106,1.8697150067348787e-05,0.004243913867525,-0.00028876968103336097,-0.0037351162499094878,0.0017712531963574058,-0.0022385468276497696,0.00013553715030536456,-0.002401231352836211,0.0009334952775010907,0.0002307339587214403,-0.0022957002996908038,-0.002124350088081361,0.002494133391875084,0.0007252450604520045,-0.0007734525407198401,0.000514919361545305,0.0019287223165605563,-0.000956445421588263,0.0016636687785214872,-0.0007063704725260962,0.00021637600255190476,-8.009145198188454e-05,0.0027086442533608784,0.00016951611958904966,0.0003007380365410169,0.0010439770901235906,0.002470341992512477,-0.002741761290573642,-0.0005933369353492578,0.0043046854658960985,-0.003351486572434059,-0.002173247513752697,-0.0003178478746456132,0.0024591746747288363,-0.0005306625276070958,0.003129445208333024,0.00035704402488950256,-0.001666564808116498,0.00018928446407347598,-0.0009287485167912114,-0.0016792826373610314,0.0018411990762751075,-0.0038999761881950467,0.0025262193791837297,0.0017395415546975718,-0.0012244656908469596,0.0013507311208386468,-0.0011398543714943284,-0.003223482787430532,0.0018362163815515051,-0.0021432353476595425,0.0021538843918116213,0.0025487597242534903,-0.0016601984718271551,0.00016998405333178054,0.00016819055666673677,-0.000498477248796178,0.0012067149667647477,-0.0005972995068430255,-0.0024076799732172904,-0.0016511411992691416,0.0007634717063736839,-0.0011646364018622225,0.0028517328327017704,-0.00093383348049962,-0.0001745905567577745,0.0003191912914420831,-0.0013338748878165658,0.0018577891945469255,0.00039406221798109014,0.000699064548520947,-0.001600360925908342,-0.001498908763185175,-0.0012785773195081128,0.0008674239792602045,-0.0028163404502445813,0.00019534429020594038,-0.0006422354582577018,-0.0011215554699591354,-0.0001241613898372271,-0.0008094934511643534,-0.0011030692767276967,0.000388196052079874,0.0009819351585493147,3.0008133620124305e-05,-0.00039760842551851504,-0.00019512125637296052,7.71938819268467e-05,0.0012722100846417966,0.001147900444161764,-0.001171333055676702,-0.00017598076950551327,0.0025258583728027867,-0.0006498945875556676,-0.00022855318387567013,-0.0004421910654489285,-0.002511959120272889,0.0012853700619015558,-0.0011735406952931148,-0.0011365662157153853,0.0008575514490016917,-0.00030411106245096815,0.002998270251884236,0.0014596492099151718,-0.0002578279421433666,-0.00043668607224963367,0.00036237987769298466,0.0008106643815279525,0.000871752908267513,-0.0006262433264397298,0.0013365393614841342,-0.0007444201728342334
CT007_ses1,0.0032482811923964425,-0.0015905984819593057,-0.0027303481100752133,0.0018379319535984661,0.0025238199122577854,0.002421764169090062,0.00025953038574788275,7.681089503175217e-05,0.0008268246866621078,0.00042676424501224904,0.0031990845640038922,-0.0014091783246282861,-0.002862345885926111,-0.002421376095826228,0.0003974145320816741,-0.0025605288223896935,-0.0012075467089260766,-0.002061834080075411,0.0021044642995728885,-0.0009056814735267753,-9.251377513365576e-05,-0.0006329972552075977,0.0002277739336684273,0.000577250286793068,0.00010251232979831939,0.001058523032762989,0.0029036429584178053,0.0034079188609577203,-0.001691709531427495,0.0013187056940292196,-0.0027897398127712963,-0.0018013565191965465,-0.0014955902268355933,0.0019062528982734417,0.0008898618750197944,-0.0021255274315097957,0.0006034676697808279,0.000531244562940906,-9.728995850711443e-05,-0.0021048132167920427,0.00022157056364421142,0.0028183610256469205,0.0002488654407341445,-0.0006386561853413765,0.00023602507589496073,-0.0010694381341973564,4.5547359312892654e-05,-0.0006654223702688185,0.0001507103043265969,-0.0019135522840585503,-0.0010197848796733365,-0.0037227225890359913,-0.0030069562740604786,0.0019452893900701294,0.0021635967730319794,0.001165703699552522,-0.0012207497349793128,-0.0025283768741437428,-0.0013749497676584562,-0.002117271722815533,-0.0008545076779861405,-0.0010540964170604515,0.0005623299085444438,0.002481384005087385,0.003537394339462265,0.0007266227372732813,0.0011544428630945278,-0.0010152276426223948,-0.0006543879478025851,0.0021909752472277803,0.0007254126281950834,0.0021753095004136266,0.0003581418598404232,0.001665067166474065,0.0036959552849765835,0.00021744541652061065,0.0010305044496565095,-0.0005545790209445545,-0.00022211301379210582,0.0031526104233194387,-0.000956432153757861,0.00022052559760215633,0.0037456898488555765,-0.0006545231114681372,0.0020062293785564653,0.0007179031235513849,0.0026004012248007653,-0.0006150203385705394,-0.0008364678742849887,0.0010839412827077012,0.002125486941432921,0.001308934997610556,0.00031705791883330527,0.0009653838785609855,-0.0005032879877615413,0.00012988497975231303,0.0004737248821196067,-0.0004174579430193986,-0.0008849306854101015,-0.00031725732027067753,0.00044600387021556746,-7.322442403914599e-05,-0.0010343109392713474,-0.0008375450809196206,-0.0002564725348022295,-0.001328259988023088,-0.0002335997548386662,-0.00045481764149923556,-1.9229443296676556e-05,0.0018448424953746666,0.0009025548840031492,0.00011888895037799626,-0.001361317212875736,-0.00032894502327420714
CT008_ses1,-0.0008807160468129869,-0.002756260846514085,0.0010828445954853916,0.0018689340974669222,-0.0009222096879464302,0.0018419390981556777,-0.000978959042933475,0.002061145870018891,-0.00018767523451823428,-0.00523376735327669,0.0008717608980854096,-0.0005379174366858031,-0.00019970950922535978,-0.0007490912380683734,0.00032817411238727937,0.00027203933278682123,0.001242621145602358,0.0028171318280053293,-0.002182869495872165,-0.001860623863123809,-0.0007026401089982248,-0.0003941242756780726,0.002069945959111214,-0.0011627627939970082,0.0010551724892841905,-0.0009428027482195875,0.0005743281722260378,-0.00016445518521290752,0.0006030633186408144,0.00039898516577246723,-0.0019850773657274306,-0.0018703394770056157,-0.00040203362850708957,-0.0011992269206869777,1.4118617239935125e-05,-0.0018375872843380007,-0.00044891217715476204,-1.507552325709111e-06,-0.0015703676401218256,-0.000915248101548305,0.0013483147366822083,-0.0011590983277679227,0.0020653583608853114,-0.001975179608718267,-0.0006256103469923083,0.002427045844783894,-0.0005381991974359843,0.0023595512399879263,-0.001597108728472127,-0.0010755496907704006,-0.0019506816464652744,0.0021982958405265323,0.0018057396774216795,-0.0011336965550754268,0.0032377300425462737,-7.094624847761526e-06,0.00038366362205819306,-0.003118982719530528,-0.0021269950274421675,-0.0011162091778789919,0.001714709938960304,0.0004814083266410159,0.0008624886720363557,-0.0006332706898840412,0.0011261696945080155,-0.0009291999536171261,-0.001948791159199687,-0.0033523812961895687,0.0015243770924238322,-0.0018944106400583518,0.0004907781687804698,0.00010042935536615226,0.0011064999040154612,0.0028120337079377803,0.0002586316482322264,0.0013189551066241398,-0.0012402208265469038,0.0010975855592191173,-0.00150745273176706,-0.0005123252765555106,0.0020935517082999434,-0.0014247903756269753,-0.0005872948107034457,-0.0034777803893152413,-0.0008486954601577872,-0.0011009956025428247,0.0025446079095265204,8.333648287733256e-07,0.0017236601961211457,-0.0012644260894144018,0.0003629969941562929,-0.0021328780609877894,0.0004327575555356149,-0.0016535326783512021,0.0012046717426647193,-0.0012187827359950653,-0.0032507832680576144,-0.00021084083150640974,0.0018610098005767952,0.002319017188824721,0.0012054940074355367,5.035940311325238e-06,-0.000700125589729735,0.0007481539429544013,-0.0011264914233335267,0.002476781229305727,-0.0008310648729121799,0.0013049393139556212,0.0016733177395476685,-0.00013346570510451794,0.0009966843602521895,-0.000990215081792554,-0.0008966852407749487,0.001165782471334334
CT010_ses1,-0.002182851532838897,-0.004541028168313702,0.002390014159130352,0.005860582120011184,0.005678404817465803,1.0916706555871214e-05,-6.42711672555516e-05,-0.00042662069336784887,-9.761999032781631e-05,-0.0014835784819962523,-0.004176182348475441,-0.001184211296232665,0.002953881167491888,0.0012274889564609546,-0.0002932527997748244,0.001668678851417626,0.0016368864697351533,-0.0044394443291605485,-0.005577699159136514,0.000634517744484543,0.0011724868459447129,-0.0019844016090859,-0.000511441475965075,-0.004456022769074204,0.0011942015463822305,-0.00010202441534704838,-0.00014779878106800065,-0.0005899046249984351,1.7110385279451647e-05,0.0018118297679884411,-0.0020108118646914148,-0.0016114815571253824,0.0013758204770923065,0.0021775012059953593,-0.002537680576248095,0.0005553653680555651,0.0027885229753881503,-0.0010340901235360374,0.0009302896184125222,0.0010569985312352415,-0.002816303536811836,0.0002820299699895369,-0.0008180648301792943,-0.000918744596357443,-0.0010138707067439716,-0.0013943987350586089,4.229864084274639e-05,0.0025319502153443234,0.0033683942487143037,-0.0022671663016084463,-0.0010654553663112238,0.0027663031606317804,-0.00037876978648447346,0.001219352683343082,0.00042253951412894497,-0.0017620466234659394,0.0017322855600008613,0.0015179023523934645,0.0007593580227519541,0.0003382699981264707,0.00015841785626376836,-0.0010823676073044338,-0.0010851296404319553,-0.0004934992083911123,-0.0026893178101307907,-0.0008506036585170288,-0.0003326925498329209,-0.0020790545173311873,0.0010046942068290305,0.0002730217056195693,-0.0002458117217918064,0.0005618044235568313,-0.001073602844582283,-0.0002679008635209915,-0.0007628734718857257,0.0005109858976569718,-0.0006241472573522329,-3.9002705753904946e-05,0.001118373850673702,0.0002925191950546647,-0.001091654958133965,0.00072245993361184,0.0011631725940157113,-0.0004786447920999505,0.0014422575679186168,-0.0010233593932765155,0.0003505109353089588,0.0011341804499071888,-0.0003732669518654228,0.0014489071900914865,0.000554657811667405,0.0015953325137996034,0.000462880438475285,0.002942413010792357,0.0005901367704401044,0.0005308203624249724,0.0012109827018510957,-0.0006712069200088694,0.0007223955887175036,0.00013759065681717808,0.001325487452599606,0.0002529994965721937,-0.0005064831415282616,-0.00019038955344168613,-0.001203393387308948,-0.0009876708219053252,0.0003766930363258791,-0.0010154095731244141,-0.0005183395816702369,0.0003461081988065278,0.00024141114973087762,0.00033726964152094976,-0.00015556331880168728,-0.00033559279312303064
CT012_ses1,0.0003060562551791386,0.0005908877562643466,-0.002379779925108413,-0.002605361126014651,-0.003124045479434326,0.004166624579643236,0.0006232523203134678,-0.00171059633662207,0.0024253875337264955,0.001660133043064899,-0.0028142538652840073,0.003059804082724858,0.0014347231022344012,0.0043685153982903,0.006351413269885245,0.0010664568524347824,-0.005768579301186674,-0.004988135627537182,8.725976097894083e-05,0.002664888198443026,-6.500341519380553e-05,0.0007377162218737735,-0.00047886597285734625,0.0025916589200771496,0.004104749185506643,-0.0026037337459438375,0.0006660956336249124,0.002252592394209767,0.002495999367012097,0.0027430727471424794,-0.00030357961068936106,0.0004629614572847273,0.0003340975848732552,0.00023595466698560116,-0.00026912827394150836,0.001167844187602669,-2.6770557597033856e-05,0.00039494678140516927,-0.0016062093381874851,-0.0037143641730781277,0.0009754460027402882,-0.0022381753010241347,-0.0008820427698659227,5.151992465256499e-05,-0.00029699275819650004,-0.0012184449476070592,0.00044899901674538866,0.0010365904995229102,0.001845379860258655,-0.0008506204659545754,-0.0008355288773214301,-2.2408128700938707e-05,0.0024608268578201844,-0.002365555704192847,-0.001589080188369424,0.002594971833740655,0.0012566027741767228,-0.00016523175235342734,0.0001979813531806805,0.0017366923143416523,-0.0011537733102218147,0.0009622568614557024,0.0005206641971541684,0.0018033513555457683,0.0018316729950690243,-0.0008341481298498127,-0.00010486360565243252,-0.0013332214203963721,0.00033392571500630644,-0.0009273003448369435,0.0019655279586258917,-0.0007473768740121896,0.0006971679916544595,-0.0005435266805412993,0.0002253343542114992,0.0007771421376756258,0.00040832717387065105,-5.866394301479482e-05,0.001074203506886711,-0.00024013537539793118,-0.00013232657774854618,-0.00019380104698317355,0.00021393463079482313,-0.0015446899035623895,-0.00020612397775509694,-0.0012953018839867807,0.0009227617865490955,0.00015237486996897654,-0.00011168510042209406,-0.0005388721619560755,0.0002866517018014254,0.00015491271294605993,0.00046461795204332196,0.0009160807361872856,0.0014236513845329226,0.0005529733504923175,-0.00017591998958597913,-0.0007033376238644445,0.0024444532249394135,0.0005895388657729182,-0.0006779969711124764,-0.0003319669552959151,-0.0004400137560214463,0.0006098294226462128,0.0018079259723685355,-0.0012767889715739468,-0.0005231541336223016,-0.0008019608855821359,0.0006965477315768006,-0.00020665387627221137,-0.000686023928367528,0.00017231950176401092,1.113031877396506e-06,0.00040130530570820953
CT013_ses1,0.0006033735075160149,0.0009084734019038217,-0.0017242413159617525,-0.004002975738046833,-0.002176076508487117,-0.0018721588485387927,0.0016875588148100897,-0.0013626894414662518,-0.0003240218631324983,0.0007308517429360624,0.0006082852173884005,-0.0006702209369345613,-0.0008182836285030613,-0.002833760257209958,-0.0014415533447774422,0.001996508272593671,0.0008666303044980985,0.00031824025301452287,5.404992770650336e-05,0.002043270200729092,0.0029343751654044396,0.00018042396046772605,0.0019586891542525734,-0.0017300649002290089,0.0005668549725543761,-0.001279287452432728,-0.000386426254354265,-0.0005850076653613683,0.0012098625193784434,-0.00037976616514475136,-0.0006084895797796534,-0.0011020839844568936,0.0009851665681523765,-0.0006938502848869329,0.0010709255384704053,-0.0005842255672084183,0.0031995263363320176,-0.0006187349749844558,0.000638251049528082,0.0011617988458453886,-0.00013012192349802908,0.0011489896811242514,0.0005291401134591395,-0.0021548037677094484,-0.002452087352324272,0.0029541857877441397,-0.0008040905117828518,0.0020041475542637984,-0.0003292248572754398,-0.001368638014635371,-0.001339585272733446,0.0011757751386266945,0.0012470173439277253,-0.002187936391105309,-0.0001510740655904159,0.0029463046373533223,0.0002658895162282859,-0.0008330036604350775,-0.001166695263501961,0.0007881923034328397,0.0025674725291697357,-0.001901375136272869,-0.0009233636954141668,0.00030193591812895495,0.0003953968986804097,-0.0014942832015155645,0.0024575034200980833,0.002074347439752107,-0.0011891703188684015,0.0009670723731058631,0.0008608715364823574,0.0014162502871183738,-0.0005515732617733775,-0.0006518864714480776,-0.001056410380333817,0.0003198212066914121,-0.0021285585197952112,0.0011737951868662068,0.0019510224394241938,0.0018036397913298626,0.00038311890399151495,0.00298775794368072,-0.00012141992946506128,-0.00010008824860366595,0.0021038709794221006,-0.0003866908609765159,-0.00029980709058702266,-0.0005078823417990697,0.0003191698659210949,0.0010772325901629433,0.0006348229452202958,0.0008505258314381036,0.005317440466470597,-0.0009936636847023158,-0.0022755285458982686,-0.0018160580902333147,4.9538747772139394e-05,-0.0018712940020999334,-0.0024973808072728068,0.0006676966077037025,0.0002630295023869699,-0.0003137558892800375,0.0005236526700448888,0.0033633427526689207,0.0020538214247193902,0.0002667393362029272,0.0011928984079700538,-0.0025278828242365392,0.0006234029552634889,-0.0008335908473598086,-0.0018355165131471469,-0.0007864785027211382,-0.0007970389596352028,-0.00035270834556598026
CT015_ses1,0.001161208838072266,-0.0027954709294809887,-0.0018477506924128387,0.001019663490695358,-0.0026206017986882724,0.005262593709036186,0.004917340908802565,0.0026113445908063967,-0.0019318736594497747,0.001026802879510386,0.00247182684276285,-0.004913576391024387,-0.0009661797133078902,0.0017806345286340733,0.0005128729075161038,-0.0015873472001192179,-0.002838109927981316,-0.00036731300534713774,0.0005987666192360964,0.002582369816384233,-0.0007627297085879143,-0.0016913612907574081,0.0029807105502238185,-0.004532463231555998,0.0016550742591702552,0.0017806971889637296,-0.0011976145906295458,0.00027564169521129616,-0.0015890204947085391,-2.5903845275681934e-05,0.0001715179556761068,0.0003257210591592196,0.0002135683125309957,-0.0014546855862102755,0.0003237272998705659,0.0014316835455507326,-0.0034550598760443394,-0.0014373959638531882,-0.0014903815108233938,0.0008966472921155717,-0.0008501353875802349,0.0003823667470464805,0.0009800683632179934,-0.0026386706599064633,-0.0025393078820746965,0.001987736112427759,-0.002305270795760333,3.417545369442631e-06,-0.00017175481093002057,-0.0005321922688982214,0.001159635406502131,-0.0005969447270744224,0.0006999404239213301,0.00019924848408374584,-0.0013986399997926364,-0.001001869697307941,-0.002773303928156141,0.002693283820189926,0.00401457551871081,-0.0010419193370625247,0.0015374288606170505,0.0016242828221610587,-0.0005500247837021156,-0.00024911734670889465,-0.001181779514282101,-0.0001289636067301005,0.0014574744942082206,-0.002095930717159498,-0.0005048660269281378,-0.00026281857227522515,0.00191905488017899,0.00039018108911858005,-0.0014177430101747414,-0.00041996864841499737,-0.0014588138393872914,-0.0010941190399390529,0.003637023170712538,5.119224478291855e-05,-0.0021574053519763953,-8.880307711582857e-05,0.001303735221706143,-0.0014623393109762608,0.0002824365464468409,0.002174234055279694,-0.0013727143745888182,0.0012682101933361432,-0.00043407592071396077,0.0015642301121814015,-0.00025402362717342325,0.0003066306991995434,-0.00033144922719416386,0.0003104395143533994,0.0008169743935109441,3.955268777126939e-05,0.0010261927381198565,-4.585067853189244e-05,5.465902899865585e-05,0.0008185126108936034,-0.0007317683953501364,0.0015237994168742996,0.0008480727661487783,-0.00032633876126007924,0.0014155282209211838,0.0007632184164419048,0.00048091467043349944,0.00014586849318071367,-0.0007628938379877386,-0.0003667860796985237,-6.999679524446612e-05,0.0012442789055831403,-0.00036358895070956633,0.0004596977249231144,-0.0009422796659235742,-0.0012415860602933049
