,CT002_ses1,CT003_ses1,CT004_ses1,CT005_ses1,CT007_ses1,CT008_ses1,CT010_ses1,CT012_ses1,CT013_ses1,CT015_ses1,CT016_ses1,CT017_ses1,CT018_ses1,CT020_ses1,CT021_ses1,CT023_ses1,CT024_ses1,CT025_ses1,CT026_ses1,CT027_ses1,CT028_ses1,CT029_ses1,CT030_ses1,CT032_ses1,CT033_ses1,CT034_ses1,CT035_ses1,CT039_ses1,CT041_ses1,CT042_ses1,CT043_ses1,CT046_ses1,CT051_ses1,CT056_ses1,CT057_ses1,CT062_ses1,CT065_ses1,NT002_ses1,NT003_ses1,NT005_ses1,NT006_ses1,NT007_ses1,NT010_ses1,NT013_ses1,NT015_ses1,NT016_ses1,NT017_ses1,NT019_ses1,NT020_ses1,NT025_ses1,NT026_ses1,NT027_ses1,NT028_ses1,NT029_ses1,NT030_ses1,NT031_ses1,NT032_ses1,NT033_ses1,NT035_ses1,NT036_ses1,NT038_ses1,NT039_ses1,NT040_ses1,NT041_ses1,NT042_ses1,NT043_ses1,NT044_ses1,NT047_ses1,NT048_ses1,NT049_ses1,NT051_ses1,NT052_ses1,NT053_ses1,NT055_ses1,NT056_ses1,NT057_ses1,NT059_ses1,NT060_ses1,NT063_ses1,NT065_ses1,NT066_ses1,NT067_ses1,NT068_ses1,NT069_ses1,NT074_ses1,NT075_ses1,NT078_ses1,NT080_ses1,NT081_ses1,NT082_ses1,NT087_ses1,NT088_ses1,NT090_ses1,NT093_ses1,NT096_ses1,NT100_ses1,NT106_ses1,NT112_ses1,NT113_ses1,NT114_ses1,NT118_ses1,NT119_ses1,NT121_ses1,NT124_ses1,NT125_ses1,NT126_ses1,NT131_ses1,NT132_ses1,NT134_ses1,NT135_ses1,NT137_ses1,NT138_ses1,NT142_ses1
CT002_ses1,0.0,2.779594115918897,2.6511303122273335,2.9188312126468725,2.9952397184846418,2.538801641392224,2.6306246133621904,2.258056572041404,2.9975551391508257,3.8703562069372173,2.439022920350515,3.028948906280319,2.8434418247720554,2.358334714756363,2.366184410983857,2.588826380608589,2.470222403687172,3.1154194444597305,2.9803805689388376,2.289545402308238,2.1740899033575873,2.3151696506730817,2.3260562184797537,2.153311665941092,2.2224796238488653,2.7520300866481846,2.503539191358481,1.89335946188515,2.1056165809942518,2.709046730890517,2.465402261291825,3.0645278538669927,1.8705879342979483,2.0289251307551304,2.371902732521992,2.3513885930890974,2.174964299458921,3.654025046139776,2.8070903235867815,2.9188312126468725,2.09817618559122,3.1935352750442974,2.084757847182306,3.5253480480742128,2.4960953433248094,2.439022920350515,3.0702476963539396,2.947667592248942,2.5616743236066006,2.9587847497097393,2.958755695713498,2.6667596468243304,1.8610748934140318,2.7622519408706556,2.024347180902147,2.8041506317369573,3.14105764822401,1.615906289762266,2.503539191358481,2.2377899549074134,2.42404749125212,2.1196188907508153,2.496290338472658,2.410066619821173,2.5166039380831626,2.2361726946473373,2.677848369475553,2.6994090699110473,3.279952954605287,2.4283958063198607,2.9848217071338663,3.1202500416046637,3.05466578281702,2.9062792078816124,3.2965523019861043,2.8618885186184775,2.077759669511807,2.825056583420989,2.571166822125751,2.7631916381961426,2.4329170573907053,2.1778577047586407,2.045797417315702,2.1378154318908114,2.8865295733468477,2.235566922015262,2.3251379937608156,2.8185904525895564,2.8086574172034053,2.3470891534286364,3.0357361579554456,2.1850775659671116,1.6213674792603894,2.3326706577684226,2.3846542437135936,1.6701540638811345,2.4632423500952747,2.600886048034352,2.5787918600163806,2.0472596085592842,2.5037680275719416,1.799709263003176,2.1312258107864026,1.7844661725877584,2.327560556212045,2.1967665571994486,2.352040801399372,2.234262495364298,2.054798248228104,2.2894261698027005,2.5533075838004597,2.503223415358696,2.148946514858466
CT003_ses1,2.779594115918897,0.0,2.890271664164515,2.0699656464969527,2.092526133391493,2.6532753660243107,2.4481258467512075,2.3136249111364684,2.905214283470809,2.6344772812687522,2.143832464792241,2.7598897188835054,2.1236726520450735,2.1525676497754533,2.83898775257591,3.125301599038305,2.736768930317011,2.398661572538548,2.4206631313024713,3.129033732341714,2.1877079497171397,2.237655739435384,2.80490893740385,2.6043739632766028,2.449994259684852,2.5352968590286222,2.249168993989186,2.749484997234273,2.464514462666532,3.100049894806976,2.967263406264588,1.7683173848192757,2.743809782391321,2.2936724025108637,3.0475066108442364,2.9975089966422543,2.718971675890243,2.4815373915008023,2.274571196566382,2.0699656464969527,2.2960548928120454,2.6921744124154325,2.7097832620329454,2.572808399452742,3.2364344308928366,2.143832464792241,2.3302308407573435,2.6042733516400443,2.8643247205038525,2.256911434881944,2.232599172527101,2.9514738946580144,2.3341808039239966,2.3621065113796336,2.501527645011778,2.718597297736787,3.3328709388274667,2.5169650972108237,2.249168993989186,1.912784405170388,2.3914217941550318,2.5851158647877654,1.9154002771492655,2.5901359509582194,1.7783614927429277,2.8159681495382176,2.2817389541078077,3.0918568025952142,3.459638329792186,2.7943917821069806,2.625533432082753,2.1184340801335924,2.3401805973268277,2.0583547869895944,2.6514393275132413,2.526662773007882,1.799832916160668,2.3331286498841535,2.1758738986060098,2.5021369185417406,2.125267103923176,2.0366661603995726,3.0801551846871953,2.5792525206182346,2.493898086894695,3.473993819889147,2.274414505073909,2.4372302160274075,2.6559897785539244,3.1787854137009255,3.138310893624687,2.6432872342208875,2.3291360663928895,2.2569882371685,2.7495313046814425,2.2519388682226746,3.1693954978550956,2.460501700303644,2.9111615633625036,2.4701553400504674,2.074973626027307,2.2131723322113883,1.9324282355957936,2.430417238059601,3.2038368811676796,2.0298140389528574,1.7127864678013234,2.2498180709126694,3.453380903751887,2.3697917503819705,2.116150467769122,2.832425791028894,2.345080162110301
CT004_ses1,2.6511303122273335,2.890271664164515,0.0,2.6654282264888485,2.5148258928564475,2.5397517680227435,2.648381131651435,2.109398782504889,2.1826214760843405,4.017241841870202,2.291220474999253,2.874409618796956,2.2546002126171665,1.82817140533556,2.1135550725600853,3.075297182390736,1.869276188298832,2.857108094830435,2.225745238637897,2.0942022875796202,2.7537373885675454,2.673937066289283,2.5934065455725266,2.5665284361283556,2.3227631148656043,2.3789660302402953,2.434670552100303,2.557709843655592,2.0921839415150005,2.514026055600574,2.123106370754605,2.88487838627351,2.33057476092356,2.0358421488720815,1.9952450703306515,3.1740263052846145,2.849996612498847,3.4282861462405614,2.719784644701712,2.6654282264888485,2.2557728653392566,2.6836069775835805,2.6739132338627276,3.6345666803922745,2.5476851494285695,2.291220474999253,2.904883538081577,2.734077860854234,3.043656311406735,2.873194463215976,2.964299208623375,2.237734317442552,2.332536698599063,1.7262486836289685,2.3069606851436766,2.334194151036039,2.9126591564996285,2.5216198681950552,2.434670552100303,2.3158248486280457,2.7554354232205918,2.6372178420401196,2.1781353096797416,1.9444016992618491,3.0223618556416363,3.261146374644573,2.4732275394978034,3.0547633467472752,2.851641599596638,2.0870082871497364,2.9160603674003283,2.928060314841686,3.080524528492578,2.389827462664547,3.126577178160038,2.811790737067966,2.713595269022236,2.538886854041443,1.8414383333221325,2.2973596121867135,3.0118148615379825,2.8999816045383797,2.258014303441175,2.297550112973683,2.9917021719075505,3.015376576914123,1.9333036103532435,2.216850725829078,3.1118560820033805,2.351674891168385,2.4302128422327365,2.690836566701151,2.606455984402518,2.2241963214856733,1.8754469161486382,2.2989561264088927,2.392789521962272,2.4445028307673753,3.01469098429075,2.2219389728206616,2.699199638307299,2.7016984210025554,2.6328432250653924,2.891397172334104,2.656387016528115,2.2243356714776086,2.3710018150836354,2.1346334593358867,2.325194173889605,2.569591843750127,2.4146231729264245,2.5095698434737765,2.6684735647615967
CT005_ses1,2.9188312126468725,2.0699656464969527,2.6654282264888485,0.0,2.43717466175254,2.817197768983596,2.6879390710474897,2.4490558815515113,2.875295013355065,3.305172753244378,2.2307156862396944,3.0220947382075294,2.688317517888706,2.02778083345674,3.0587557016160165,3.240646692768762,2.7982598094896116,2.0849067239652013,2.595064087194275,2.9992882664415443,2.2739832961621342,1.8506825902891582,2.7688572804331693,2.539721360139046,2.255626409986504,2.227240407193593,2.3148048988758507,2.721613167751108,2.5799169832153073,3.0330299254383615,3.0410783832024655,1.8737229822132553,2.768926268448065,2.720282633859469,2.6710863900364727,3.2354177402760547,2.9448408276962317,3.189768751750884,2.7891314199274624,9.064022496787066e-08,2.123236148672192,3.1547097082319997,2.7929453244999145,3.2505455354027495,3.0665131764824474,2.2307156862396944,2.4376710817855733,2.7626062033383416,2.8465088141678248,2.540938337604811,2.409704695271823,2.449412981255084,2.484070522482625,2.269617115039553,2.6105122563276204,2.8345510293736305,3.2279938387804172,2.932587791444059,2.3148048988758507,2.242487069992777,2.73548594618015,2.69389458276113,1.671853602420665,2.4379213060212894,2.8500784105287447,3.269082916924831,2.3178332602601714,3.149028751409749,3.365359859319924,2.561933558677942,2.5186489536921166,2.245779090715856,2.721156508150451,2.0692520276519364,3.129035227630196,2.954856820671408,2.0925755941734847,2.5724730339060446,2.1198294891444807,2.553923916059416,2.295261005518625,2.557618440535207,2.8915371576696813,2.9964312186052706,2.1609314352135747,3.104620738956067,2.0416963028347364,2.202563447013306,2.59927068450629,3.2265964668858205,2.4870709003438844,2.8350523598006787,2.795234857835033,2.5692775196107442,2.595819392390043,2.3539098260880578,2.725556815664163,2.5712699623447044,2.816446693148177,2.301582508316534,2.8521397067198286,2.7879279100075607,2.42113673653958,2.680112808025882,3.122916615817453,2.4535005371087513,2.22881706381845,2.4734484136365023,3.5447420855746774,2.38573025316656,2.363079346348895,2.561926158115158,2.6865014889540992
CT007_ses1,2.9952397184846418,2.092526133391493,2.5148258928564475,2.43717466175254,0.0,2.241912408238908,2.290796572723134,2.525068875439907,2.779562781936101,3.1085505379798386,1.9778662236672946,1.6252044978227094,1.975418937271212,2.0140048080073516,2.635236276741067,2.6711077895199713,2.6333999625820215,1.8323232571689638,2.261742283656365,2.9154419230487303,2.629911371742841,2.192684058995253,3.1207490405112317,2.4044212458931296,2.19662981611029,2.179354119788497,2.3707723196370107,2.7311736106207736,2.3981571492808644,2.2975790341691913,2.6985489491217916,1.7321957667493846,2.812599108657493,2.7828594862297944,2.65655509197925,3.174814979582583,2.2345385150319594,3.000438846541786,2.3088784422881696,2.4371746617525374,2.3632376301247895,2.59972384844109,2.4059570024922863,3.0366773172179498,3.2114176944279813,1.9778662236672946,2.670071417179808,2.3384078922657823,2.6421425617467884,2.143487274987828,1.970253170314052,2.6545513942038337,2.236348303912884,2.1318595373099165,2.3771137829443,2.5480362202327376,3.151820370326939,2.632783208626707,2.3707723196370107,2.3610632867495944,2.2889532315033927,2.648311637839589,2.076331858410684,2.5978024885967055,2.6840571380104348,2.84733458505358,2.5307525357280185,3.0655418750953176,2.7190401011104735,2.5435463435461334,2.435715770794313,2.406434001369557,2.795520139128661,2.2477862330930822,3.130957861584568,2.179014651752099,2.317059454182276,2.0773733800656897,2.159495219634021,1.6997109321456383,1.8276586579900362,2.409938918597444,2.8252865780759606,2.880446006005789,2.0221871764236776,3.3826437088880015,2.064698800403565,2.014667671772475,2.5012012824106615,2.9928962691094387,2.690397051214701,2.9114393377933476,2.3555533957839123,2.1745277639161493,2.8142019436544974,2.184437545326439,3.085361922133289,2.7238487425757842,2.4890436625705137,2.7033756236535598,2.5450376196566076,2.0732560421121033,2.0007415080324487,2.8414556414700467,3.0151217577667384,1.858934095423603,2.141947144223639,2.427590073653508,3.2576037740071584,2.2322991286778864,1.7555636927696772,2.5905526383874995,2.284154396166033
CT008_ses1,2.538801641392224,2.6532753660243107,2.5397517680227435,2.817197768983596,2.241912408238908,0.0,1.9221636666243604,2.36044660810812,2.7017336165999826,3.1048974304131205,2.1551006034546933,2.439369892447591,2.404876511568245,2.205261626345798,2.419059266671006,2.4611134370559173,2.7852610161275075,2.5622090506383794,2.5912494275137856,2.6188920034937078,2.562271475447885,2.2712777223066234,3.090526593195769,2.26594301048485,2.0236042620195973,2.1129063073243426,2.373956077930761,2.6847066554946557,2.5083780504277016,2.3127522906590876,2.0412742448902166,2.63115592747966,2.5580561392267884,2.2025224299079182,2.460932100284397,2.4674617431468313,1.9570727716210359,3.3563836622320764,1.9306088066191083,2.8171977689835983,2.1026439267350594,2.3827595359991096,2.113018772306484,2.6647418905976625,2.556864287051274,2.1551006034546933,3.116706582750196,2.3056738234814764,2.3679144679268984,1.9669654010621862,2.1231777239455565,2.536098399959655,1.9881748031172273,1.9607363113510559,2.2296238191786086,2.484108617612325,3.059919382112505,2.8013462959504887,2.373956077930761,2.442740192638301,2.2792452122693465,2.6814238836347153,2.5306385723022937,2.4461430155345663,2.3794344211022964,2.4367823039038408,2.86534142920175,2.8279580905609993,2.5680603606402665,2.290665413213539,2.3145816003921453,2.8214369098020735,3.0677960913783635,2.3741236381966546,2.9628811445109906,1.7188208216109957,2.341237623411727,1.9482799092296847,2.2068105340870336,2.0170396564966433,2.087980459086407,2.41900682748322,2.760424827008509,2.5005041113191036,2.4446059025720093,3.3348752775485004,2.29195527976455,2.510865531596001,2.4460460704512066,2.7912602625421954,2.5318754272749873,3.0977341435063197,2.0642742580417957,1.2476628423995908,2.4330775068775083,2.2252008292623446,2.436247485058737,2.1021241967862205,2.5634762146608066,2.4166068327606394,2.961764279032061,1.9515111421334865,2.060571773101793,2.3116495786211884,2.9596963021383527,2.4167357437135424,2.0912646378545263,2.3362457078423784,2.9962018920897227,2.1900613981298824,1.8679118018871876,2.0985124173253378,1.8735896239047396
CT010_ses1,2.6306246133621904,2.4481258467512075,2.648381131651435,2.6879390710474897,2.290796572723134,1.9221636666243604,0.0,2.175310947221635,2.1012777046461264,2.562998686665324,1.7502964955978348,2.0593255767354424,1.9797466661728789,2.2554161160662773,2.5966243113003586,2.7186349704931922,2.2803876859997425,2.6589346628823454,2.755460509362908,2.95715865389426,2.6528520878473256,2.0860359940792237,3.0049247664233145,2.41324872683198,2.4831241436496865,2.1023414026929013,2.4156749612541875,2.4768312092324227,2.2802593383984022,2.517472219809639,2.6182694591726876,2.453582108184738,2.444752837961686,1.9515169652802395,2.5133099403439365,3.117817956604792,2.4029813415240926,2.3556309508362636,1.885878801986759,2.687939071047488,1.6901848905407406,2.1888822631128138,2.608341993048975,2.360507206809189,2.6923444418598947,1.7502964955978348,2.7765552483777345,2.358571508423718,2.84915548390237,2.107093360922143,1.97397817469552,3.0949000301321754,1.869416357216462,2.0332851619703614,2.3760607272793552,2.602254284981924,2.6660075620883514,2.956886338290138,2.4156749612541875,2.3493864153641857,2.3921781638840875,2.43826575542411,2.273979392155925,2.413576995207284,2.048841182893718,2.650456852196126,2.4991276101018185,3.082332129424483,2.6215215798513842,2.079903331159068,1.9279079506281958,2.2367267806672557,2.2056752153956123,2.254475836696332,2.243244739657973,2.1385594723689803,2.1788143337355725,1.0958450504298172,2.5429470640092022,2.0284014260673144,1.9310546349603628,2.665194082742789,2.758726315453802,2.745581330756455,2.5690705316126485,3.4033859472776666,1.980967327970668,2.5309609231359955,1.7585045882788473,3.041480877039651,2.5594807253514658,2.638452761615309,2.291941933759825,1.8496732615133338,2.155410451171262,2.449565945248765,2.77222895751725,2.6335212395375,2.5642282018445552,2.0319478885812585,2.616005425988206,2.0366725510657093,2.229806071623773,2.293218302896995,2.329081265142182,2.4587633215184703,2.266328729748244,2.108553238896211,3.1157130612432953,2.5536409653113696,2.318032233424021,2.02926481669179,2.172349397816385
CT012_ses1,2.258056572041404,2.3136249111364684,2.109398782504889,2.4490558815515113,2.525068875439907,2.36044660810812,2.175310947221635,0.0,2.1736722089914515,3.3422428080685425,1.9196041090762077,2.4591128859010056,2.0172813250816275,1.7864615216354733,2.0739188171743086,2.7640560214296492,1.7406264596333891,2.3913799988252795,2.210321313619919,2.049611588591285,1.8828798747824382,1.9608574156599128,2.710656697452109,2.2529941924866685,2.248424899051787,1.8680495022202264,1.9937900207251829,2.112924539023383,2.2451942962898794,2.3374393361428636,2.393739166414631,2.2098916794038845,1.5068801316584677,2.019382965580128,1.9866033038788629,2.267184376238065,2.5108418053813937,3.010988543396584,2.350606960960321,2.449055881551509,1.740188639961643,2.512986289278699,1.9312063537356259,2.7087085734579253,2.473633508846421,1.9196041090762077,2.723879210759095,2.336760645134307,2.791793245441685,2.546148947505084,2.642008058433139,2.7847628506138027,1.9930489895343773,1.492814229638772,2.2509220059758803,2.947499301302708,2.990657015721594,2.5674613366232935,1.9937900207251829,1.98854490142297,2.2111418750495746,2.2449564717825194,2.17532244461354,1.8696153870946814,2.2534736064457825,2.7933750290058326,2.3185983944243964,2.832476674493754,3.0047089332119166,1.870213927725902,2.2639950510256073,2.491147635381748,2.414407365088893,1.9948328591759938,2.616933032227005,2.48159723425184,1.9057883750834508,2.265059684782541,2.1882379525064555,1.778578245712047,2.232292587342172,2.574812926827759,2.31395270936045,2.076092852762661,2.609124218379068,3.1310367453205035,1.593099309664711,2.3311003777198125,2.7885723136191833,2.548632501668744,2.269646920983479,2.026616942445942,2.024244151325684,1.943873450082628,2.050553416161042,2.2150304235955196,2.16908275491416,2.44539905453531,2.5077407063749306,1.6327263054936998,2.012100970507787,2.124512711104945,2.306606056033531,2.076475459943565,2.446284577449311,1.9859705144329516,2.0035472702874007,2.3311017879828557,2.8102057939360643,2.3301412701568096,1.9774616469184452,1.9569320724864117,2.208470513009562
CT013_ses1,2.9975551391508257,2.905214283470809,2.1826214760843405,2.875295013355065,2.779562781936101,2.7017336165999826,2.1012777046461264,2.1736722089914515,0.0,3.5195672583948703,2.4484995599638464,2.4520569854742575,1.948459746888686,2.085374753681627,2.7600346707835426,3.301257788197072,2.0752265178813865,2.7761919783770246,2.6268132693984865,2.858317203810785,2.5293467047650737,2.763202583090037,2.6382361638897645,2.7578436974439526,2.7527595000758516,2.032543187929612,2.282932132827284,2.387995526740123,2.391820517395078,2.952833263984163,2.547382838403063,2.941975119053742,2.401060267594395,2.1149807519303647,2.264495456877583,3.312982004453138,2.9278288986227565,3.0641159220493415,2.490709013274711,2.875295013355071,1.916181450588545,2.6983040561155502,2.94029997825166,3.3013577404000976,2.86010117916309,2.4484995599638464,3.073966613667021,2.7846064192857147,3.2053808916445115,2.4915892439438085,2.4225615028688123,2.8713483931131125,1.9863481899212225,1.7619102919817249,2.375655391381398,2.662030873012679,2.5476906476623906,3.013619731816879,2.282932132827284,2.163338777129464,3.2279924815377345,2.8673911748555656,2.4016578834718922,2.3591924774937953,2.5872898332560466,3.3168206653319894,2.7128262730635027,2.9761905329103318,2.7390212895150525,2.237661836238643,2.567627671913312,2.7748697820496817,2.889574217827828,1.938444426456562,3.1991630900055523,2.453970826242395,2.718918531197019,1.8468038245162846,2.5504405171880955,2.345587059765831,2.791865316436695,3.092414429653936,2.639635315480384,2.6507558635801125,3.0099827856804096,3.347428922110754,2.0679786002656315,2.5893739733041357,2.850158452312588,3.0835041085369888,2.035984741010563,2.898433090282297,2.701596609384528,2.2568372603055034,1.8917464709345047,2.7483352503861123,2.322670874969335,2.910344617200716,2.5170764503907543,2.0594726706231885,2.7457120779203406,2.807623883598858,2.7793190033443977,2.7941856197698742,2.215961690498848,2.6018717332594683,2.5316729225353174,2.278359434278294,3.021459958510258,2.779957703490788,2.756820100191738,2.3034706905122477,2.9327677836287553
CT015_ses1,3.8703562069372173,2.6344772812687522,4.017241841870202,3.305172753244378,3.1085505379798386,3.1048974304131205,2.562998686665324,3.3422428080685425,3.5195672583948703,0.0,2.791076380978553,3.4368505945402656,3.102337598425774,3.4510535891555643,3.920467590104529,3.409806541550683,3.833008737555227,3.225217781319579,3.893389258142409,4.241425597855225,3.39436999503702,3.0622212851754345,4.3593236901528964,3.724582434951377,3.367910264187366,3.359900279584645,3.2688037745500704,3.8488337973001063,3.5225959386993115,3.5380249489123843,4.073428485741352,2.7462495156637927,3.9464342545632536,3.1042464666446743,3.9146524232983397,3.8400156344026137,3.596219685366872,2.6189462431956074,2.6933928960658267,3.3051727532443733,2.9273602190645396,2.9681806591597155,3.5209760743126224,1.926117290987852,4.201277464828028,2.791076380978553,3.1107230579874527,3.483758166897431,3.6198329086823198,2.7970507528993194,2.4660142461564667,4.177822887131961,3.338841219490144,3.2861248239771905,3.264064830615023,3.5568004749756414,4.079160428504549,4.0148616596536515,3.2688037745500704,2.817130128469638,3.2279843448334686,3.58000582525801,2.819701740413504,3.923497248087634,2.2716860627591813,3.467367702190988,3.059357557708818,4.053173341191933,4.048201453358574,3.822917536864632,2.4426626205024147,3.158065072094276,2.5398385208220513,3.073272506521418,2.367568462401193,2.8917193012413325,3.0071492077300244,2.5491168606782018,3.1872697345818284,3.0211099052040713,2.6184164592518084,3.287817606247452,4.072311837710052,3.647425791211307,3.2411140419674975,4.656375315550765,3.284368095010533,3.748567782184625,2.6577565762979227,4.482837730623186,4.00300064557637,3.590038619663252,3.506028966459877,2.9197553407733494,3.7526345527555547,3.424022317709417,4.231554565327481,3.4947672746239067,3.917018820566662,3.1263261353776817,3.214775044963488,3.042074254958067,2.979395547361127,3.4448182433722416,3.9034693497743116,3.417578971648308,2.683822546899973,3.242205756064853,4.52093856281374,3.3219068726133893,3.5750602706849803,3.5401549746131944,2.772171350440034
