,CT003_ses2,CT007_ses2,CT010_ses2,CT012_ses2,CT013_ses2,CT018_ses2,CT027_ses2,CT029_ses2,CT032_ses2,CT039_ses2,CT041_ses2,CT043_ses2,CT046_ses2,CT062_ses2,NT002_ses2,NT005_ses2,NT015_ses2,NT016_ses2,NT017_ses2,NT020_ses2,NT025_ses2,NT026_ses2,NT027_ses2,NT031_ses2,NT033_ses2,NT036_ses2,NT040_ses2,NT041_ses2,NT044_ses2,NT047_ses2,NT049_ses2,NT051_ses2,NT056_ses2,NT059_ses2,NT081_ses2,NT082_ses2,NT090_ses2,NT093_ses2,NT096_ses2
CT003_ses2,0.0,3.4966659052755578,2.7607918108603564,2.726071394878697,3.802431245250609,2.653490468811097,3.3363423537885075,3.431253652912216,2.241526617738267,3.1128534695563355,2.0027168720292803,2.4597593318885402,2.697794098601265,3.060421678780058,2.9073451798822973,3.327904515526459,3.2832273016062645,2.4532986435188078,3.7812190865615323,3.274165685894977,3.2244525613663844,3.136157620026727,3.2405603882377774,2.940591723191338,2.3291604556482044,2.9288469041523904,2.6209144759077625,2.956589097220614,2.631174449249751,3.058869900455662,2.4387221648830475,2.620162701169346,3.209910255225641,2.834735711311146,2.5418056695509526,3.0709700180985022,2.50923363978533,2.4549368941835294,3.0046465483763565
CT007_ses2,3.4966659052755578,0.0,2.5312202242448056,2.862211189615966,2.4292195216714996,1.943578096113672,2.0378237866087163,2.618840464174876,2.5389354986560653,2.114680249199781,2.7263231249594506,2.897790988478797,2.1516163163442843,2.1989053762522657,2.830067111656007,2.3279527877662187,2.3683528878172186,2.8978230282974886,2.3078103003689856,2.3899519841122228,3.0100551278445993,2.5649606967499925,2.38664001763365,2.331485114741806,2.8678520543436985,1.950080663380113,2.3669303235926846,2.059676710983244,2.076261315562798,2.463566242482739,2.4875909938085057,2.7824831024545036,3.5272358685922978,2.3064643709315886,2.4442910779628124,2.519197943747355,2.603281321398286,2.598304684894126,1.853290213849375
CT010_ses2,2.7607918108603564,2.5312202242448056,0.0,2.2346506105953843,2.7222257942785744,1.9986475372594152,2.518515888742454,3.004050981214545,2.2422545113313914,2.331508146993351,2.2712354417807865,2.1466482340270137,2.1948163084386647,2.913753696501409,2.744915614059973,2.9652366684872233,2.7691466342271003,2.699917754453243,2.8470333389662605,2.9276585510864237,2.7464773904069975,2.578955791906761,2.8475855023905035,2.7591091417959315,2.334162252096157,2.270600964190617,2.2891976826537292,2.622782884946466,2.538420312630153,2.745475505629447,1.96826622582728,2.1460451713939355,3.2055169452646166,1.7032058830797345,2.4486115407713513,2.9186609427258556,2.4796598087891075,1.9501100206070083,2.5270309931922244
CT012_ses2,2.726071394878697,2.862211189615966,2.2346506105953843,0.0,2.76107269693138,1.9572240960438256,2.607155734590642,2.357341653702121,1.8443215217059048,1.8956610728021912,2.0683801714714805,2.0138453744850704,1.673070826221065,2.013414914847177,2.303774475543339,2.474236487249288,3.114089681967687,2.48792297552975,2.88676041847583,2.159698086638595,2.579290449396473,1.843856777721182,3.257246861131911,2.4362145994200666,2.3022805102863595,1.5906333320489403,2.339548453636663,2.2076145008466757,2.15236798736503,2.3992873649644424,1.6863236780525144,2.319468881398417,3.104492152092841,2.0236673286648097,2.172302225210193,2.893786043104072,1.785194165198279,1.7885367486585266,2.6629270909526097
CT013_ses2,3.802431245250609,2.4292195216714996,2.7222257942785744,2.76107269693138,0.0,1.953948323413484,1.9105837020708885,2.320099872194125,2.94883475971926,2.1095964551773885,3.1508479976696475,2.9073021389100244,2.282117376035639,2.4286565571078733,2.689896611366776,2.7179915111953727,2.688885136976423,2.7238651083926393,2.8305756163363744,2.725293800391076,3.052251597885135,2.110056144200131,2.828384691595443,2.4033087419749504,2.6799658136160693,2.2954476838608966,2.6524065651640774,2.2683628135767315,2.554167788295649,2.373181104566718,2.458374924654212,2.708592297102565,3.480504073201141,2.523095628958417,2.6719526928312907,2.669962146622384,2.338472357349267,2.366137342164665,2.55005605385264
CT018_ses2,2.653490468811097,1.943578096113672,1.9986475372594152,1.9572240960438256,1.953948323413484,0.0,1.9630035745516197,2.1532059218273223,2.1215526999088627,1.495472046654859,2.124436006360307,2.1976824443078664,1.5518027740074805,1.775123304598846,2.3148305190007616,1.9932099249097583,2.2135502441954378,2.1531915430282234,2.6977174819655825,2.338251886341891,2.5422428070728174,1.918553812889614,2.1902937810787404,1.7340062232227624,1.9479375890197617,1.4940917448166715,1.7475967049771488,1.8120083693027005,1.6010955341655722,1.9477016882898863,1.7690335225654548,1.8897971293300606,2.9490872684378275,1.6384105268825677,1.5355895838900326,2.1834808547701026,1.7357389287004779,1.5699772187228238,1.9775001513841477
CT027_ses2,3.3363423537885075,2.0378237866087163,2.518515888742454,2.607155734590642,1.9105837020708885,1.9630035745516197,0.0,2.2064562808091344,2.1394686631741915,2.1964126774394193,2.572225273450879,2.932540146404015,2.0509441478194215,2.2686346133661646,2.4363722119266664,2.603600934387951,2.8439542430398554,2.13661359959938,2.4260872138758125,2.467988748842603,2.865072626437249,2.1745005349877213,2.741179826748944,2.317476320830693,2.4874723456870065,1.7445477325344074,2.297245005690773,2.2703681015178057,2.155842735656896,2.361326710818374,2.092605422903273,2.71269765516321,2.852173827288285,2.224735902245602,2.298209291205667,2.889332848552374,1.935244559995979,2.4761252160595095,2.151308315629708
CT029_ses2,3.431253652912216,2.618840464174876,3.004050981214545,2.357341653702121,2.320099872194125,2.1532059218273223,2.2064562808091344,0.0,2.3769727579986375,1.993144721414906,2.813533752443567,2.908495235800942,1.8110584902420408,1.4077862755649477,2.0764308139303593,1.8699734634536456,2.806392734183576,2.5219134671531,2.928860897800781,2.0915729446915043,2.299405479342512,1.931991270028522,3.0815907148273225,2.245764298103943,2.981374620807305,1.8868130423550318,2.1225115909335295,2.2612503610238694,2.077693044457078,2.195727690351747,2.4136120855096483,2.975748509545415,3.3408215239123247,2.28832010957562,2.021983473331589,3.341151113486854,2.3326526499771303,2.8179396420801903,2.3163181830786703
CT032_ses2,2.241526617738267,2.5389354986560653,2.2422545113313914,1.8443215217059048,2.94883475971926,2.1215526999088627,2.1394686631741915,2.3769727579986375,0.0,2.322021849758539,1.5397103453854593,2.3443822518881268,1.8300617271831565,2.19964505232154,2.1346702497448935,2.4043007908949336,2.911489976978963,2.287016807168486,2.721362120131439,2.1456919646666295,2.1938232899656427,2.2080739792925392,3.021830533750479,2.5390554753729457,2.1170584125352474,1.6022351785260622,1.8375410344863905,2.1449749869124584,1.9533245849767533,2.1436568723580853,1.8951104631960862,2.6212344993724885,3.048120775564817,2.187057544473589,1.7870692141123308,2.8265615451001356,1.9997060910960938,2.0698036400744373,2.0647577915697912
CT039_ses2,3.1128534695563355,2.114680249199781,2.331508146993351,1.8956610728021912,2.1095964551773885,1.495472046654859,2.1964126774394193,1.993144721414906,2.322021849758539,0.0,2.594021348971522,2.4279035319769138,1.7510639001185497,1.5393971440593648,2.127079440897022,2.0811212150607727,2.5406281769593293,2.494365735612737,2.372761761091244,2.139807365425579,2.4872252860043225,1.9496531243778976,2.901058004377502,2.316100423710188,2.7042152143461498,1.8644939600103783,2.2117631305785332,2.175141106160664,1.9145553338859347,2.0762061538869103,1.7200537033638506,2.269802858692175,3.1896949009828552,1.9981760075473938,2.2514234770376658,2.8391048559085497,1.8852911256812932,1.995501758598467,2.1399315648314774
