,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38,DC39,DC40,DC41,DC42,DC43,DC44,DC45,DC46,DC47,DC48,DC49,DC50,DC51,DC52,DC53,DC54,DC55,DC56,DC57,DC58,DC59,DC60,DC61,DC62,DC63,DC64,DC65,DC66,DC67,DC68,DC69,DC70,DC71,DC72,DC73,DC74,DC75,DC76,DC77,DC78,DC79,DC80,DC81,DC82,DC83,DC84,DC85,DC86,DC87,DC88,DC89,DC90,DC91,DC92,DC93,DC94,DC95,DC96,DC97,DC98,DC99,DC100,DC101,DC102,DC103,DC104,DC105,DC106,DC107,DC108,DC109,DC110,DC111,DC112
CT002_ses1,-0.037492980735569496,0.018966637101995004,-0.006828644572117244,0.002141243437444523,-0.004240165129415834,0.009799942437602507,-0.017706615750410718,0.012604182512616295,-0.013809383701650234,0.00015834388656336802,0.014097848099922117,-0.007316997501269432,0.004337446447100799,-0.010291789346621347,0.01112885963532403,-0.009285416921087324,0.004001815479417198,-0.0064888167611569314,0.0008683330522373025,-0.00032245848098695303,0.0075587541116514416,-0.004687745132703259,0.0022099331137238327,-0.002119155319019853,0.0003255869786167142,-0.004212368893556784,0.0069161069361582716,-0.0011741891877992618,-0.00620666080489433,0.0037476108367941545,0.003971014138511332,-0.007693068461284356,0.00020997030331600341,0.0002628291279109859,0.007388957950000914,-0.0037938684428567766,0.0026319930695668506,0.0017440270037414186,0.005972161692189578,-0.005839534919335822,-0.003922619433844086,-0.0006610943694653185,0.0016431491616316239,0.0024692100638016683,0.0052378116622694365,-0.002155688967539526,-0.003322746368188992,-0.003115577309272835,-0.00013724251334271262,-0.004330131855231574,0.001823454099794836,0.00170176309274693,0.00903060273251314,-0.003000084967021667,-0.0008866906284717102,-0.0032158024339457958,-0.0017123446654318346,-0.0015792910968142485,0.0014376643175126461,0.0011426692140771388,0.004218411934829743,0.004110166645101206,-0.0005140105442715727,-0.003575800072753637,-0.0012233038410799787,-0.0028119710940764523,0.0022292488822446537,0.001785352106003285,0.003037423751605781,0.0013344900843776054,0.0007156908964738845,0.001375111948880929,-0.0023625248617696504,-0.003542177910195517,-0.0001861406211283555,0.002378575271424574,0.002553648373764466,0.0041975676040266864,0.0002501316528390151,0.0006253292697096768,-0.0003915995077311941,-0.004567754376683212,-0.0010403185341870632,0.0005306450671134686,0.0016827655604433587,0.0025535304425092806,0.00038148978850607683,-0.0024133103393371245,-0.00038707531142190407,-0.0007467336209284585,-0.0010149031370897006,-0.00013783317794094607,0.0008908200946634161,0.001476053891975756,-5.3640825894097545e-05,-0.0006221758512461808,-0.0004929357027025932,-0.0008531031190974969,-0.00041295699587142127,0.000650365905663275,0.0013234444267038118,-0.001163590677240137,-0.0007146229224020048,-0.0011540593720192197,0.0009579908432339447,-4.819533421393166e-05,0.000242316907156407,-0.000415672976230819,-0.0003319123507643502,2.787105912433187e-32,0.0,3.7792844925056794e-45
CT003_ses1,0.03200265458984634,0.019125398096668324,-0.005927196191533452,-0.018580795423757162,-0.004782554706754805,-0.01819301558240393,0.0073926651356586446,0.007441382316166896,-0.017974687410495006,-0.00023826396097304306,-0.0022942978798650634,0.0019706111605715297,-0.002345405446342988,-0.001979926840185971,0.006785654580916033,0.014205238528307537,0.002886108527434108,0.0048756783808580695,0.006801507875179126,-0.004166510059343794,-0.0037075415301403517,0.007093667720762444,0.0008545094179968813,0.009061417713563304,-0.010924187452487804,-0.0009367835100743304,-0.0016450895606134382,-0.001998586596821968,0.004480081738979716,0.0009936455342643411,-0.0010533069129843948,0.006637289683832637,0.0020476529581668216,-0.0019004972053207534,-0.0051597338557722505,-0.004023042181662468,0.0025161765699158365,0.004490636865071894,0.002588083057001609,0.003701710252171909,-0.00406527971826081,-0.00455030536099671,0.0031219534954199015,-0.004701574674956955,0.007947241457194693,0.0006575154188027464,0.008607484068065746,-0.003326349107655888,-0.004431929868065655,-0.0010387005519887742,0.0003281974396265099,0.006590347877316177,0.006085505277647004,0.0021703896973522853,-0.0039132915445905655,0.0017895872529966044,0.0039943718248936005,0.0013556872411440086,-0.0018305938515430233,8.04874255215674e-06,0.00036443346383654404,-0.0016635912413058356,0.0015348301152892498,-0.001620599155279162,-0.0019270344282317283,0.0015041164183158717,0.0024760479671088876,0.003893849001762435,-0.006349418293637494,0.001760713333317024,2.3691464285322035e-05,-0.0001681165791401225,-0.0022749609496835192,-0.0005227228074458895,0.0020235144333432104,-0.0002162069092926876,0.0013752671459996853,5.810755586395024e-05,0.004482480554088754,0.00042048807060475496,-0.0014393903227688785,-0.002341841724421995,0.0006575870728752717,-0.0018998360663698257,-0.0022269248282112686,-0.0005801277115630294,0.0005998993458442667,0.002423702459182396,0.0007837358804978416,-0.0008216702129217943,0.0002665979687392618,-0.0008705668902029434,-0.00021125404158855838,-0.000470459715537619,0.0006860471021166001,-0.001042170090623239,3.0413882651214682e-05,0.0010513845762776734,0.0015316188047425402,-0.00035621296786741876,-0.00020670598835144144,0.0006546230573307191,-9.699444309945646e-05,7.344691825813065e-07,0.00021797381805600512,4.100303289407247e-05,-0.0001590045294421855,0.00047568450050955213,-0.00024261247030633932,5.968200119864142e-32,-2.4942946164882497e-33,2.1116793675014605e-33
CT004_ses1,-0.013263324234030599,-0.032125121146887224,-0.019828474354334887,-0.003391992121341021,0.01117074407431929,0.002514873404458707,0.007857742467714653,-0.003643308300987919,-0.005916435984763824,-0.00015658998056221647,0.0006172001417191302,-0.027449428593900822,-0.003081414049084128,0.005537003828348427,-0.00674359694424552,0.0013173391108934089,-0.010282114640479746,0.008169171234651865,0.0003120920388005141,0.0009038334249212375,0.004093820031870923,0.002258538355587435,0.005343862830946368,-0.0026815233105158633,0.0038737669002693307,-6.58518464012703e-05,-0.004465809727159372,-0.002724973824668306,-0.006645024769799083,0.0029509563401102314,-0.0015862787434371653,0.0009515353116522529,0.003583390573529971,0.005524847666016289,-0.0018222200507537131,0.008023418239088968,-0.0009636846164871322,0.00027210022046432556,-0.0007316102384686229,0.0044536366057901676,-0.007032981611554354,0.0020547923426295195,0.002376345955081779,0.00017632677670429502,0.004016339310546812,0.0017514271943825511,0.004609460295204216,0.004230244350718462,-0.003376024735336647,0.00206787434560664,-0.0035837066382786945,-0.0006310657505999654,-0.0005602541037070357,-0.003300328450527087,-0.003533115094293745,-0.0009889041256977604,-0.005976982941850798,-1.4004566149753126e-05,0.00045416538472051036,0.0019289488944851257,-0.0009441721712698477,0.007378963983603891,-0.0014440825749085365,-0.00034122223782009014,-0.003056244265934575,-0.005400728510515731,-0.004151990215442881,-0.0022730709442956134,0.00031985833662810046,-0.005089628621779776,-0.0003360994583194191,2.0770843293092053e-05,-0.0006357603050445312,0.005353303228599998,0.0012375938154097386,0.0012818864925388687,0.0017799020583301477,0.000369446663140166,0.0026531982465731745,-0.0013224555380880593,-0.0020020595257734097,0.0004915712312052873,0.001243346633957901,0.0014377566091350448,-0.001679410266577335,0.0020932055216563664,0.003038856136019886,0.0031584893242778537,0.0005389205026110514,0.0005037840405078986,-0.0018924311771316678,0.0010496895099392008,0.00047998891668328975,0.0009431273236679729,0.0005498551461947642,-0.0003671668464673887,-0.00030789227624214785,-0.0007963376973949638,-0.0004104330957992925,-0.0001491078886984668,0.00023350480816916727,0.00040014609730398533,-0.000420275419420201,-0.0005128476499241411,0.000263411713323332,-0.0002543831060760697,-8.822611147944986e-05,-9.082757863657725e-05,-0.00027356314503430455,-1.22542615094603e-31,-3.231756638416435e-33,9.34199266989111e-33
CT005_ses1,0.026294587358647772,-0.0111021004395237,-0.0022146657114653356,-0.04463798794654616,-0.03488888047522337,-0.021399887189654906,0.008833490957586388,0.0025298876763662414,0.006293562088695193,0.01083213688900514,0.022648429393957982,-0.004083935919977935,0.002920571631383991,0.0029246185889430384,-0.010163800105755162,0.002319642850834803,0.0009282168446667649,-0.011265270045282254,0.01226917391440703,-0.013014597623673909,-0.0008697898426149904,-0.005654500331643894,-0.0036477624396793053,0.0033091589040578095,0.007610862662253834,-0.0023004039241567857,0.005541610376031589,0.006862678538211811,-0.0034207842503236885,0.0020625081540608815,0.00045721937525421624,0.0002984225373464697,-0.0013633201378755232,-0.0012981081381465563,-0.0016848972084950377,-0.0014933825470079193,-0.0032410591410923636,-0.0007373103027734501,0.001472243333661735,0.0013334465429360345,5.2809044266007217e-05,0.0016760310362025146,-0.0009745149824496331,7.00699770584738e-05,-0.0016232538615700018,-0.0014115548728060251,0.002048603526994218,0.0014233959250456343,0.0012817331338708757,0.00031587058585611286,0.0004605528304162442,-0.0014588062639995553,-0.0006647044444811989,-0.00034953972940113596,0.0012479253426641024,0.00031382940153553725,0.0005424412241485388,-0.00010619127903197386,0.0004489126047227238,-0.0008241115297685383,-0.00022063881552603057,0.0005199871648734586,-0.000741504009372035,0.00022453997106021596,0.0002606209761634637,0.0004517646903523217,-0.0004328431057186889,-7.564521756830357e-05,3.662735192544428e-05,-0.0009064922148829379,-1.367181738002624e-05,-0.00014433116554947307,0.00023888589863811443,-0.0004052268569094856,0.0003558903303483037,1.4218990808435138e-05,0.0005901836050562518,0.00010891341578146192,0.0005437511561722105,8.889316990633137e-05,-0.0007519515982587926,-1.647140730355487e-05,-3.404462704086332e-05,-7.87689439291342e-05,0.0001210873054423698,0.00011383219494150339,-0.00019278668629051662,-0.0001821299776853497,-0.00014612084810715803,-0.0006762251135613265,0.000337091181721536,0.0004211053093180337,0.0003498856100810747,0.00043330100714883754,0.00034707152642593557,0.0003068005733172782,-7.811225386406325e-05,-0.0003779821778243231,2.2400406615450788e-05,-5.194302745995017e-05,0.0002722861290982901,9.553133621072645e-06,5.401109002089262e-05,0.00012340036595266356,-0.00016560810243492006,-4.6198272997968456e-05,-0.0002667594414611292,0.00013601207821920883,7.047710893825304e-05,-5.180921182413909e-17,2.4433545914228894e-18,5.2210138186119114e-18
CT007_ses1,0.02655298243203906,-0.0057182246032984425,0.027363766742565753,-0.007337527387730629,-0.012827705259695205,0.0014414890727340469,0.009042846476559329,0.0030462392743848864,-0.008330884742105341,0.0001257575199434296,-0.030319706464715053,-0.010365300501894383,-0.00994197285009733,-0.002390338883810981,0.004704917332900331,0.0021759296206999568,-0.0018410894776121445,0.0008320770813997144,0.005728990690708267,-0.001619563540660171,0.0011185089344384527,0.0008833991818709445,0.010278650692981317,0.0007922347884859017,0.002599309503279136,-0.0028940385362328535,-0.001291597422846151,-0.003998133295817227,0.0015105856198721183,-0.00022955105577065617,0.00278957810076685,-0.0007325501476153168,-0.006908543145241127,-0.0037304853441598794,0.004026423671862751,-0.0017203740404455336,0.003621571512376999,-0.0031286137899681162,0.005608539910718009,-0.0027967719978768102,-0.0010639185673830878,0.0041063545803865665,-0.0006074793476578213,0.00038597412159811203,0.002549156033357307,-6.460359435237366e-05,0.00048112174895757477,0.0005693364284383274,-0.000702926468627486,0.0015022553101269095,0.00322539983861479,-0.001989898151077126,0.004499679327353688,0.0015886359394643632,0.0016193094410917011,0.00314718513946928,-0.004712101855992017,0.004585176565814322,0.0019896898689409507,0.0004804266862934009,-0.0008805070132822273,-0.0023680767751560867,-0.004958869018412365,0.004758760313074011,0.004900601844171896,0.0052315878992338395,-0.0039308105237245115,8.720274123331573e-05,0.004222376360248038,0.0006970227092664351,0.002334708480337442,-0.0020661939587353502,0.001859887677313905,0.0016219114633451211,-0.0012779286567841516,0.001571962945021239,0.00030975849772119557,0.0015687368142372068,0.0009433689118194899,0.0007558820468844295,-0.0071043129917070435,0.0009223195908595391,-0.0018631810214860432,-0.0005470061020875546,0.0006683042760993151,0.0014891369606801947,-0.0015704217017386457,0.0001349076650035577,-0.0023869518928670832,0.0010404166298078538,0.000755667990582533,0.0009365704513163698,-0.002455703715287602,-0.0006959816950179166,-0.00015658703341723965,0.00023513474678697987,0.0001395489251536374,0.00016876427513832942,0.0024246400077525786,0.0005214713437645772,0.0003791067421171746,-0.0001469423555986277,0.000836816790151129,-0.000259029828386766,-0.00022681798789411003,-0.0001383604010803876,-5.37225239976023e-05,0.0006096573048501409,-0.00047799963212470284,-8.705144121558569e-32,-1.3779416518098798e-33,3.0982887865447456e-33
CT008_ses1,0.008753016164080345,-0.0007106969260296679,0.024896593423297073,0.01776972200875631,0.012233806170099533,0.0057982879073811,0.007405545384834217,-0.010202850916263837,-0.005593565862611984,0.010495966476808135,0.007261383554699058,-0.0018849206852831573,-0.008941318351228907,0.001407765046445206,-0.0019377846508783797,0.0010788775326424926,-0.002835885117051694,-0.00948973558076109,-0.0036886068123341224,-0.003781811663553407,0.00010991110364814935,0.0027746376363231877,-0.01470177288735625,-0.002081382407565776,0.0046143566523545445,-0.0019021859278836352,0.005624502726429733,-0.007894195012733475,-0.001294449747551875,-0.0011829642693485531,-0.0003299460070931751,0.0012856504389110878,0.0013387882244858189,-0.0032300445233318944,0.0035935618540480644,0.001487916151007597,0.0008210208875909149,-0.0023131384761519683,-0.002815665992525678,-0.0013345143271941318,-0.0016356604784795753,-0.0007717153936114657,0.00462659544808809,-0.0020034353916503606,0.0018191446345817272,-0.002899330166009337,-0.0019026558440171319,0.0008424265022791944,0.00010070017398002675,0.006272322049185294,-0.001836452595109365,0.002347789205508904,0.003968050077008324,0.002713211649659921,0.000882769309050355,0.003191313782009716,0.004710479557366338,0.0025767571670523657,0.0035319290870189555,0.0019595503078855612,0.00014587738269752237,0.0007414740635699917,-0.00037862874546741723,0.0019628412248411348,-0.002023707233274212,-0.0007019116297829391,-0.0015797911865802516,0.001414657929792194,0.0003032973101494982,0.001780119175286099,-0.0003013862990516198,-0.0019579200599123673,0.0005541345247027963,0.001582764942704883,0.002692743097128732,0.00028254002758722066,0.0063860347597005564,-0.002711256750547336,-0.0005423577019390292,-0.0014727103790733824,0.0007404221872822445,0.0036099925187428237,0.0001203243924845792,-0.0012251309939829635,0.0021211299418925004,-0.0006260891048950023,0.0006407278932215064,-0.003194244505593136,0.0016709589544428105,0.0027833003976573743,-0.0016856499247782475,-0.001948534055423631,0.0004019685625134776,0.0008482542901726288,0.0006126533715884868,-0.0017375589154122223,0.0001622974115685038,0.0015904116486292572,0.00034609960270804417,0.0014183564709593138,0.0012802204218169244,0.0005337521732105019,-0.0004020876532328687,-0.0002250063580512915,-0.0001371929440498949,-0.0016441622202099625,0.0004198502845623531,0.0009040732890303029,0.0038404794505905106,1.2139868804877326e-31,-9.479288259864518e-33,-9.479288311158524e-33
CT010_ses1,0.034427966999560876,-0.004351142238832374,-0.00047866742920417643,0.03301954140395361,0.0010849738007422506,-0.0013842422694419754,-0.014257134980288098,-0.008076853013533059,0.001684545195141947,-0.006587504858171819,3.5888142835244615e-05,-0.0017156591706586506,0.00517547187664024,-0.002123001032363572,-0.00412492638298729,0.006371605634707713,0.004273482597158907,-0.00951229344064187,0.009486750574422387,-0.006069371899956752,-0.0030889490815296503,-0.0016185467268193658,-0.004549960208692252,-0.0016920538576447061,0.0020121010772416116,0.008019649815769029,-0.0033591344519088165,-0.003027175389368614,-0.003818067037016526,-2.1661814342065983e-05,0.004230611096319761,-0.0020374539583776566,-0.0006424197698054287,-0.0035166718604338993,-8.599347255726263e-06,-0.0056012186440669316,0.0031707107978992673,-0.003025587338774198,0.002089246819757335,-0.003586740239802054,-0.004547480625288872,-0.005611800323401695,-0.00025724338013119425,-0.0034308888858894846,0.0017473947726597179,0.005454310977119901,-0.0013013441047640807,0.0019102721692562771,0.0009742940500272668,0.0011922100013403991,-0.003943864076271772,-0.0033805814931479705,-0.005434013402470687,0.0018463207952231185,0.002173598147530967,-0.0022238793063517597,-0.0007180638831292756,0.0018263203287985953,0.005075584734423659,0.0028957568696893767,-0.0014995628326125896,-0.0022634938224690535,0.0016910784526256914,-0.0009904328977695886,-0.00010019974514220726,-0.0020797446672192283,0.00046699876184869745,0.002621393649181398,-0.003310373035401319,-0.001979749155949877,-0.0016586572020821362,-0.00041958277844897205,-0.0007377869242211646,0.0022603848444186525,-0.0005762475329884753,0.0029650608875631222,-0.0017786865412506413,-0.0004547436223798713,-0.0012812755462768678,0.0012712602408221196,-0.0019935414016416194,-0.0004921077038160766,-0.0004916496639138351,5.3857353838564314e-05,0.00053018126951424,-0.001089100992318188,-0.0009545138222998531,-0.0004869695210875095,0.0008990583213324425,-5.4744488582114426e-05,-0.0017514891009932567,-0.0006733343469889612,0.0003094610418607051,-0.0007404869352845143,0.0015636461531751706,-0.002548639259813129,0.00021820822645352277,-0.0005700151993311122,0.0006824211607111726,0.0012029389253932128,6.188364771021473e-05,-0.0007251899641732599,-0.0018670482603550082,-0.0016147117758446004,-0.0002647594820857923,0.006208461708006395,-0.0006787721422253341,0.00046803430500804805,-0.0009438465509124931,-4.5340936044098485e-32,3.088489909229041e-33,-1.7704507351932796e-33
CT012_ses1,0.0003507473956899098,-0.01882863216145658,-0.00912694872451124,-0.004242543912570571,0.01385665509628899,0.0005607932892072387,-0.017265710486890302,0.02191076602426444,0.002750030127263317,0.004268161546972549,0.0033799034987018885,-0.0007941810830794183,-0.0046541060245402785,0.0038322830835459455,0.0026305039138888563,0.01384301845310786,-0.0028574598726047386,0.0023819980700878884,-0.005690032426961565,0.0035784175042807287,-0.009337494776999723,-0.005037038258655326,-0.0028719335613542197,-0.0014539373659678745,-0.0032901859346007385,-0.00010747768894774918,-0.0030002993354200395,0.0004230503937386124,-0.005737409798012646,-0.002610268243864958,-0.001018888608627426,6.395473547936977e-05,-0.0004669299132684548,0.0031112396993124795,0.0050619640165161925,0.0028037284086035496,-0.0008981659077894285,0.002168602719632621,0.002529249203475849,0.002636237611056475,1.108719503471728e-05,0.0020966738164048654,-0.0016739491653817986,-0.0016122888239110107,-0.004842924728948321,-0.0026269564524614673,-0.00048684696460103965,-0.0012258990923873683,0.00422922383033041,0.0005108597899269849,0.008795402415096696,0.0016472691023387634,-0.0030191264086330562,0.0013867718520732268,0.0016646030364042008,0.0024743534762513265,0.002304205039528124,-0.00019434633534632338,-0.0032656224373305213,0.0015303033164256823,0.0001001844129954519,-0.00306365441391596,0.0009589716041026255,-0.004836186893268742,0.0037052223792067894,-0.002380564375113429,0.0009176536982216665,0.00192534047047162,-0.0013328593845076855,0.0002486954101646102,-0.0015245639243529974,-0.0014996104474369716,0.005494044493177258,0.0008093559852465266,0.003014380413001197,0.003044686620707409,0.000512243140003326,0.0008738872532339976,-0.0019714449186212565,-0.0012576303426429338,-0.003028342158653051,0.000328787793850674,0.0026327725188538854,0.00042319923235215366,0.00015808394261034858,-0.00028892551295058624,-0.0005055800286765284,0.0005934937762111291,0.0014960958678456387,-0.0011715056456542436,-0.0013208087467697625,0.0018850310760516393,-0.0014724580821305663,-0.0009466472236420654,-0.00045907174902481886,-0.004679411897847704,0.0017318775199861422,-0.003322828135825264,0.0006864503101881808,-0.0015099897257384743,0.0030228699863370117,0.0001396991097358421,-0.0004940819356543357,-0.0011313545564191922,0.0014382125651365943,-0.0018791087926870126,-5.511572225667724e-05,-0.00017486331811780316,-0.00048523057723609634,-5.999191251143349e-32,-1.986136587781137e-32,1.2863431122599927e-32
CT013_ses1,0.005637773583595313,-0.035520034235252206,-0.010796166806066465,0.014385153376706938,0.009046328350735837,-0.014242972727292368,-0.009477530681747264,-0.006151029568492078,0.0006790950571604402,-0.023984055211697494,0.0018845941454741502,0.0009867657056788722,0.0029934246781688936,0.007923722994136927,-0.0037549192747752475,0.0028917498292222983,0.003621759762946968,-0.0008811763997339094,-0.008039300593995725,-0.007795427373131861,0.007621774998527138,0.0016830942717616757,0.006819404879092384,-0.0013194630049783373,0.00013965969136068462,-0.008600480061464917,-0.00217474128201237,0.0029441470449256125,-0.005637030185992563,0.004440903324368209,-0.0020106728581650345,0.010298969460893842,-0.005225815150179317,0.007821608774866026,-0.0001342893430495271,-0.002460381305039608,-0.006257299714892999,-0.00860525854964059,0.004048501804768644,0.0034821680047431975,0.002422823966705369,-0.005014601685902414,0.0031533784475444027,-0.004779873137221653,-0.0012869017294567177,0.001857807007214475,-0.007904372734930824,-0.0011968496846068643,0.0013504970031616062,0.0007053461613152184,-0.005273236123377361,0.0019765578432798113,0.004616440478751741,-0.0019603501977795298,-0.0009608489746495703,-0.0033180313802446343,-0.0023899786580231777,0.0028272887103844213,-0.0024872184716877507,-0.006271284569619419,-0.00024849535995381523,-0.0012987952890718335,-0.004728520631904429,0.0004186734895878622,0.0015274902372184916,0.005153835132028704,0.0019280351573572427,0.0035889426201826786,0.00010238785925582874,0.0007165509269505772,-0.0014852007667855462,0.0010629127066924457,0.0029008133022974916,-0.002451978256435544,-0.0005505510547064847,-0.0015051538141934823,0.0017710160712142793,-0.0023485063947437214,-0.0007585992174916608,-0.00042956526138449204,0.00187698375615409,-4.180877611850766e-05,0.0013536543812212537,-0.001072639825968592,-0.0005671057372312649,0.001974842476512342,0.0011605950556899498,0.0012908288430556801,-0.0005458452865344036,0.001035674304745454,-0.0022428114643355604,9.840889567105454e-06,0.0004732330983223768,0.0010302786554794204,0.00041278668373525044,7.357292132450086e-05,0.001693512733589087,-0.0006953691230370698,0.00046417128517605935,-2.1717705019764657e-05,0.0010777356265408435,-0.0004100983424565893,1.665291673925018e-05,0.00015416335724069126,0.0005547821011810446,0.0006050362385889743,-3.627150706355913e-05,0.00014532648587939565,-7.736957985927417e-06,5.828973945964106e-32,-8.549771585260009e-33,-7.884038429932882e-33
CT015_ses1,0.06108138282176599,0.03506249822265957,-0.01860785697448438,0.04026036494193081,-0.0027468936570120123,-0.02345212613847318,0.018380975210965954,0.02183651429218842,0.006097332905645723,0.014455378665226315,0.0080447671929433,-0.0019661452807422765,-0.005436200290436406,0.020051606657490086,0.0010412250376774118,-0.011073921825246334,0.015946672666472275,0.012766443725338843,0.006102677729892891,0.010907871310924926,0.009550966955439744,0.007438566460312704,0.011304045732678838,0.008009834146897056,0.005478745382302052,0.0055695631304940344,-0.0006223927326087563,-0.004099517859458362,-0.005319694919362644,0.008090297905332798,-0.0037193761546025156,-0.0012733746553504274,0.0057018680230376175,-0.0024085331578412674,0.006402178946044612,-0.0015004979062440069,-0.0033686561898506125,-0.005751563350672322,0.0019657009977476444,-0.0066817469894532525,0.007004475808775392,0.0009374350249519069,-0.002410933076279743,0.00015802971220864735,-0.0007797560773068181,-0.008865584684550384,0.0010209888761057461,0.002692701742286612,-0.0020526308195361596,0.0066757679252463275,-0.0005752615156480058,0.0037532737201676158,-0.003227159196854407,0.0003714612709137191,-0.0009271332156355317,-0.0031426023738270886,0.001383833251455014,-0.001211467563081029,1.406048250449216e-06,0.00016095263520036858,0.0017907817183588526,-0.001124593883946142,-0.0002982215669406442,-7.558716375977745e-05,-0.0013533188932241373,-9.65008831747866e-05,0.0010096981604702812,-0.000814121720833845,-0.0014525509780308917,0.00013634216739508514,0.00022047794465238194,0.00030335959114756786,0.0010898713369720584,0.0005235773167173512,-0.0016508411717946498,0.0009625689199980461,0.0001285349629070605,0.0001258339165370874,0.0004776382712392119,1.6478296037211045e-05,-8.677937288348952e-05,-0.0005563232674769335,-0.0005242822818434187,-0.0005509420491078272,0.0001752837803063455,-5.799731534659993e-05,-0.00013649806517594502,0.0010502556595743144,0.0004885555171516355,-0.0001807371968618191,2.7002099565834557e-05,0.00023050081043609437,-0.0005729691750107094,-0.00019081879854640298,-0.00019931383001111163,-0.0002898231252529198,1.4402793809605813e-05,-2.901959181564766e-05,0.0004235707425055641,0.00016221492014685196,-7.683739263427008e-05,-0.00018748914494412503,4.3053047266850985e-05,-0.00020103498992553217,-3.0832910752330274e-05,1.6126727427711164e-05,4.959256229494119e-05,-0.00016189231420146938,8.472601246213458e-05,-2.9219435948995817e-32,-8.505226057723051e-33,4.7949707409149636e-33
