,DC1,DC2,DC3,DC4,DC5,DC6,DC7,DC8,DC9,DC10,DC11,DC12,DC13,DC14,DC15,DC16,DC17,DC18,DC19,DC20,DC21,DC22,DC23,DC24,DC25,DC26,DC27,DC28,DC29,DC30,DC31,DC32,DC33,DC34,DC35,DC36,DC37,DC38
CT003_ses2,0.06676655289645067,-0.016185300068088476,0.03515091581126611,-0.002961548796178231,0.007720082821964598,-0.01547182703710377,0.010153373877307033,-0.0005627891334294174,-0.02895571431595077,0.002530583671194068,-0.01888582053122165,0.011406358993766628,0.00490140602017377,0.013474608047957479,-0.022208829501063072,-0.0007728029998127047,-0.0017453985332735098,-0.005158630549559743,0.004040907347532697,0.003461893043112454,0.007570947610278752,0.0009469207673441157,-0.006470552064472464,-0.0028925547819872222,0.005790352670405279,0.005680852366564076,0.0014508496494325255,0.0015137029800528863,-0.0015991531362366104,-0.0007603239500312449,-0.001735409254754163,-0.0008518417790745605,0.0004896349738506159,0.0005833719874907075,0.00027844352026037993,4.509704377292717e-05,-0.00034843098424775437,-0.0001242173504607898
CT007_ses2,-0.036114105128351885,-0.018929765960041714,-0.01871427738180101,0.0004977249667981132,0.03557242187991221,0.001744390393863646,0.0067488124815064275,-0.017403574303691976,0.004802253958444743,0.010842122306277362,0.004693106317565127,0.004672709758723234,-0.0066374255448325625,0.012654173350764693,-0.006094529172936246,-0.0038637175255330407,-0.009094310189306195,0.001206419648341041,0.006055234278704323,-0.0041988819184056655,-0.008796108857142127,-0.011675531939471387,-0.002451419440050481,-0.006293802798969545,0.0051470301598016185,-0.005657037845362167,0.006484517056348401,-0.006804304112080748,0.006621690230032633,-0.0002226088772019729,-0.0017572616215331763,0.0017165662909627824,0.0011068784482223977,0.0014006488779103013,0.0019025476369128463,-0.00025461179548019877,-5.606963644014265e-05,0.0011037551744121623
CT010_ses2,0.040462601832688766,-0.013031059979512193,-0.01086487386239002,-0.001281291735545872,0.01953643898250614,0.03415176205627834,-0.011982316620224977,-0.0036719686312570708,0.017576884044557515,0.0020469283097699327,0.0016750511600712918,-0.011979156646782455,0.0037601482436407456,-0.0014046358960459677,-0.01288056396067135,0.017547668478350608,0.014388643545084706,0.010689073956108784,0.011344559036108478,-0.00399262412530664,0.0007652936562829733,0.0008475873811349085,0.0036268971459624904,0.000574398339958109,-0.0016435552754581442,0.004138981234162738,0.001436571739873004,-5.685265316697358e-05,0.0004538532612558639,0.004294123318880224,0.0008246721733570033,-0.005939028657823896,-0.001160952106884179,0.005041360977761879,-8.626114579846489e-05,0.0005899707537433971,-0.0002210394920890757,3.80571899398958e-05
CT012_ses2,0.029322099691188725,0.027650492550237556,-0.012961842417662421,-0.01808910869456954,-0.025822505179414108,0.008661747691052853,-0.008001765795596243,-0.006815282178954665,-0.0028192482187672356,0.016301161194517928,0.00956949153259484,-0.008153739670978087,0.0033691113663736837,0.0049085810545891504,0.012772545984550394,0.01047968385365399,-0.004439632906305724,-0.014312641342271821,7.743267019856692e-05,0.005421214669161577,-5.2444236972036796e-05,0.000412476636266971,-0.00033522474112840454,-0.006277148365540641,0.00531193724350655,0.0010312921546757382,0.006616351378758657,0.009096024881667355,0.006763834402238089,-0.002869458349878702,0.0050595688096701594,-0.000861961172478616,-0.0004822303981269914,0.0015243861905853402,-0.0016941432507399277,-0.0017487465223361663,0.0007194801862235682,0.0006013301296112204
CT013_ses2,-0.023648724430949147,-0.013212010068475477,-0.040026093630792216,0.01243017145870437,0.0011022505996877152,-0.006327029138113773,-0.010324301167499233,0.009822710596439984,0.0015596811324006157,-0.03570565098815055,-0.0024212560694504876,-0.005922949432928575,-0.0050390608530948835,0.007126002191283397,-0.014928230773963278,0.003997559963998517,0.0035364756746014835,-0.01951537581108593,-0.006793125401769068,0.008488477221549771,-0.0022427090917004453,0.0013126725738418752,0.007669401082825391,-0.0033128974415992736,-0.003432156373604074,0.003112448356554088,0.0022304806632867063,-0.0009240561245759946,0.0013872960263135066,0.004408925967140596,0.0006178882747610471,0.0018987021208114964,0.0023285053296078413,-0.001065856429876993,0.0008449586363049623,-0.0008841834157529286,-0.0009397367052052151,-0.00016692324600236347
CT018_ses2,-0.0020888813501050954,-0.00882865789014171,-0.013020317316787839,0.00658808642814366,-0.011873675210495377,0.009260175713584368,0.007489235728517321,-0.021395265770604247,0.018907479051733754,-0.008475089739468873,-0.0013795264059763771,0.009343219131717434,0.001966724310955505,-0.009333964510148821,-0.0050098430903684436,-0.008057578753900332,-0.00090133654002975,-0.00040534634904109264,-0.005084693986822017,0.0059180940918607695,0.009798490904333355,-0.0006946194969237776,-0.005625496848503605,0.0003580676916867589,-0.00029229654004194345,0.00019694878289721997,-0.0030088263917648936,-0.003285545485284108,0.002644075065766051,-0.0013643409214269089,-0.0028923274143343933,0.0004792063503434958,-0.0036467156355511733,0.004757429269920876,-0.004841658036700793,-0.006433850693900949,0.005202686765147846,-0.002105284999327407
CT027_ses2,-0.014805631644879906,0.0031825878623571928,-0.024534642954557852,0.006965436709460314,0.023144957957615436,-0.02690120754055199,-0.019188698871747577,0.001913217993724883,0.0161126212615686,-0.01960565894120429,-0.0017240827557222832,-0.00014000049950950842,0.005599227481696885,0.01667140703004465,0.003548278546202241,-0.0019965880604020194,-0.001981282827423489,0.0017718590864991676,0.0031442478583937955,-0.007933037081212199,-0.0012196201460167547,0.007554322026088032,-0.011367357537536645,0.004920681476476972,0.001325794320357361,-0.0041934374247808584,-0.0008678496584608266,0.006331664526394613,-0.004331167888524851,-0.006389558589524434,0.0023444108774313584,-0.004685252448418775,-0.0013006508968900674,-0.000407558544845547,6.244266839951794e-05,-0.0013091723179641547,0.0009817951405448467,0.0019262503658318908
CT029_ses2,-0.041567963291496805,0.04341704184393191,0.00018190328880597398,0.01588966917923965,-0.010998225327942597,-0.0035459694962084306,0.004979984639297109,0.009140514832151968,-0.013532050066331486,-0.007226479393764213,-0.013985249049961094,-0.003474431824651402,0.0006743443327753874,0.005074546572369604,-0.003830655301546259,0.01575700893611519,0.006487410780760197,0.01031265255002056,-0.002545680172558622,-0.007794806422209471,0.009005941248311842,0.0027373114460774958,0.0066818429533989235,0.00062540149136532,0.006068468440893331,-0.008930303038322205,0.0012028198235168733,-6.806640385421889e-05,0.0036407267579879575,-0.0022934643786407393,-0.0021699641303523504,0.005855168599515293,-0.001137953251673713,0.001957119786588492,-0.004653985891041087,0.0019166724671648614,-0.0008044242859223056,0.0002880700599114328
CT032_ses2,0.022556600787461963,0.020311657906913975,0.024059209941541128,-0.024149374596269486,0.010229185726089525,-0.008279210991683068,-0.0001180854354501363,-0.0038393280928376173,-0.0004399079929443794,-0.0027066251444997384,0.008960705115195077,-0.009476376710106978,0.004677779506948892,0.011233576323235388,0.0038953954051860864,0.0020959291722382517,-0.010191724747884389,0.0016154444785436545,0.00221095111816961,-0.00273409414074133,-0.003911217257438861,0.00881842910705359,0.002199827537574111,0.007843886494756324,-0.004958299713425911,0.007192234606207388,-0.008621216141980668,-0.003785450462622299,0.006493093631588251,0.0012597917415596144,-0.0014705843241804455,0.006886296259094262,0.004047323465195286,0.0025078385848741427,0.00011503546640190048,-0.0010161622006809728,0.0018145322189061694,0.002824886427023675
CT039_ses2,-0.015463803468622318,0.02047166004384196,-0.027873043001196217,0.005986738017747622,-0.007451023906866326,0.012712077630489975,-0.009550965956024034,-0.010747657764773886,-0.009285086664669099,0.0038479418377647514,0.005731315224934507,0.015472057238381768,0.007775034872199579,-0.015344306229403122,-0.015511879279017824,0.0009022726183706362,-0.009190220766959393,-0.0082294857230444,0.004852098749311622,-0.0016663412279707872,0.0028450578591817724,-0.004841764594621638,-0.0017295873056670217,0.0036477690463769456,-0.00822877121752805,-0.00011796919018777519,-0.0051408136887035,0.0005525520273038436,0.0005413304345866418,-0.006661583678738639,0.003422558793788564,0.0007041536839339266,-0.000518932368678332,0.0022727679801407916,0.0007511420229051019,0.006324597513372476,-0.002132634227886694,0.0013841169805983017
