metric,group,mean_before,mean_after,std_before,std_after,diff_(before-after),t_value,p_value,n
PHQ,fluctuating,4.333333333333333,4.888888888888889,2.8722813232690143,4.226240777701988,-0.5555555555555562,-0.331,0.7488,9
PHQ,improving,5.0,4.0,2.9154759474226504,1.224744871391589,1.0,0.767,0.4859,5
PHQ,remain_clinical,8.0,7.666666666666667,2.6457513110645907,2.0816659994661326,0.33333333333333304,1.0,0.4226,3
PHQ,remain_healthy,4.777777777777778,4.0,3.99345870371795,2.42535625036333,0.7777777777777777,0.657,0.5201,18
PHQ,worsening,3.8,8.2,0.8366600265340756,4.324349662087931,-4.3999999999999995,-2.06,0.1084,5
GAD7 ,fluctuating,3.7777777777777777,3.4444444444444446,2.7284509239574835,2.96273147243853,0.33333333333333304,0.25,0.8089,9
GAD7 ,improving,3.0,2.2,2.23606797749979,2.16794833886788,0.7999999999999998,0.784,0.4766,5
GAD7 ,remain_clinical,5.666666666666667,9.0,3.511884584284246,4.358898943540674,-3.333333333333333,-2.5,0.1296,3
GAD7 ,remain_healthy,3.0555555555555554,2.3333333333333335,2.577555207880755,2.497057091387191,0.7222222222222219,0.781,0.4455,18
GAD7 ,worsening,3.0,7.2,1.8708286933869707,3.7013511046643495,-4.2,-1.95,0.123,5
DES,fluctuating,6.428571428222223,5.674603175,3.58924129270486,7.049488974372149,0.7539682532222232,0.407,0.6944,9
DES,improving,7.857142856199999,4.3571428576,2.9987242175648974,3.4200041783704638,3.499999998599999,2.173,0.0955,5
DES,remain_clinical,6.1904761903333325,4.523809523666666,0.5455447259173078,1.148053662134073,1.666666666666666,3.883,0.0604,3
DES,remain_healthy,3.2341269840555555,2.579365079444445,2.2570159462699904,2.0445061348771296,0.6547619046111106,1.466,0.1609,18
DES,worsening,3.2857142857999997,2.2857142856,2.2784482727431685,2.53294617548379,1.0000000001999996,0.558,0.6063,5
CTQ ,fluctuating,27.22222222222222,28.333333333333332,3.527668414752787,6.442049363362563,-1.1111111111111107,-0.929,0.3798,9
CTQ ,improving,29.6,28.8,3.847076812334269,3.271085446759225,0.8000000000000007,0.93,0.405,5
CTQ ,remain_clinical,30.333333333333332,35.333333333333336,2.886751345948129,3.511884584284246,-5.0000000000000036,-4.33,0.0494,3
CTQ ,remain_healthy,29.61111111111111,30.11111111111111,5.942260303650444,6.229803970940006,-0.5,-0.574,0.5737,18
CTQ ,worsening,30.0,29.2,3.8078865529319543,3.271085446759225,0.8000000000000007,0.93,0.405,5
LHQ total,fluctuating,34.666666666666664,34.888888888888886,10.559356040971437,8.006941432976209,-0.22222222222222143,-0.089,0.9316,9
LHQ total,improving,39.0,35.4,10.319883720275147,11.92895636675732,3.6000000000000014,0.947,0.3974,5
LHQ total,remain_clinical,40.666666666666664,41.666666666666664,14.6401275039985,14.29452109492771,-1.0,-1.732,0.2254,3
LHQ total,remain_healthy,33.22222222222222,31.61111111111111,5.105424514878678,6.381396573025549,1.6111111111111107,1.143,0.269,18
LHQ total,worsening,40.0,42.8,3.8078865529319543,2.588435821108957,-2.799999999999997,-1.606,0.1836,5
DERS total,fluctuating,60.666666666666664,60.0,6.708203932499369,11.916375287812984,0.6666666666666643,0.127,0.9023,9
DERS total,improving,85.2,57.8,6.418722614352484,8.167006795638168,27.400000000000006,4.286,0.0128,5
DERS total,remain_clinical,97.66666666666667,97.33333333333333,19.347695814575268,12.662279942148386,0.3333333333333428,0.064,0.9548,3
DERS total,remain_healthy,58.333333333333336,56.111111111111114,8.051306068692503,10.775183300686754,2.2222222222222214,0.948,0.3564,18
DERS total,worsening,68.0,87.4,5.916079783099616,10.502380682492898,-19.400000000000006,-5.249,0.0063,5
