Subject_Code,Cluster
NT005,1
NT006,0
NT003,0
NT001,0
NT007,0
CT002,3
CT004,3
CT003,0
NT010,0
CT005,1
NT013,2
NT008,0
NT016,1
NT018,2
NT017,1
NT020,0
CT008,0
NT019,0
CT007,2
NT015,1
CT010,1
CT015,3
CT013,0
NT024,1
CT012,1
NT026,1
CT016,1
NT028,0
NT023,0
NT035,0
CT018,1
NT036,0
NT027,1
NT033,1
CT020,1
NT025,0
NT034,0
NT043,0
NT042,0
NT040,0
CT021,1
NT046,2
NT048,2
NT049,1
NT045,0
CT022,3
NT039,1
CT023,1
NT054,0
NT055,1
NT056,0
NT053,2
NT058,0
NT061,0
NT052,0
NT059,0
CT017,1
NT057,1
CT024,0
NT060,1
NT047,1
CT025,2
CT028,0
CT029,1
NT065,1
NT067,0
NT066,2
CT031,0
CT026,0
CT032,1
CT027,0
NT070,0
NT074,0
CT034,0
NT069,0
NT083,0
NT082,0
CT038,1
NT085,0
CT033,3
CT037,1
CT030,1
CT041,0
NT063,1
NT089,0
NT092,0
CT040,3
CT043,0
NT088,1
NT090,2
NT096,0
NT091,1
NT077,1
NT097,2
CT042,1
NT081,2
CT046,1
NT030,0
CT044,1
NT105,1
NT103,0
NT100,0
NT110,0
NT094,0
CT050,0
NT106,1
CT051,1
NT118,1
NT119,1
NT116,0
CT053,2
NT122,0
NT117,0
NT123,0
NT124,2
CT058,0
NT125,0
NT126,0
CT056,0
CT062,0
CT061,2
CT065,1
NT129,2
NT131,1
NT132,2
NT136,2
NT135,0
NT134,1
NT137,0
NT139,0
NT138,0
NT140,1
NT142,0
NT080,1
CT066,0
