Subject_Code,Cluster
NT005,0
NT002,0
NT001,0
NT007,0
CT004,0
CT003,0
NT010,0
CT005,0
NT008,0
NT016,0
NT018,1
NT017,0
CT008,0
CT007,1
NT015,1
NT022,1
CT010,0
CT015,1
CT013,1
NT024,0
CT012,1
NT026,1
NT029,0
NT028,0
NT032,0
NT023,0
NT035,0
CT018,1
NT036,0
NT027,0
NT033,0
NT031,0
NT025,0
NT034,1
NT042,0
NT040,1
CT021,1
NT046,0
NT048,0
NT049,1
CT022,0
NT039,0
CT023,1
NT054,0
NT055,0
NT058,0
NT052,0
NT059,0
CT017,0
CT024,1
NT051,0
NT060,1
NT047,1
CT025,0
CT028,0
CT029,0
NT065,1
NT067,0
CT031,0
CT026,0
CT027,1
NT044,0
NT070,0
NT071,0
NT074,1
CT034,0
NT069,0
NT076,0
NT083,1
NT082,0
NT084,0
CT038,0
NT085,0
CT033,0
NT087,0
CT037,0
CT030,1
CT041,0
NT063,0
NT089,0
NT092,0
CT040,0
CT039,1
NT093,0
NT088,0
NT090,1
NT096,1
NT091,0
NT077,0
NT097,0
NT081,0
CT047,1
CT046,0
CT045,0
NT030,0
CT044,1
NT102,0
CT049,0
NT100,0
NT110,0
NT094,0
CT050,0
NT112,0
CT051,0
NT118,0
NT116,1
NT121,0
CT053,0
NT122,0
NT117,0
CT055,0
CT057,0
NT123,0
NT114,0
NT124,0
NT107,0
CT058,0
NT126,0
CT059,0
CT060,0
CT056,0
CT062,0
CT061,1
NT129,1
NT131,1
NT136,0
NT135,0
NT134,1
NT139,1
NT140,0
NT080,0
NT072,0
CT066,0
