metric,group,mean_before,mean_after,std_before,std_after,diff_(before-after),t_value,p_value,n
PHQ,fluctuating,5.03125,6.59375,2.6577261078817225,4.094523289436993,-1.5625,-1.919,0.0643,32
PHQ,improving,8.071428571428571,3.7857142857142856,3.2454532862093446,1.7619295117556788,4.285714285714286,3.58,0.0034,14
PHQ,remain_clinical,8.833333333333334,9.333333333333334,4.215052391924289,5.240865068542279,-0.5,-0.289,0.7838,6
PHQ,remain_healthy,2.8,3.85,1.6091841672756186,1.8715318802914818,-1.0500000000000003,-2.813,0.0111,20
PHQ,worsening,3.5,9.666666666666666,0.5477225575051661,3.32665998663324,-6.166666666666666,-4.48,0.0065,6
GAD7 total,fluctuating,3.84375,4.84375,2.7369558672647316,3.6729997848291305,-1.0,-1.688,0.1014,32
GAD7 total,improving,6.071428571428571,2.2857142857142856,1.8590438284354558,1.6837947722821909,3.7857142857142856,5.373,0.0001,14
GAD7 total,remain_clinical,7.333333333333333,9.833333333333334,1.632993161855452,3.488074922742725,-2.500000000000001,-1.555,0.1806,6
GAD7 total,remain_healthy,1.75,2.15,1.019545822516343,1.6311119875071343,-0.3999999999999999,-1.116,0.2783,20
GAD7 total,worsening,1.6666666666666667,7.166666666666667,1.0327955589886446,3.65604522218567,-5.5,-3.149,0.0254,6
DES,fluctuating,8.705357142875,6.62946428553125,5.561575536815097,6.5332853508281605,2.0758928573437503,1.801,0.0814,32
DES,improving,7.602040816071429,4.336734694214285,6.559156858197862,4.257823953254585,3.2653061218571438,2.5,0.0266,14
DES,remain_clinical,12.285714286200001,5.5714285718,8.54012139749393,3.7423391145881646,6.714285714400001,2.817,0.048,5
DES,remain_healthy,4.14285714285,2.9642857143,4.207302740222273,2.3407954434529783,1.1785714285499997,1.663,0.1127,20
DES,worsening,5.357142856666667,7.261904762666667,4.065785562150045,7.49035661383137,-1.904761906,-0.927,0.3965,6
DES_Absorption,fluctuating,15.312499999812502,11.4930555558125,11.442145348452753,11.102539256287631,3.819444444000002,1.656,0.1078,32
DES_Absorption,improving,12.460317460642857,6.984126983714285,8.652613759934749,7.427120694802768,5.476190476928572,2.823,0.0144,14
DES_Absorption,remain_clinical,18.4444444434,10.4444444456,12.707536403714952,7.0096934660493755,7.999999997799998,1.77,0.1514,5
DES_Absorption,remain_healthy,7.8333333329,5.166666666750001,7.003897550085771,4.731586862375939,2.6666666661499985,2.112,0.0482,20
DES_Absorption,worsening,7.962962962500001,11.111111111666666,6.7555799219218216,12.842829580740787,-3.1481481491666656,-0.936,0.3922,6
DES_Amnesia,fluctuating,2.890625,1.7578125,3.3964743936104704,2.653728642051625,1.1328125,1.651,0.1087,32
DES_Amnesia,improving,2.142857142857143,0.8035714285714286,4.286286591824298,1.2602600900232834,1.3392857142857142,1.385,0.1894,14
DES_Amnesia,remain_clinical,7.5,2.25,8.052561704203203,3.112474899497183,5.25,2.298,0.0831,5
DES_Amnesia,remain_healthy,0.6875,0.3125,1.2483541796680688,0.6876495052752261,0.375,1.831,0.0828,20
DES_Amnesia,worsening,0.8333333333333334,0.625,1.0206207261596574,1.0458250331675945,0.20833333333333337,0.349,0.7412,6
DES_Depersonalization,fluctuating,2.6041666665625,2.4479166666562504,3.6401164852153265,3.386256616169902,0.15624999990624966,0.271,0.7882,32
DES_Depersonalization,improving,3.5714285715000003,1.666666666714286,8.815709144807148,3.2025630761417747,1.9047619047857143,1.17,0.2631,14
DES_Depersonalization,remain_clinical,4.333333333400001,1.3333333334000002,4.346134936846505,2.981423970148791,3.0000000000000004,1.5,0.208,5
DES_Depersonalization,remain_healthy,1.25,0.8333333334,2.5862321030220308,1.6666666667368424,0.41666666659999996,0.839,0.412,20
DES_Depersonalization,worsening,1.6666666666666667,3.8888888895000004,4.0824829046386295,8.734775115577031,-2.2222222228333335,-1.164,0.2968,6
DERS,fluctuating,81.5625,78.6875,17.210157353407094,17.73176027868201,2.875,1.04,0.3065,32
DERS,improving,77.0,67.0,16.76993647068376,20.471368373338482,10.0,2.586,0.0226,14
DERS,remain_clinical,92.0,94.33333333333333,19.235384061671343,33.29664647778612,-2.3333333333333286,-0.215,0.8383,6
DERS,remain_healthy,67.45,63.05,15.96204379474205,14.314052719728187,4.400000000000006,1.511,0.1472,20
DERS,worsening,64.5,78.66666666666667,7.035623639735144,15.344923156101718,-14.166666666666671,-3.294,0.0216,6
DERS_Nonacceptance_Emotional_Responses,fluctuating,17.0625,15.625,6.3446065487203,6.215225841275965,1.4375,1.821,0.0782,32
DERS_Nonacceptance_Emotional_Responses,improving,13.285714285714286,13.0,5.79692984297685,6.373020054525532,0.2857142857142865,0.287,0.7789,14
DERS_Nonacceptance_Emotional_Responses,remain_clinical,19.166666666666668,19.333333333333332,4.119061381755153,5.8878405775518985,-0.1666666666666643,-0.053,0.9599,6
