metric,group,mean_before,mean_after,std_before,std_after,diff_(before-after),t_value,p_value,n
PHQ,fluctuating,4.925925925925926,6.444444444444445,2.600679288865269,4.568565953534531,-1.518518518518519,-1.61,0.1195,27
PHQ,improving,5.818181818181818,5.909090909090909,2.482667187449088,2.7001683449202,-0.09090909090909083,-0.085,0.9337,11
PHQ,remain_clinical,8.5,17.5,3.5355339059327378,2.1213203435596424,-9.0,-9.0,0.0704,2
PHQ,remain_healthy,4.363636363636363,4.7272727272727275,3.2289528277192847,2.8643577734887544,-0.3636363636363642,-0.46,0.6486,33
GAD7 total,fluctuating,3.8518518518518516,5.222222222222222,2.755465948363832,4.190954851117173,-1.3703703703703707,-2.048,0.0508,27
GAD7 total,improving,6.181818181818182,5.0,2.786330268226716,3.5496478698597698,1.1818181818181817,0.925,0.3768,11
GAD7 total,remain_clinical,6.5,11.5,0.7071067811865476,3.5355339059327378,-5.0,-2.5,0.2422,2
GAD7 total,remain_healthy,2.8484848484848486,2.909090909090909,2.3468224810529996,2.742759062099198,-0.06060606060606055,-0.091,0.928,33
DES,fluctuating,7.592592592703704,6.164021164074074,5.354021611902437,7.617211126502782,1.4285714286296294,1.079,0.2904,27
DES,improving,15.941558440999996,8.214285714545456,5.395748344600308,3.656138255104527,7.72727272645454,5.109,0.0005,11
DES,remain_clinical,16.25,12.857142857,3.788072044091096,6.5659915397914,3.3928571430000005,0.463,0.7237,2
DES,remain_healthy,3.9069264068787874,2.954545454575758,2.6769926804707675,2.2610145776270567,0.9523809523030295,1.987,0.0555,33
