Subject_Code,Cluster
NT005,1
NT002,0
NT001,1
NT007,1
CT004,0
CT003,1
NT010,1
CT005,1
NT016,1
NT018,0
NT017,1
NT020,1
CT008,1
NT019,1
CT007,0
NT015,0
NT022,0
CT010,1
CT015,0
CT013,1
NT024,0
CT012,1
NT026,0
NT029,0
NT028,0
NT032,1
NT023,1
CT018,0
NT036,1
NT027,1
NT033,1
NT031,1
NT025,1
NT034,1
NT043,1
NT042,1
NT040,0
NT046,1
NT048,1
NT049,0
NT045,1
CT022,1
NT039,1
CT023,1
NT054,1
NT055,1
NT056,1
NT053,1
NT058,0
NT061,1
NT052,1
NT059,1
CT017,0
NT057,0
NT041,1
CT024,1
NT051,1
NT060,0
NT047,0
CT025,1
CT028,1
CT029,1
NT065,0
CT031,1
CT026,1
CT032,1
CT027,0
NT068,1
NT044,1
NT071,1
NT074,1
CT034,1
NT069,1
NT075,1
CT035,1
NT082,1
NT084,1
CT038,0
NT085,1
CT033,0
NT087,1
CT037,1
CT030,0
CT041,1
NT063,0
NT089,0
CT039,0
NT093,1
NT088,1
NT090,1
NT096,0
NT091,1
NT077,1
NT097,0
NT081,1
CT046,1
NT030,1
CT044,1
NT102,1
CT049,0
NT100,1
NT110,1
NT094,0
CT050,1
NT106,0
CT051,0
NT118,1
NT121,1
NT122,1
NT117,1
CT055,1
NT123,1
NT114,1
NT124,1
NT107,1
NT113,0
CT058,0
NT126,1
CT059,1
CT060,1
CT056,1
CT061,1
NT129,0
NT136,0
NT072,1
