Subject_Code,Cluster
NT005,1
NT006,1
NT002,1
NT003,0
NT001,0
NT007,1
CT002,0
CT004,0
CT003,1
NT010,0
CT005,1
NT013,0
NT011,0
NT008,0
NT016,0
NT018,1
NT017,0
NT020,0
CT008,1
NT019,0
CT007,1
NT015,1
NT022,1
CT010,0
CT015,0
CT013,1
NT024,1
CT012,0
NT026,0
CT016,0
NT028,0
NT023,0
NT035,1
CT018,1
NT036,1
NT027,0
NT033,1
CT020,0
NT025,0
NT034,0
NT043,0
NT042,0
NT040,0
CT021,1
NT046,0
NT048,1
NT049,1
NT045,0
CT022,0
NT039,0
CT023,0
NT054,0
NT055,1
NT056,0
NT053,1
NT058,1
NT061,0
NT052,1
NT059,0
CT017,1
NT057,1
CT024,1
NT060,1
NT047,1
CT025,1
CT028,0
CT029,0
NT065,1
NT067,0
NT066,1
CT031,0
CT026,0
CT032,0
CT027,0
NT070,0
NT074,0
CT034,0
NT069,1
NT083,0
NT082,1
CT038,0
NT085,0
CT033,0
CT037,0
CT030,1
CT041,0
NT063,0
NT089,0
NT092,0
CT040,0
CT039,1
CT043,0
NT093,0
NT088,1
NT090,0
NT096,1
NT091,0
NT077,1
NT097,0
CT042,0
NT081,1
CT046,1
NT030,0
CT044,1
NT102,0
NT105,0
NT103,0
NT100,0
NT110,0
NT094,0
CT050,0
NT106,1
CT051,1
NT118,1
NT119,0
NT116,0
CT053,1
NT122,0
NT117,0
NT123,0
NT124,0
CT058,0
NT125,0
NT126,0
CT056,0
CT062,1
CT061,1
CT065,0
NT129,1
NT131,1
NT132,1
NT136,1
NT135,0
NT134,1
NT137,0
NT139,0
NT138,0
NT140,1
NT142,0
NT080,1
CT066,1
