Subject_Code,Cluster
CT003,1
CT004,1
CT007,1
CT008,1
CT010,1
CT012,1
CT016,1
CT018,1
CT021,0
CT022,1
CT023,1
CT024,1
CT025,1
CT026,1
CT027,1
CT028,1
CT029,1
CT030,1
CT031,1
CT032,1
CT033,1
CT034,1
CT035,1
CT038,1
CT039,1
CT040,1
CT041,1
CT044,1
CT045,1
CT046,1
CT047,0
CT049,1
CT050,1
CT051,1
CT053,1
CT055,1
CT058,1
CT060,1
CT061,0
CT062,1
CT065,1
CT066,1
NT005,1
NT007,1
NT010,1
NT015,1
NT016,1
NT017,1
NT018,1
NT019,1
NT020,1
NT022,1
NT023,1
NT024,1
NT025,1
NT027,1
NT028,1
NT030,1
NT031,1
NT032,1
NT033,1
NT034,1
NT035,1
NT036,1
NT039,1
NT040,1
NT041,1
NT042,1
NT043,1
NT044,1
NT045,1
NT046,1
NT047,1
NT048,1
NT049,1
NT051,1
NT052,1
NT054,1
NT055,1
NT056,1
NT057,1
NT058,1
NT060,1
NT061,1
NT063,1
NT065,1
NT067,1
NT069,1
NT070,1
NT071,1
NT072,1
NT074,1
NT075,1
NT077,1
NT080,1
NT081,1
NT082,1
NT083,1
NT084,1
NT085,1
NT087,1
NT088,1
NT089,1
NT090,1
NT091,1
NT092,1
NT094,1
NT096,1
NT097,1
NT100,1
NT107,1
NT110,1
NT112,1
NT114,1
NT116,1
NT117,1
NT118,1
NT121,1
NT122,1
NT123,1
NT124,1
NT126,1
NT129,1
NT131,1
NT134,1
NT135,1
NT136,1
NT139,1
NT140,1
