Subject_Code,Cluster
CT002,0
CT003,0
CT004,0
CT005,0
CT007,1
CT008,1
CT010,0
CT012,0
CT013,1
CT015,0
CT016,0
CT017,1
CT018,0
CT020,0
CT021,0
CT022,0
CT023,0
CT024,1
CT025,1
CT026,0
CT027,0
CT028,0
CT029,0
CT030,1
CT031,0
CT032,0
CT033,0
CT034,0
CT037,0
CT038,0
CT039,1
CT040,0
CT041,0
CT042,0
CT043,0
CT044,1
CT046,0
CT050,0
CT051,0
CT053,0
CT056,0
CT058,0
CT061,0
CT062,1
CT065,0
CT066,0
NT001,0
NT002,0
NT003,0
NT005,0
NT006,0
NT007,1
NT008,0
NT010,0
NT011,0
NT013,0
NT015,1
NT016,0
NT017,0
NT018,1
NT019,0
NT020,0
NT022,1
NT023,0
NT024,0
NT025,0
NT026,0
NT027,0
NT028,0
NT030,0
NT033,0
NT034,0
NT035,0
NT036,1
NT039,0
NT040,0
NT042,0
NT043,0
NT045,0
NT046,0
NT047,1
NT048,1
NT049,1
NT052,0
NT053,0
NT054,0
NT055,1
NT056,0
NT057,0
NT058,0
NT059,0
NT060,1
NT061,0
NT063,0
NT065,1
NT066,1
NT067,0
NT069,1
NT070,0
NT074,0
NT077,0
NT080,0
NT081,1
NT082,1
NT083,0
NT085,0
NT088,0
NT089,0
NT090,0
NT091,0
NT092,0
NT093,0
NT094,0
NT096,0
NT097,0
NT100,0
NT102,0
NT103,0
NT105,0
NT106,0
NT110,0
NT116,0
NT117,0
NT118,1
NT119,0
NT122,0
NT123,0
NT124,0
NT125,0
NT126,0
NT129,1
NT131,0
NT132,1
NT134,1
NT135,0
NT136,0
NT137,0
NT138,0
NT139,0
NT140,0
NT142,0
CT003,0
CT004,0
CT005,1
CT007,1
CT008,0
CT010,1
CT012,1
CT013,0
CT015,1
CT016,0
CT018,1
CT021,1
CT022,0
CT023,0
CT024,1
CT025,1
CT026,0
CT027,0
CT028,0
CT029,0
CT030,1
CT031,0
CT032,1
CT033,1
CT034,0
CT035,0
CT038,1
CT039,1
CT040,0
CT041,0
CT044,0
CT045,0
CT046,0
CT047,1
CT048,0
CT049,1
CT050,0
CT051,1
CT053,1
CT055,1
CT058,0
CT060,0
CT061,1
CT062,0
CT065,0
CT066,0
NT001,0
NT002,0
NT005,0
NT007,0
NT008,0
NT010,0
NT015,1
NT016,0
NT017,0
NT018,1
NT019,0
NT020,0
NT022,0
NT023,1
NT024,1
NT025,0
NT027,0
NT028,0
NT030,0
NT031,0
NT032,1
NT033,0
NT034,0
NT035,0
NT036,1
NT039,0
NT040,1
NT041,0
NT042,0
NT043,0
NT044,0
NT045,1
NT046,0
NT047,1
NT048,0
NT049,0
NT051,0
NT052,1
NT053,1
NT054,0
NT055,1
NT056,0
NT057,1
NT058,1
NT060,1
NT061,0
NT063,1
NT065,1
NT067,0
NT069,1
NT070,0
NT071,0
NT072,0
NT074,0
NT075,0
NT077,0
NT080,0
NT081,0
NT082,0
NT083,1
NT084,0
NT085,0
NT087,0
NT088,1
NT089,0
NT090,0
NT091,0
NT092,1
NT094,0
NT096,1
NT097,1
NT100,0
NT107,0
NT110,1
NT112,0
NT114,0
NT116,0
NT117,0
NT118,0
NT121,1
NT122,0
NT123,0
NT124,1
NT126,0
NT129,1
NT131,0
NT134,1
NT135,0
NT136,0
NT137,0
NT139,0
NT140,0
NT142,0
CT003,0
CT004,0
CT005,1
CT007,1
CT008,0
CT010,0
CT012,1
CT013,1
CT015,1
CT017,0
CT018,1
CT021,1
CT022,0
CT023,1
CT024,1
CT025,0
CT026,0
CT027,1
CT028,0
CT029,0
CT030,1
CT031,0
CT033,0
CT034,0
CT037,0
CT038,0
CT039,1
CT040,0
CT041,0
CT044,1
CT045,0
CT046,0
CT047,1
CT049,0
CT050,0
CT051,1
CT053,0
CT055,0
CT056,0
CT057,0
CT058,0
CT059,0
CT060,0
CT061,1
CT062,0
CT066,0
NT001,0
NT002,0
NT005,0
NT007,0
NT008,0
NT010,0
NT015,1
NT016,0
NT017,0
NT018,1
NT022,1
NT023,0
NT024,1
NT025,0
NT026,1
NT027,0
NT028,0
NT029,0
NT030,0
NT031,0
NT032,0
NT033,0
NT034,1
NT035,0
NT036,0
NT039,0
NT040,1
NT042,0
NT044,0
NT046,0
NT047,1
NT048,0
NT049,1
NT051,0
NT052,0
NT054,0
NT055,0
NT058,0
NT059,0
NT060,1
NT063,0
NT065,1
NT067,0
NT069,0
NT070,0
NT071,0
NT072,0
NT074,1
NT076,0
NT077,0
NT080,1
NT081,0
NT082,0
NT083,1
NT084,0
NT085,0
NT087,0
NT088,0
NT089,0
NT090,0
NT091,0
NT092,0
NT093,0
NT094,0
NT096,1
NT097,0
NT100,0
NT102,0
NT107,1
NT110,0
NT114,0
NT116,1
NT117,0
NT118,0
NT121,0
NT122,0
NT123,0
NT124,0
NT126,0
NT129,1
NT131,1
NT134,1
NT135,0
NT136,0
NT139,1
NT140,0
CT003,0
CT004,0
CT005,1
CT007,1
CT008,0
CT010,1
CT012,1
CT013,0
CT015,0
CT021,1
CT022,0
CT023,1
CT024,0
CT025,0
CT026,0
CT027,1
CT028,0
CT029,1
CT031,0
CT033,0
CT034,1
CT035,0
CT038,1
CT039,1
CT040,0
CT041,0
CT043,0
CT044,1
CT046,1
CT047,1
CT050,0
CT051,0
CT053,1
CT055,0
CT056,0
CT058,0
CT059,0
CT060,0
CT061,1
CT062,0
CT066,0
NT001,0
NT002,0
NT005,0
NT007,0
NT008,0
NT010,0
NT015,0
NT016,0
NT017,0
NT018,0
NT020,0
NT022,1
NT023,0
NT024,1
NT025,0
NT026,1
NT027,0
NT028,0
NT030,0
NT031,0
NT032,0
NT033,0
NT034,0
NT035,0
NT036,1
NT039,0
NT040,0
NT042,0
NT044,0
NT045,0
NT046,0
NT047,1
NT048,1
NT049,1
NT051,0
NT055,0
NT056,0
NT057,0
NT058,0
NT059,0
NT060,1
NT061,0
NT063,0
NT065,1
NT068,0
NT069,0
NT070,0
NT072,0
NT074,0
NT076,0
NT077,0
NT080,0
NT081,0
NT082,0
NT084,0
NT085,0
NT087,0
NT089,1
NT090,0
NT091,0
NT094,0
NT096,1
NT097,1
NT100,1
NT107,0
NT112,0
NT113,1
NT116,0
NT118,0
NT121,0
NT123,0
NT124,0
NT125,0
NT126,0
NT129,1
NT131,1
NT134,0
NT135,0
NT136,0
NT140,0
CT003,0
CT004,1
CT005,0
CT007,1
CT008,0
CT010,0
CT012,0
CT013,0
CT015,1
CT017,1
CT018,0
CT022,0
CT023,0
CT024,0
CT025,0
CT026,0
CT027,1
CT028,0
CT029,0
CT030,1
CT031,0
CT032,0
CT033,1
CT034,0
CT035,0
CT037,0
CT038,1
CT039,1
CT041,0
CT044,0
CT046,0
CT049,1
CT050,0
CT051,0
CT055,0
CT056,0
CT058,1
CT059,0
CT060,0
CT061,0
NT001,0
NT002,1
NT005,0
NT007,0
NT010,0
NT015,1
NT016,0
NT017,0
NT018,1
NT019,0
NT020,0
NT022,1
NT023,0
NT024,1
NT025,0
NT026,0
NT027,0
NT028,0
NT029,1
NT030,0
NT031,0
NT032,0
NT033,0
NT034,0
NT036,0
NT039,0
NT040,1
NT041,0
NT042,0
NT043,0
NT044,0
NT045,0
NT046,0
NT047,1
NT048,0
NT049,1
NT051,0
NT052,0
NT053,0
NT054,0
NT055,0
NT056,0
NT057,1
NT058,0
NT059,0
NT060,1
NT061,0
NT063,1
NT065,0
NT068,0
NT069,0
NT071,0
NT072,0
NT074,0
NT075,0
NT077,0
NT081,0
NT082,0
NT084,0
NT085,0
NT087,0
NT088,0
NT089,1
NT090,0
NT091,0
NT093,0
NT094,1
NT096,1
NT097,1
NT100,0
NT102,0
NT106,1
NT107,0
NT110,0
NT113,1
NT114,0
NT117,0
NT118,0
NT121,0
NT122,0
NT123,0
NT124,0
NT126,0
NT129,1
NT136,1
