Subject_Code,Cluster
CT003,0
CT004,0
CT005,0
CT007,0
CT008,0
CT010,0
CT012,0
CT013,0
CT015,0
CT017,1
CT018,0
CT022,0
CT023,0
CT024,0
CT025,0
CT026,0
CT027,0
CT028,0
CT029,0
CT030,1
CT031,0
CT032,0
CT033,1
CT034,0
CT035,0
CT037,0
CT038,0
CT039,1
CT041,0
CT044,0
CT046,0
CT049,0
CT050,0
CT051,0
CT055,0
CT056,0
CT058,1
CT059,0
CT060,0
CT061,0
NT001,0
NT002,0
NT005,0
NT007,0
NT010,0
NT015,1
NT016,0
NT017,0
NT018,1
NT019,0
NT020,0
NT022,0
NT023,0
NT024,0
NT025,0
NT026,0
NT027,0
NT028,0
NT029,0
NT030,0
NT031,0
NT032,0
NT033,0
NT034,0
NT036,0
NT039,0
NT040,1
NT041,0
NT042,0
NT043,0
NT044,0
NT045,0
NT046,0
NT047,1
NT048,0
NT049,1
NT051,0
NT052,0
NT053,0
NT054,0
NT055,0
NT056,0
NT057,0
NT058,0
NT059,0
NT060,1
NT061,0
NT063,0
NT065,0
NT068,0
NT069,0
NT071,0
NT072,0
NT074,0
NT075,0
NT077,0
NT081,0
NT082,0
NT084,0
NT085,0
NT087,0
NT088,0
NT089,0
NT090,0
NT091,0
NT093,0
NT094,1
NT096,0
NT097,0
NT100,0
NT102,0
NT106,0
NT107,0
NT110,0
NT113,0
NT114,0
NT117,0
NT118,0
NT121,0
NT122,0
NT123,0
NT124,0
NT126,0
NT129,1
NT136,0
