Subject_Code,Cluster
CT002,0
CT003,1
CT004,0
CT005,1
CT007,1
CT008,1
CT010,0
CT012,0
CT013,1
CT015,0
CT016,0
CT017,1
CT018,1
CT020,0
CT021,1
CT022,0
CT023,0
CT024,1
CT025,1
CT026,0
CT027,0
CT028,0
CT029,0
CT030,1
CT031,0
CT032,0
CT033,0
CT034,0
CT037,0
CT038,0
CT039,1
CT040,0
CT041,0
CT042,0
CT043,0
CT044,1
CT046,1
CT050,0
CT051,1
CT053,1
CT056,0
CT058,0
CT061,1
CT062,1
CT065,0
CT066,1
NT001,0
NT002,1
NT003,0
NT005,1
NT006,0
NT007,1
NT008,0
NT010,0
NT011,0
NT013,0
NT015,1
NT016,0
NT017,0
NT018,1
NT019,0
NT020,0
NT022,1
NT023,0
NT024,1
NT025,0
NT026,0
NT027,0
NT028,0
NT030,0
NT033,1
NT034,0
NT035,1
NT036,1
NT039,0
NT040,0
NT042,0
NT043,0
NT045,0
NT046,0
NT047,1
NT048,1
NT049,1
NT052,1
NT053,1
NT054,0
NT055,1
NT056,0
NT057,1
NT058,1
NT059,0
NT060,1
NT061,0
NT063,0
NT065,1
NT066,1
NT067,0
NT069,1
NT070,0
NT074,0
NT077,1
NT080,1
NT081,1
NT082,1
NT083,0
NT085,0
NT088,1
NT089,0
NT090,0
NT091,0
NT092,0
NT093,0
NT094,0
NT096,1
NT097,0
NT100,0
NT102,0
NT103,0
NT105,0
NT106,1
NT110,0
NT116,0
NT117,0
NT118,1
NT119,0
NT122,0
NT123,0
NT124,0
NT125,0
NT126,0
NT129,1
NT131,1
NT132,1
NT134,1
NT135,0
NT136,1
NT137,0
NT138,0
NT139,0
NT140,1
NT142,0
