dataset,pc,rank_within_dataset,feature,loading,abs_loading
combined,2,1,PHQ_5,0.44031272902759133,0.44031272902759133
combined,2,2,PHQ_4,0.42286150676376216,0.42286150676376216
combined,2,3,PHQ_3,0.3876366382386354,0.3876366382386354
combined,2,4,PHQ_9,-0.3226535946751861,0.3226535946751861
combined,2,5,GAD7_2,-0.2951803899828237,0.2951803899828237
combined,2,6,PHQ_10,0.24247731418731688,0.24247731418731688
combined,2,7,GAD7_3,-0.21625389172401027,0.21625389172401027
combined,2,8,GAD7_4,-0.1922140612402383,0.1922140612402383
combined,2,9,PHQ_7,0.18502225391883723,0.18502225391883723
combined,2,10,GAD7_5,-0.17227977957181548,0.17227977957181548
