Subject_Code,b,t1,t2,t3,after
CT003,1,1,1,1,1
CT004,1,2,2,1,1
CT005,2,1,2,1,2
CT007,0,1,0,0,0
CT008,1,1,1,2,2
CT010,2,1,1,0,1
CT012,1,1,1,2,2
CT013,1,2,2,2,2
CT015,1,3,1,1,0
CT022,2,2,1,2,2
CT023,2,1,0,1,2
CT024,3,0,0,1,2
CT025,1,0,2,2,2
CT026,1,1,2,2,2
CT027,2,1,3,1,0
CT028,1,2,2,2,1
CT029,2,2,2,1,1
CT031,1,1,0,1,1
CT033,1,1,1,1,0
CT034,2,2,2,1,1
CT038,2,1,1,1,1
CT039,1,0,0,0,0
CT041,1,2,2,2,2
CT044,1,1,1,1,1
CT046,1,2,1,1,2
CT050,1,1,2,2,1
CT051,1,1,1,1,1
CT058,2,1,1,2,0
CT061,1,1,2,0,1
NT001,1,1,1,1,1
NT002,1,1,1,2,1
NT005,1,1,1,1,2
NT007,3,2,2,2,2
NT010,2,2,2,2,2
NT015,1,1,1,1,1
NT016,2,2,2,1,2
NT017,2,2,2,2,1
NT018,0,1,3,1,0
NT022,1,1,3,3,2
NT023,1,1,1,1,1
NT024,1,1,0,0,1
NT025,2,2,2,2,2
NT027,1,2,1,2,1
NT028,1,1,2,1,0
NT030,2,2,2,2,2
NT033,1,1,2,2,2
NT034,1,2,3,2,2
NT036,1,1,1,0,1
NT039,2,1,1,2,1
NT040,1,1,1,2,1
NT042,1,1,1,2,1
NT046,1,1,0,1,2
NT047,1,1,1,0,1
NT048,1,2,1,0,1
NT049,0,2,1,0,3
NT055,1,1,1,1,1
NT058,1,1,2,2,1
NT060,0,0,0,0,0
NT063,2,1,1,2,2
NT065,0,1,1,1,1
NT069,0,1,1,1,1
NT074,2,2,0,0,0
NT077,1,2,1,2,1
NT081,3,2,2,1,1
NT082,0,1,2,2,1
NT085,2,1,2,1,1
NT089,2,2,2,1,2
NT090,2,2,1,2,2
NT091,1,1,1,1,1
NT094,1,2,2,2,0
NT096,1,0,1,0,0
NT097,2,1,1,1,1
NT100,2,2,2,1,2
NT118,1,2,1,2,1
NT123,1,0,1,1,2
NT124,1,0,1,1,2
NT126,1,1,1,1,1
NT129,1,1,0,0,3
NT136,1,2,2,1,0
