cluster,variable,period_shown,clusters_from,N_in_cluster,mean,std
0,b_DERS_total,b,b,82,68.59756097560975,15.109362444652994
0,b_LHQ_total,b,b,82,35.792682926829265,7.124532135174701
0,b_DES_average,b,b,82,6.271777003484321,4.725088352888648
0,b_ctq_total,b,b,82,33.18292682926829,10.550440923183835
1,b_DERS_total,b,b,53,81.41509433962264,18.4812107935269
1,b_LHQ_total,b,b,53,41.18867924528302,9.114773729782756
1,b_DES_average,b,b,53,8.483827493261455,6.198930148830304
1,b_ctq_total,b,b,53,32.64150943396226,6.3187582142460235
0,t1_MAAS_total,t1,b,69,70.57971014492753,6.533636491043977
0,t1_DES_total,t1,b,69,4.663561076604554,3.415110599900847
1,t1_MAAS_total,t1,b,48,71.58333333333333,8.589536765389134
1,t1_DES_total,t1,b,48,7.552083333333333,4.845075739297091
0,t2_MAAS_total,t2,b,65,75.26153846153846,6.543787423667874
1,t2_MAAS_total,t2,b,51,74.94117647058823,7.841968540375261
0,t3_MAAS_total,t3,b,61,78.54098360655738,6.438358410060242
1,t3_MAAS_total,t3,b,46,78.8913043478261,7.38836400736415
0,after_MPAS_total,after,b,68,79.33382352941176,9.02475220305811
0,after_DES_total,after,b,68,4.017857142857143,3.5716284592250442
0,after_LHQ_total,after,b,68,36.64705882352941,7.770523534259977
0,after_DERS_total,after,b,68,66.44117647058823,15.54519876249282
0,after_CTQ_total,after,b,68,31.970588235294116,8.76555434256139
1,after_MPAS_total,after,b,46,77.00434782608696,8.837595362282634
1,after_DES_total,after,b,46,6.234472049689441,6.4014890388581405
1,after_LHQ_total,after,b,46,40.58695652173913,9.551209549828457
1,after_DERS_total,after,b,46,79.78260869565217,22.844316622135302
1,after_CTQ_total,after,b,46,33.43478260869565,7.6118392401808865
0,b_DERS_total,b,t1,96,67.76041666666667,16.691469483205243
0,b_LHQ_total,b,t1,96,36.010416666666664,8.00196658942323
0,b_DES_average,b,t1,96,5.602678571428572,4.7264915183505565
0,b_ctq_total,b,t1,96,31.40625,7.814397138076547
1,b_DERS_total,b,t1,38,83.76315789473684,17.565990190700916
1,b_LHQ_total,b,t1,38,40.26315789473684,9.508699318579392
1,b_DES_average,b,t1,38,9.06954887218045,6.218433507737772
1,b_ctq_total,b,t1,38,32.578947368421055,8.833693417962865
0,t1_MAAS_total,t1,t1,96,71.9375,7.783670491213613
0,t1_DES_total,t1,t1,96,4.252232142857143,3.241562676373078
1,t1_MAAS_total,t1,t1,36,69.38888888888889,7.993846840013097
1,t1_DES_total,t1,t1,36,8.571428571428571,5.495824017620385
0,t2_MAAS_total,t2,t1,91,76.3076923076923,7.399237659969978
1,t2_MAAS_total,t2,t1,36,74.19444444444444,6.976775532106273
0,t3_MAAS_total,t3,t1,88,79.63636363636364,6.7316063874757175
