dataset,pc,rank_within_dataset,feature,loading,abs_loading
1st trimester,1,1,t1_GAD7_4,0.2044598274754326,0.2044598274754326
1st trimester,1,2,t1_PHQ_2,0.20158602878164722,0.20158602878164722
1st trimester,1,3,t1_GAD7_1,0.1987387180001793,0.1987387180001793
1st trimester,1,4,t1_DES_26,0.19299960715743034,0.19299960715743034
1st trimester,1,5,t1_GAD7_6,0.1913585461160926,0.1913585461160926
1st trimester,1,6,t1_PHQ_1,0.18965472497906002,0.18965472497906002
1st trimester,1,7,t1_GAD7_3,0.18931349140308065,0.18931349140308065
1st trimester,1,8,t1_DES_13,0.17970016167196595,0.17970016167196595
1st trimester,1,9,t1_PHQ_8,0.17566907311337476,0.17566907311337476
1st trimester,1,10,t1_PHQ_3,0.17261588614249473,0.17261588614249473
2nd trimester,1,1,t2_GAD7_4,0.3210265932770537,0.3210265932770537
2nd trimester,1,2,t2_GAD7_1,0.31527321473878195,0.31527321473878195
2nd trimester,1,3,t2_GAD7_3,0.30694950035123025,0.30694950035123025
2nd trimester,1,4,t2_PHQ_2,0.30040943625094924,0.30040943625094924
2nd trimester,1,5,t2_GAD7_2,0.29604198287930966,0.29604198287930966
2nd trimester,1,6,t2_PHQ_4,0.2703306719938155,0.2703306719938155
2nd trimester,1,7,t2_GAD7_6,0.26037669313656997,0.26037669313656997
2nd trimester,1,8,t2_PHQ_6,0.2365895021872512,0.2365895021872512
2nd trimester,1,9,t2_PHQ_10,0.2309831313735371,0.2309831313735371
2nd trimester,1,10,t2_PHQ_9,0.22122902666642266,0.22122902666642266
3rd trimester,1,1,t3_GAD7_1,0.3190958773739215,0.3190958773739215
3rd trimester,1,2,t3_GAD7_4,0.3016896278529534,0.3016896278529534
3rd trimester,1,3,t3_GAD7_2,0.28388660858187953,0.28388660858187953
3rd trimester,1,4,t3_GAD7_3,0.2835498376283223,0.2835498376283223
3rd trimester,1,5,t3_PHQ_7,0.2744153320297968,0.2744153320297968
3rd trimester,1,6,t3_PHQ_2,0.26914221627311374,0.26914221627311374
3rd trimester,1,7,t3_PHQ_6,0.2677125855371666,0.2677125855371666
3rd trimester,1,8,t3_PHQ_10,0.25808303373952385,0.25808303373952385
3rd trimester,1,9,t3_PHQ_1,0.2562445078460647,0.2562445078460647
3rd trimester,1,10,t3_PHQ_8,0.22750076420475904,0.22750076420475904
Post pregnancy,1,1,after_GAD7_4,0.22725293226425447,0.22725293226425447
Post pregnancy,1,2,after_GAD7_3,0.22703436250258627,0.22703436250258627
Post pregnancy,1,3,after_GAD7_1,0.22316958929233938,0.22316958929233938
Post pregnancy,1,4,after_DES_20,0.21982498691510927,0.21982498691510927
Post pregnancy,1,5,after_PHQ_1,0.2008804390607632,0.2008804390607632
Post pregnancy,1,6,after_PHQ_2,0.19677173902106782,0.19677173902106782
Post pregnancy,1,7,after_GAD7_2,0.19661236426125467,0.19661236426125467
Post pregnancy,1,8,after_GAD7_7,0.19597672657967613,0.19597672657967613
Post pregnancy,1,9,after_DES_24,0.19283469345235346,0.19283469345235346
Post pregnancy,1,10,after_PHQ_7,0.1913011244129019,0.1913011244129019
Pre pregnancy,1,1,b_DES_14,0.21389417989012255,0.21389417989012255
Pre pregnancy,1,2,b_DES_15,0.2118335558122411,0.2118335558122411
Pre pregnancy,1,3,b_DES_18,0.20541202958776483,0.20541202958776483
Pre pregnancy,1,4,b_DES_20,0.20463806772185844,0.20463806772185844
Pre pregnancy,1,5,b_DES_25,0.19957840082724054,0.19957840082724054
Pre pregnancy,1,6,b_DES_16,0.19922963989231185,0.19922963989231185
Pre pregnancy,1,7,b_DES_2,0.19393019262169597,0.19393019262169597
Pre pregnancy,1,8,b_GAD7_1,0.18466417655907558,0.18466417655907558
Pre pregnancy,1,9,b_DES_13,0.18090363034339013,0.18090363034339013
Pre pregnancy,1,10,b_DES_10,0.18083890865633503,0.18083890865633503
