subject_id,session,b,t1,t2,t3,after
CT002,1,1,0,0,0,0
CT003,1,1,1,1,1,1
CT003,2,1,1,1,1,1
CT004,1,1,1,1,1,1
CT005,1,1,1,1,1,1
CT007,1,1,1,1,1,1
CT007,2,1,1,1,1,1
CT008,1,1,1,1,1,1
CT010,1,1,1,1,1,1
CT010,2,1,1,1,1,1
CT012,1,1,1,1,1,1
CT012,2,1,1,1,1,1
CT013,1,1,1,1,1,1
CT015,1,1,1,1,1,1
CT016,1,1,1,1,1,1
CT017,1,1,1,1,0,1
CT018,1,1,1,1,0,1
CT018,2,1,1,1,0,1
CT020,1,1,0,0,0,0
CT021,1,1,1,1,1,1
CT023,1,1,1,1,1,1
CT024,1,1,1,1,1,1
CT025,1,1,1,1,1,1
CT026,1,1,1,1,1,1
CT027,1,1,1,1,1,1
CT027,2,1,1,1,1,1
CT028,1,1,1,1,1,1
CT029,1,1,1,1,1,1
CT030,1,1,1,1,0,1
CT032,1,1,1,0,0,1
CT032,2,1,1,0,0,1
CT033,1,1,1,1,1,0
CT034,1,1,1,1,1,1
CT035,1,1,1,0,1,1
CT039,1,1,1,1,1,1
CT039,2,1,1,1,1,1
CT041,1,1,1,1,1,1
CT041,2,1,1,1,1,1
CT042,1,1,0,0,0,0
CT043,1,1,0,0,1,1
CT046,1,1,1,1,1,1
CT046,2,1,1,1,1,1
CT051,1,1,1,1,1,1
CT056,1,1,0,1,1,1
CT057,1,1,0,1,0,0
CT058,1,1,1,1,1,1
CT062,1,1,1,1,1,1
CT065,1,1,1,0,0,0
NT002,1,1,1,1,1,1
NT002,2,1,1,1,1,1
NT003,1,1,0,0,0,0
NT005,1,1,1,1,1,1
NT005,2,1,1,1,1,1
NT006,1,1,0,0,0,0
NT007,1,1,1,1,1,1
NT010,1,1,1,1,1,1
NT013,1,1,0,0,0,0
NT015,1,1,1,1,1,1
NT015,2,1,1,1,1,1
NT016,1,1,1,1,1,1
NT016,2,1,1,1,1,1
NT017,1,1,1,1,1,1
NT017,2,1,1,1,1,1
NT019,1,1,1,1,1,1
NT020,1,1,1,0,1,1
NT020,2,1,1,0,1,1
NT025,1,1,1,1,1,1
NT026,1,1,1,1,1,1
NT026,2,1,1,1,1,1
NT027,1,1,1,1,1,1
NT027,2,1,1,1,1,1
NT028,1,1,1,1,1,1
NT029,1,1,1,1,0,1
NT030,1,1,1,1,1,1
NT031,1,1,1,1,1,1
NT032,1,1,1,1,1,1
NT033,1,1,1,1,1,1
NT033,2,1,1,1,1,1
NT035,1,1,1,1,1,1
NT036,1,1,1,1,1,1
NT036,2,1,1,1,1,1
NT038,1,1,0,0,0,0
NT039,1,1,1,1,1,1
NT040,1,1,1,1,1,1
NT040,2,1,1,1,1,1
NT041,1,1,1,1,1,1
NT042,1,1,1,1,1,1
NT043,1,1,1,0,1,1
NT044,1,1,1,1,1,1
NT044,2,1,1,1,1,1
NT047,1,1,1,1,1,1
NT048,1,1,1,1,1,1
NT049,1,1,1,1,1,1
NT049,2,1,1,1,1,1
NT051,1,1,1,1,1,1
NT051,2,1,1,1,1,1
NT052,1,1,1,1,0,1
NT053,1,1,1,0,0,1
NT055,1,1,1,1,1,1
NT056,1,1,1,0,1,1
NT056,2,1,1,0,1,1
NT057,1,1,1,1,1,1
NT059,1,1,1,1,1,1
NT059,2,1,1,1,1,1
NT060,1,1,1,1,1,1
NT063,1,1,1,1,1,1
NT065,1,1,1,1,1,0
NT066,1,1,0,0,0,0
NT067,1,1,1,1,1,1
NT068,1,1,1,0,1,1
NT069,1,1,1,1,1,1
NT070,1,1,1,1,1,1
NT070,2,1,1,1,1,1
NT074,1,1,1,1,1,1
NT075,1,1,1,1,0,1
NT077,1,1,1,1,1,1
NT078,1,1,1,1,1,1
NT081,1,1,1,1,1,1
NT081,2,1,1,1,1,1
NT082,1,1,1,1,1,1
NT083,1,1,1,1,0,0
NT087,1,1,1,1,1,1
NT088,1,1,1,1,0,1
NT090,1,1,1,1,1,1
NT090,2,1,1,1,1,1
NT093,1,1,1,1,0,1
NT096,1,1,1,1,1,1
NT100,1,1,1,1,1,1
NT112,1,1,1,1,0,0
NT113,1,1,0,0,1,1
NT114,1,1,1,1,1,0
NT118,1,1,1,1,1,1
NT119,1,1,0,0,0,0
NT121,1,1,1,1,1,1
NT124,1,1,1,1,1,1
NT125,1,1,1,1,0,0
NT126,1,1,1,1,1,0
NT131,1,1,1,1,1,0
NT132,1,1,0,0,0,0
NT134,1,1,1,0,0,0
NT135,1,1,1,1,0,0
NT137,1,1,0,0,0,0
NT142,1,1,0,0,0,0
