original,normalized
bankssts_lh,bankssts_lh
bankssts_rh,bankssts_rh
Brain-Stem,brain_stem
caudalanteriorcingulate_lh,caudalanteriorcingulate_lh
caudalanteriorcingulate_rh,caudalanteriorcingulate_rh
caudalmiddlefrontal_lh,caudalmiddlefrontal_lh
caudalmiddlefrontal_rh,caudalmiddlefrontal_rh
CerebralWhiteMatterVol,cerebralwhitemattervol
Cingulate,cingulate
Cingulate_lh,cingulate_lh
Cingulate_rh,cingulate_rh
CortexVol,cortexvol
CSF,csf
cuneus_lh,cuneus_lh
cuneus_rh,cuneus_rh
DAN_GM,dan_gm
DMN_GM,dmn_gm
entorhinal_lh,entorhinal_lh
entorhinal_rh,entorhinal_rh
eTIV,etiv
FPN_GM,fpn_gm
Frontal,frontal
Frontal_lh,frontal_lh
Frontal_rh,frontal_rh
frontalpole_lh,frontalpole_lh
frontalpole_rh,frontalpole_rh
fusiform_lh,fusiform_lh
fusiform_rh,fusiform_rh
inferiorparietal_lh,inferiorparietal_lh
inferiorparietal_rh,inferiorparietal_rh
inferiortemporal_lh,inferiortemporal_lh
inferiortemporal_rh,inferiortemporal_rh
Insula,insula
Insula_lh,insula_lh
insula_lh,insula_lh
Insula_rh,insula_rh
insula_rh,insula_rh
isthmuscingulate_lh,isthmuscingulate_lh
isthmuscingulate_rh,isthmuscingulate_rh
kmeans_label,kmeans_label
lateraloccipital_lh,lateraloccipital_lh
lateraloccipital_rh,lateraloccipital_rh
lateralorbitofrontal_lh,lateralorbitofrontal_lh
lateralorbitofrontal_rh,lateralorbitofrontal_rh
Left-Accumbens-area,left_accumbens_area
Left-Amygdala,left_amygdala
Left-Caudate,left_caudate
Left-Cerebellum-Cortex,left_cerebellum_cortex
Left-Hippocampus,left_hippocampus
Left-Pallidum,left_pallidum
Left-Putamen,left_putamen
Left-Thalamus,left_thalamus
Left-VentralDC,left_ventraldc
lhCerebralWhiteMatterVol,lhcerebralwhitemattervol
lhCortexVol,lhcortexvol
LIM_GM,lim_gm
lingual_lh,lingual_lh
lingual_rh,lingual_rh
MeanThickness,meanthickness
MeanThickness_lh,meanthickness_lh
MeanThickness_rh,meanthickness_rh
medialorbitofrontal_lh,medialorbitofrontal_lh
medialorbitofrontal_rh,medialorbitofrontal_rh
middletemporal_lh,middletemporal_lh
middletemporal_rh,middletemporal_rh
Occipital,occipital
Occipital_lh,occipital_lh
Occipital_rh,occipital_rh
paracentral_lh,paracentral_lh
paracentral_rh,paracentral_rh
parahippocampal_lh,parahippocampal_lh
parahippocampal_rh,parahippocampal_rh
Parietal,parietal
Parietal_lh,parietal_lh
Parietal_rh,parietal_rh
parsopercularis_lh,parsopercularis_lh
parsopercularis_rh,parsopercularis_rh
parsorbitalis_lh,parsorbitalis_lh
parsorbitalis_rh,parsorbitalis_rh
parstriangularis_lh,parstriangularis_lh
parstriangularis_rh,parstriangularis_rh
pericalcarine_lh,pericalcarine_lh
pericalcarine_rh,pericalcarine_rh
postcentral_lh,postcentral_lh
postcentral_rh,postcentral_rh
posteriorcingulate_lh,posteriorcingulate_lh
posteriorcingulate_rh,posteriorcingulate_rh
precentral_lh,precentral_lh
precentral_rh,precentral_rh
precuneus_lh,precuneus_lh
precuneus_rh,precuneus_rh
rhCerebralWhiteMatterVol,rhcerebralwhitemattervol
rhCortexVol,rhcortexvol
Right-Accumbens-area,right_accumbens_area
Right-Amygdala,right_amygdala
Right-Caudate,right_caudate
Right-Cerebellum-Cortex,right_cerebellum_cortex
Right-Hippocampus,right_hippocampus
Right-Pallidum,right_pallidum
Right-Putamen,right_putamen
Right-Thalamus,right_thalamus
Right-VentralDC,right_ventraldc
rostralanteriorcingulate_lh,rostralanteriorcingulate_lh
rostralanteriorcingulate_rh,rostralanteriorcingulate_rh
rostralmiddlefrontal_lh,rostralmiddlefrontal_lh
rostralmiddlefrontal_rh,rostralmiddlefrontal_rh
SMN_GM,smn_gm
SubCortGrayVol,subcortgrayvol
Subject_Code,subject_code
superiorfrontal_lh,superiorfrontal_lh
superiorfrontal_rh,superiorfrontal_rh
superiorparietal_lh,superiorparietal_lh
superiorparietal_rh,superiorparietal_rh
superiortemporal_lh,superiortemporal_lh
superiortemporal_rh,superiortemporal_rh
supramarginal_lh,supramarginal_lh
supramarginal_rh,supramarginal_rh
Temporal,temporal
Temporal_lh,temporal_lh
Temporal_rh,temporal_rh
temporalpole_lh,temporalpole_lh
temporalpole_rh,temporalpole_rh
TotalGrayVol,totalgrayvol
transversetemporal_lh,transversetemporal_lh
transversetemporal_rh,transversetemporal_rh
VAN_GM,van_gm
VIS_GM,vis_gm
WhiteSurfArea,whitesurfarea
WhiteSurfArea_lh,whitesurfarea_lh
WhiteSurfArea_rh,whitesurfarea_rh
