feature_original,feature_normalized,r_pointbiserial,p_value,p_value_fdr_bh,significant_fdr_0.05
Insula_rh,insula_rh,-0.23487454544940461,0.011514508304601854,0.4924756773949344,False
isthmuscingulate_lh,isthmuscingulate_lh,-0.20514005549480105,0.027856921514918205,0.4924756773949344,False
transversetemporal_rh,transversetemporal_rh,-0.190264501396262,0.041678652551367,0.4924756773949344,False
transversetemporal_lh,transversetemporal_lh,-0.19016470765856416,0.04178788615218751,0.4924756773949344,False
paracentral_rh,paracentral_rh,-0.18752821242251014,0.044761535675246135,0.4924756773949344,False
entorhinal_lh,entorhinal_lh,-0.17648219145487973,0.059197564377752976,0.4924756773949344,False
caudalmiddlefrontal_rh,caudalmiddlefrontal_rh,-0.17554952235357318,0.06057375406654342,0.4924756773949344,False
medialorbitofrontal_lh,medialorbitofrontal_lh,-0.17441173559721962,0.06228790952292872,0.4924756773949344,False
precentral_lh,precentral_lh,-0.16710099767678108,0.07426861475221626,0.4924756773949344,False
postcentral_lh,postcentral_lh,-0.1667711846864571,0.07485010969628719,0.4924756773949344,False
superiorfrontal_lh,superiorfrontal_lh,-0.16107326189730145,0.08548762515955423,0.4924756773949344,False
parahippocampal_rh,parahippocampal_rh,-0.16035633669190236,0.08690747248145901,0.4924756773949344,False
superiorfrontal_rh,superiorfrontal_rh,-0.1453749544369758,0.12109606368887213,0.5833336222722019,False
fusiform_lh,fusiform_lh,-0.14419026668318194,0.12418992649531152,0.5833336222722019,False
fusiform_rh,fusiform_rh,-0.13746340552533565,0.14292332846341776,0.5833336222722019,False
paracentral_lh,paracentral_lh,-0.13691248766004557,0.14454754920003096,0.5833336222722019,False
medialorbitofrontal_rh,medialorbitofrontal_rh,-0.1362776992216272,0.14643629892100105,0.5833336222722019,False
precuneus_lh,precuneus_lh,-0.13260409368999238,0.1577342898748859,0.5833336222722019,False
Insula_lh,insula_lh,-0.12847590201499523,0.17119387780111497,0.5833336222722019,False
parahippocampal_lh,parahippocampal_lh,-0.12836443623272847,0.17156871243300056,0.5833336222722019,False
lateraloccipital_rh,lateraloccipital_rh,-0.11779124561294932,0.20993623137418235,0.6030298833190698,False
superiorparietal_lh,superiorparietal_lh,-0.11737454483140514,0.21156466974181,0.6030298833190698,False
precuneus_rh,precuneus_rh,-0.11679500824912104,0.21384440732689144,0.6030298833190698,False
parsorbitalis_lh,parsorbitalis_lh,-0.11621653710280812,0.21613733709248756,0.6030298833190698,False
precentral_rh,precentral_rh,-0.11370740779758397,0.22628503830545874,0.6030298833190698,False
postcentral_rh,postcentral_rh,-0.11267165281736775,0.23057024950435023,0.6030298833190698,False
temporalpole_rh,temporalpole_rh,-0.10909880461418689,0.24578769542027332,0.6190208625399476,False
rostralmiddlefrontal_rh,rostralmiddlefrontal_rh,-0.10637370124984907,0.25785192001569096,0.6262118057523923,False
cuneus_lh,cuneus_lh,-0.10050341105099896,0.28519871151219556,0.6328278554595589,False
cuneus_rh,cuneus_rh,-0.10049607501550578,0.2852340537103473,0.6328278554595589,False
superiortemporal_lh,superiortemporal_lh,-0.09982177500696346,0.28849505175362244,0.6328278554595589,False
posteriorcingulate_rh,posteriorcingulate_rh,-0.09777101561350524,0.29856464492618046,0.6344498704681335,False
inferiorparietal_rh,inferiorparietal_rh,-0.09134286574399925,0.33161114623082,0.672398028879479,False
parstriangularis_rh,parstriangularis_rh,-0.0904835757583592,0.3361990144397395,0.672398028879479,False
frontalpole_lh,frontalpole_lh,-0.08659814097618372,0.35744375941158435,0.6873592623448362,False
temporalpole_lh,temporalpole_lh,-0.08544675065683248,0.3638960800649133,0.6873592623448362,False
bankssts_lh,bankssts_lh,-0.08260523807061909,0.3801247266482022,0.6902822770794262,False
rostralanteriorcingulate_lh,rostralanteriorcingulate_lh,-0.08163825657906666,0.38574597836791463,0.6902822770794262,False
superiorparietal_rh,superiorparietal_rh,-0.07569173638296407,0.4214025116276085,0.7208739278124526,False
superiortemporal_rh,superiortemporal_rh,-0.0734272002024365,0.43546708662929023,0.7208739278124526,False
supramarginal_lh,supramarginal_lh,-0.07254225327441588,0.44103508217642584,0.7208739278124526,False
inferiorparietal_lh,inferiorparietal_lh,-0.07187723535353452,0.44524566129592663,0.7208739278124526,False
caudalanteriorcingulate_lh,caudalanteriorcingulate_lh,-0.06556050878711196,0.4863492029038778,0.7533298299039591,False
caudalmiddlefrontal_lh,caudalmiddlefrontal_lh,-0.06539560021910845,0.4874487134672677,0.7533298299039591,False
parstriangularis_lh,parstriangularis_lh,-0.06352981169557276,0.4999803665646431,0.7555258872532384,False
lateralorbitofrontal_rh,lateralorbitofrontal_rh,-0.055147561477232626,0.558294314996106,0.8253046395594611,False
entorhinal_rh,entorhinal_rh,-0.05166433102965737,0.5834501182325637,0.83668672879223,False
inferiortemporal_lh,inferiortemporal_lh,0.04595993129663435,0.6257347180800508,0.83668672879223,False
parsopercularis_lh,parsopercularis_lh,0.04592050423473113,0.6260314668511562,0.83668672879223,False
