feature_normalized,r_pointbiserial,p_value,p_value_fdr_bh,significant_fdr_0.05
insula_rh,-0.23487454544940461,0.011514508304601854,0.13817409965522226,False
frontal_rh,-0.16136859499990658,0.08490813459126498,0.40001532355389996,False
parietal_lh,-0.14170747454614066,0.1308708436508343,0.40001532355389996,False
frontal_lh,-0.12875891198032663,0.1702448968783662,0.40001532355389996,False
insula_lh,-0.12847590201499523,0.17119387780111497,0.40001532355389996,False
cingulate_lh,-0.10643883900829591,0.2575589053155264,0.40001532355389996,False
parietal_rh,-0.10361692149543292,0.27046243268892983,0.40001532355389996,False
occipital_rh,-0.09908552925740317,0.29208383821657413,0.40001532355389996,False
temporal_lh,-0.09748012542797935,0.300011492665425,0.40001532355389996,False
cingulate_rh,-0.06718046995737714,0.4756189601213487,0.5003502207723288,False
temporal_rh,-0.06393666788537078,0.4972333971066593,0.5003502207723288,False
occipital_lh,-0.06347512182865919,0.5003502207723288,0.5003502207723288,False
