feature_original,feature_normalized,r_pointbiserial,p_value,p_value_fdr_bh,significant_fdr_0.05
Right-Hippocampus,right_hippocampus,-0.13454237499147886,0.15169462435999032,0.9098181447752921,False
Right-Amygdala,right_amygdala,-0.1215101914669473,0.195798156015777,0.9098181447752921,False
Left-Putamen,left_putamen,-0.10140498593464252,0.28087750705219805,0.9098181447752921,False
Left-Hippocampus,left_hippocampus,-0.09228409043086772,0.3266318714165152,0.9098181447752921,False
Left-Thalamus,left_thalamus,-0.08046664350396826,0.39262350964912035,0.9098181447752921,False
Left-Amygdala,left_amygdala,-0.07561006743783832,0.4219051253078248,0.9098181447752921,False
CSF,csf,-0.06365167618279373,0.4991567419313414,0.9098181447752921,False
Left-Pallidum,left_pallidum,-0.0599934639750269,0.5241873532459163,0.9098181447752921,False
Right-Pallidum,right_pallidum,-0.05934021273166904,0.5287229454326474,0.9098181447752921,False
Right-Putamen,right_putamen,-0.05242422555036954,0.5779179433488306,0.9098181447752921,False
Left-Accumbens-area,left_accumbens_area,-0.049879282425778146,0.59654045000359,0.9098181447752921,False
Right-Thalamus,right_thalamus,-0.04575467323424591,0.6272802519422958,0.9098181447752921,False
Right-Cerebellum-Cortex,right_cerebellum_cortex,0.036353210995788775,0.699708853699136,0.9098181447752921,False
Right-Accumbens-area,right_accumbens_area,-0.03332999123087895,0.7236251828014832,0.9098181447752921,False
Brain-Stem,brain_stem,0.030652613138131814,0.7450311240357338,0.9098181447752921,False
Left-Caudate,left_caudate,-0.020439429260354247,0.828351258797751,0.9098181447752921,False
Left-Cerebellum-Cortex,left_cerebellum_cortex,0.01958081315990835,0.8354578780428394,0.9098181447752921,False
Right-Caudate,right_caudate,0.015915825851551733,0.8659347972292228,0.9098181447752921,False
Left-VentralDC,left_ventraldc,0.011773197699834658,0.9006196871737647,0.9098181447752921,False
Right-VentralDC,right_ventraldc,0.010678645082856087,0.9098181447752921,0.9098181447752921,False
