feature_original,feature_normalized,n_0.0,mean_0.0,sd_0.0,n_1.0,mean_1.0,sd_1.0,t_stat,p_value,cohens_d,p_value_fdr_bh,significant_fdr_0.05
Insula_rh,insula_rh,51,7015.9607843137255,603.9810911207176,64,6727.359375,594.2708582175196,2.5638625685634326,0.01174528275506207,0.4821379033467547,0.5483874878851926,False
isthmuscingulate_lh,isthmuscingulate_lh,51,2692.372549019608,373.7480948866128,64,2543.28125,342.1825127381724,2.20579986314531,0.02962624340460788,0.4182148683763753,0.5483874878851926,False
transversetemporal_lh,transversetemporal_lh,51,1284.5098039215686,204.0124871226288,64,1207.046875,197.53218983706276,2.0514880344595103,0.04269028952248192,0.38649252911835247,0.5483874878851926,False
transversetemporal_rh,transversetemporal_rh,51,958.3921568627451,140.72101171202152,64,908.140625,120.71688867884886,2.024726796556807,0.04559217015367506,0.3867029668124085,0.5483874878851926,False
paracentral_rh,paracentral_rh,51,3971.9411764705883,600.1681901522174,64,3767.3125,481.3409798561607,1.9798004557535795,0.050630203148013524,0.3809373602376793,0.5483874878851926,False
entorhinal_lh,entorhinal_lh,51,1875.764705882353,288.88451590455963,64,1767.0625,315.2152137070496,1.9249528144393453,0.05680013750386204,0.35775423079743973,0.5483874878851926,False
medialorbitofrontal_lh,medialorbitofrontal_lh,51,5478.6274509803925,514.5148379117677,64,5289.140625,552.7094838715072,1.8982936984985204,0.0602722055601166,0.35342463981685385,0.5483874878851926,False
caudalmiddlefrontal_rh,caudalmiddlefrontal_rh,51,6176.176470588235,1248.7666188024464,64,5805.515625,841.9873503590671,1.8161347636036784,0.07291571451724325,0.3558032964048154,0.5483874878851926,False
postcentral_lh,postcentral_lh,51,9922.470588235294,1318.2354623198569,64,9493.578125,1231.9189677109255,1.7841688231322497,0.07731581869311069,0.33748858874530996,0.5483874878851926,False
precentral_lh,precentral_lh,51,13902.764705882353,1805.8971242929126,64,13345.96875,1507.995094606459,1.7653536505545846,0.08064521880664598,0.3381751712669891,0.5483874878851926,False
superiorfrontal_lh,superiorfrontal_lh,51,23813.50980392157,2676.0137023008606,64,23001.515625,2338.518375003321,1.708569334543505,0.09063341912846852,0.3256452070120796,0.5573597600029441,False
parahippocampal_rh,parahippocampal_rh,51,2111.6862745098038,299.07467229413317,64,2027.859375,221.26747924408537,1.670261089811423,0.0983576047064019,0.32415744207831865,0.5573597600029441,False
fusiform_lh,fusiform_lh,51,10298.960784313726,1092.7179500819836,64,9967.265625,1177.6475237642946,1.5622034352179084,0.12110324025269023,0.2907443451754448,0.5752471703401478,False
