feature_original,feature_normalized,n_0.0,mean_0.0,sd_0.0,n_1.0,mean_1.0,sd_1.0,t_stat,p_value,cohens_d,p_value_fdr_bh,significant_fdr_0.05
Insula_rh,insula_rh,51,7015.9607843137255,603.9810911207176,64,6727.359375,594.2708582175196,2.5638625685634326,0.01174528275506207,0.4821379033467547,0.14094339306074483,False
Frontal_rh,frontal_rh,51,88204.25490196078,8279.863512988937,64,85770.1875,6739.788214078757,1.698370409275891,0.09269081539084574,0.3262582367462664,0.4080297509086508,False
Parietal_lh,parietal_lh,51,58513.92156862745,6027.766142919406,64,56840.640625,5719.896675632412,1.5126641955551523,0.13337737886278392,0.28563454985938674,0.4080297509086508,False
Insula_lh,insula_lh,51,7187.725490196079,647.6173585824077,64,7004.71875,752.4403571522653,1.4007150161927888,0.16405650512942513,0.2584930659432242,0.4080297509086508,False
Frontal_lh,frontal_lh,51,90191.27450980392,8391.142501658356,64,88234.109375,6817.849682226392,1.3483553182395438,0.18073419936412047,0.259072069675651,0.4080297509086508,False
Parietal_rh,parietal_rh,51,59500.03921568627,5889.335374932503,64,58273.953125,5905.559741033081,1.1077714378270587,0.2704337211508224,0.20786805469009303,0.4080297509086508,False
Cingulate_lh,cingulate_lh,51,10524.901960784313,1571.343186638768,64,10226.828125,1238.3378203429252,1.1079759885655023,0.2707126812006973,0.2135931633039049,0.4080297509086508,False
Occipital_rh,occipital_rh,51,26761.901960784315,3192.712729043451,64,26179.578125,2705.1073258917572,1.0388566604963487,0.30142538567213456,0.1986853171969425,0.4080297509086508,False
Temporal_lh,temporal_lh,51,57909.117647058825,4964.80658494189,64,56991.703125,4467.814535093201,1.0287812538848757,0.3060223131814881,0.19543503769402143,0.4080297509086508,False
Cingulate_rh,cingulate_rh,51,9903.176470588236,1377.7513230751385,64,9735.328125,1137.1406085620515,0.7004384645070665,0.4853395949055328,0.134350211670413,0.5040800874798255,False
Temporal_rh,temporal_rh,51,55784.03921568627,4602.721247091917,64,55223.25,4207.5405325835345,0.6741304019600811,0.501743846375039,0.12783581976445768,0.5040800874798255,False
Occipital_lh,occipital_lh,51,25257.13725490196,2701.0263902421084,64,24927.796875,2507.8223284557444,0.6704246041012646,0.5040800874798255,0.12690925167146472,0.5040800874798255,False
