feature_original,feature_normalized,n_0.0,mean_0.0,sd_0.0,n_1.0,mean_1.0,sd_1.0,t_stat,p_value,cohens_d,p_value_fdr_bh,significant_fdr_0.05
Right-Hippocampus,right_hippocampus,51,4391.4,431.7399907351646,64,4288.575000000001,332.32988344199714,1.401795896248687,0.16433843177541788,0.2709186430253508,0.9099647714294787,False
Right-Amygdala,right_amygdala,51,1766.6019607843139,186.43697969039948,64,1723.328125,169.43917527261365,1.2872437367811391,0.2009140148453458,0.24426193661368112,0.9099647714294787,False
Left-Putamen,left_putamen,51,4915.821568627452,480.12387956181703,64,4827.296875,396.05054029286447,1.0602820707710274,0.2916649504696434,0.2033840328870051,0.9099647714294787,False
Left-Hippocampus,left_hippocampus,51,4212.9254901960785,427.93995552793956,64,4143.518749999999,327.6014956625159,0.9562885087742592,0.34144006956825534,0.18492563780632204,0.9099647714294787,False
Left-Thalamus,left_thalamus,51,7682.882352941176,691.2308406620417,64,7582.0390625,569.0251264062483,0.8395495420605091,0.40324049823300756,0.16107922335381347,0.9099647714294787,False
Left-Amygdala,left_amygdala,51,1651.9960784313726,200.24336189825053,64,1621.6078125,201.32719740309926,0.8065497589378977,0.42170520736166883,0.15129955809838264,0.9099647714294787,False
CSF,csf,51,987.4156862745097,191.55175423112055,64,963.9171875,178.97233230766935,0.6727770719404631,0.5025831597122683,0.12726368035061114,0.9099647714294787,False
Left-Pallidum,left_pallidum,51,2009.3431372549019,174.09929035455826,64,1987.5812500000002,187.1072232068834,0.6441523971326982,0.5208143308484072,0.11992230710077968,0.9099647714294787,False
Right-Pallidum,right_pallidum,51,1957.2392156862745,176.86116258628562,64,1934.8375,197.87545265116836,0.6400169134370104,0.5234749000627277,0.11861186845579437,0.9099647714294787,False
Right-Putamen,right_putamen,51,5037.913725490196,478.8701987050803,64,4991.9421875,404.3374018578675,0.5474774565506713,0.5852970048591822,0.10474726630304865,0.9099647714294787,False
Left-Accumbens-area,left_accumbens_area,51,477.4529411764706,83.18322992753089,64,468.815625,89.35291579745977,0.5352267514466096,0.5935710563946335,0.09964928501166948,0.9099647714294787,False
Right-Thalamus,right_thalamus,51,7497.694117647059,656.1068975134356,64,7438.8203125,634.5851126022487,0.4850409515980137,0.628650955555845,0.09139103528836108,0.9099647714294787,False
Right-Cerebellum-Cortex,right_cerebellum_cortex,51,54865.166666666664,5015.699432687995,64,55222.2953125,4843.044427736059,-0.38515438365715887,0.700897552143669,-0.07258435233840604,0.9099647714294787,False
Right-Accumbens-area,right_accumbens_area,51,610.0274509803921,89.69160513321494,64,603.7375,98.19594518509228,0.3581706449799502,0.720896705543582,0.06654104648478897,0.9099647714294787,False
Brain-Stem,brain_stem,51,20369.239215686273,1866.8798402766504,64,20475.504687499997,1625.8484073333752,-0.3209267124102477,0.7489371543048187,-0.06119059760399347,0.9099647714294787,False
Left-Caudate,left_caudate,51,3572.707843137255,399.393655855041,64,3556.2515624999996,406.58992952503223,0.21776249136160264,0.8280245130928251,0.040791771679035756,0.9099647714294787,False
Left-Cerebellum-Cortex,left_cerebellum_cortex,51,55270.54117647059,5196.466848510686,64,55465.9015625,4837.106636465357,-0.2064950370764665,0.8368092828845027,-0.039077526141226004,0.9099647714294787,False
Right-Caudate,right_caudate,51,3604.317647058823,399.8137129743713,64,3617.1890625,409.5231311633536,-0.16967254838196413,0.8655838701274085,-0.031761226045435326,0.9099647714294787,False
Left-VentralDC,left_ventraldc,51,3943.158823529412,283.0864703064917,64,3949.559375,263.695006434803,-0.12415231088071434,0.9014350133253752,-0.023492952698220396,0.9099647714294787,False
Right-VentralDC,right_ventraldc,51,3927.3803921568633,305.3235077877941,64,3933.8390625,301.3276614600988,-0.11335161019042446,0.9099647714294787,-0.02130855416447813,0.9099647714294787,False
